propertyid,tenantid,service_category,charge_amount_gbp,quarter,year,period_start,period_end,payment_status,payment_date,property_type,estateid,blockid
1,47.0,Management Fee,93,4,2023,2023-10-01,2023-12-31,Paid,2024-01-03,Flat,1.0,1.0
1,47.0,Security Systems,80,4,2023,2023-10-01,2023-12-31,Paid,2024-01-12,Flat,1.0,1.0
1,47.0,Electricity (Communal Areas),130,4,2023,2023-10-01,2023-12-31,Paid,2024-01-27,Flat,1.0,1.0
1,47.0,Water (Communal Areas),62,4,2023,2023-10-01,2023-12-31,Pending,,Flat,1.0,1.0
1,47.0,Sinking Fund,172,4,2023,2023-10-01,2023-12-31,Pending,,Flat,1.0,1.0
1,47.0,Building Insurance,193,1,2024,2024-01-01,2024-05-30,Paid,2024-06-06,Flat,1.0,1.0
1,47.0,Grounds Maintenance,138,1,2024,2024-01-01,2024-05-30,Paid,2024-06-20,Flat,1.0,1.0
1,47.0,Cleaning (Communal Areas),197,1,2024,2024-01-01,2024-05-30,Paid,2024-06-06,Flat,1.0,1.0
1,47.0,Lift Maintenance,143,1,2024,2024-01-01,2024-05-30,Overdue,,Flat,1.0,1.0
1,47.0,Building Repairs,254,1,2024,2024-01-01,2024-05-30,Paid,2024-06-08,Flat,1.0,1.0
1,47.0,Management Fee,88,1,2024,2024-01-01,2024-05-30,Paid,2024-06-08,Flat,1.0,1.0
1,47.0,Security Systems,73,1,2024,2024-01-01,2024-05-30,Paid,2024-06-29,Flat,1.0,1.0
1,47.0,Electricity (Communal Areas),106,1,2024,2024-01-01,2024-05-30,Paid,2024-06-05,Flat,1.0,1.0
1,47.0,Water (Communal Areas),60,1,2024,2024-01-01,2024-05-30,Paid,2024-06-10,Flat,1.0,1.0
1,47.0,Sinking Fund,192,1,2024,2024-01-01,2024-05-30,Paid,2024-06-18,Flat,1.0,1.0
1,47.0,Building Insurance,224,2,2024,2024-04-01,2024-08-30,Paid,2024-09-03,Flat,1.0,1.0
1,47.0,Grounds Maintenance,125,2,2024,2024-04-01,2024-08-30,Pending,,Flat,1.0,1.0
1,47.0,Cleaning (Communal Areas),153,2,2024,2024-04-01,2024-08-30,Paid,2024-09-10,Flat,1.0,1.0
1,47.0,Lift Maintenance,143,2,2024,2024-04-01,2024-08-30,Overdue,,Flat,1.0,1.0
1,47.0,Building Repairs,227,2,2024,2024-04-01,2024-08-30,Paid,2024-09-05,Flat,1.0,1.0
1,47.0,Management Fee,99,2,2024,2024-04-01,2024-08-30,Paid,2024-08-31,Flat,1.0,1.0
1,47.0,Security Systems,79,2,2024,2024-04-01,2024-08-30,Paid,2024-09-18,Flat,1.0,1.0
1,47.0,Electricity (Communal Areas),123,2,2024,2024-04-01,2024-08-30,Paid,2024-09-12,Flat,1.0,1.0
1,47.0,Water (Communal Areas),60,2,2024,2024-04-01,2024-08-30,Paid,2024-09-23,Flat,1.0,1.0
1,47.0,Sinking Fund,192,2,2024,2024-04-01,2024-08-30,Paid,2024-09-21,Flat,1.0,1.0
1,47.0,Building Insurance,194,3,2024,2024-07-01,2024-11-30,Paid,2024-12-30,Flat,1.0,1.0
1,47.0,Grounds Maintenance,134,3,2024,2024-07-01,2024-11-30,Paid,2024-12-29,Flat,1.0,1.0
1,47.0,Cleaning (Communal Areas),203,3,2024,2024-07-01,2024-11-30,Paid,2024-12-14,Flat,1.0,1.0
1,47.0,Lift Maintenance,162,3,2024,2024-07-01,2024-11-30,Overdue,,Flat,1.0,1.0
1,47.0,Building Repairs,243,3,2024,2024-07-01,2024-11-30,Paid,2024-12-17,Flat,1.0,1.0
1,47.0,Management Fee,90,3,2024,2024-07-01,2024-11-30,Paid,2024-12-20,Flat,1.0,1.0
1,47.0,Security Systems,91,3,2024,2024-07-01,2024-11-30,Overdue,,Flat,1.0,1.0
1,47.0,Electricity (Communal Areas),109,3,2024,2024-07-01,2024-11-30,Disputed,,Flat,1.0,1.0
1,47.0,Water (Communal Areas),65,3,2024,2024-07-01,2024-11-30,Paid,2024-12-11,Flat,1.0,1.0
1,47.0,Sinking Fund,217,3,2024,2024-07-01,2024-11-30,Paid,2024-12-03,Flat,1.0,1.0
1,47.0,Building Insurance,189,4,2024,2024-10-01,2024-12-31,Paid,2025-01-26,Flat,1.0,1.0
1,47.0,Grounds Maintenance,114,4,2024,2024-10-01,2024-12-31,Paid,2025-01-15,Flat,1.0,1.0
1,47.0,Cleaning (Communal Areas),153,4,2024,2024-10-01,2024-12-31,Paid,2025-01-29,Flat,1.0,1.0
1,47.0,Lift Maintenance,135,4,2024,2024-10-01,2024-12-31,Paid,2025-01-06,Flat,1.0,1.0
1,47.0,Building Repairs,230,4,2024,2024-10-01,2024-12-31,Paid,2025-01-03,Flat,1.0,1.0
1,47.0,Management Fee,107,4,2024,2024-10-01,2024-12-31,Paid,2025-01-18,Flat,1.0,1.0
1,47.0,Security Systems,88,4,2024,2024-10-01,2024-12-31,Paid,2025-01-16,Flat,1.0,1.0
1,47.0,Electricity (Communal Areas),108,4,2024,2024-10-01,2024-12-31,Paid,2025-01-18,Flat,1.0,1.0
1,47.0,Water (Communal Areas),63,4,2024,2024-10-01,2024-12-31,Paid,2025-01-30,Flat,1.0,1.0
1,47.0,Sinking Fund,198,4,2024,2024-10-01,2024-12-31,Paid,2025-01-15,Flat,1.0,1.0
1,47.0,Building Insurance,212,1,2025,2025-01-01,2025-05-30,Paid,2025-06-03,Flat,1.0,1.0
1,47.0,Grounds Maintenance,116,1,2025,2025-01-01,2025-05-30,Paid,2025-06-29,Flat,1.0,1.0
1,47.0,Cleaning (Communal Areas),160,1,2025,2025-01-01,2025-05-30,Paid,2025-06-28,Flat,1.0,1.0
1,47.0,Lift Maintenance,140,1,2025,2025-01-01,2025-05-30,Paid,2025-06-27,Flat,1.0,1.0
1,47.0,Building Repairs,244,1,2025,2025-01-01,2025-05-30,Paid,2025-06-02,Flat,1.0,1.0
1,47.0,Management Fee,95,1,2025,2025-01-01,2025-05-30,Paid,2025-06-18,Flat,1.0,1.0
1,47.0,Security Systems,69,1,2025,2025-01-01,2025-05-30,Pending,,Flat,1.0,1.0
1,47.0,Electricity (Communal Areas),108,1,2025,2025-01-01,2025-05-30,Paid,2025-06-11,Flat,1.0,1.0
1,47.0,Water (Communal Areas),57,1,2025,2025-01-01,2025-05-30,Pending,,Flat,1.0,1.0
1,47.0,Sinking Fund,207,1,2025,2025-01-01,2025-05-30,Paid,2025-06-29,Flat,1.0,1.0
2,421.0,Building Insurance,157,2,2023,2023-04-01,2023-08-30,Paid,2023-09-15,Flat,9.0,15.0
2,421.0,Grounds Maintenance,98,2,2023,2023-04-01,2023-08-30,Paid,2023-09-13,Flat,9.0,15.0
2,421.0,Cleaning (Communal Areas),142,2,2023,2023-04-01,2023-08-30,Paid,2023-09-05,Flat,9.0,15.0
2,421.0,Lift Maintenance,132,2,2023,2023-04-01,2023-08-30,Paid,2023-09-12,Flat,9.0,15.0
2,421.0,Building Repairs,237,2,2023,2023-04-01,2023-08-30,Paid,2023-09-08,Flat,9.0,15.0
2,421.0,Management Fee,102,2,2023,2023-04-01,2023-08-30,Paid,2023-09-05,Flat,9.0,15.0
2,421.0,Security Systems,70,2,2023,2023-04-01,2023-08-30,Paid,2023-09-03,Flat,9.0,15.0
2,421.0,Electricity (Communal Areas),107,2,2023,2023-04-01,2023-08-30,Paid,2023-09-21,Flat,9.0,15.0
2,421.0,Water (Communal Areas),58,2,2023,2023-04-01,2023-08-30,Paid,2023-09-12,Flat,9.0,15.0
2,421.0,Sinking Fund,196,2,2023,2023-04-01,2023-08-30,Paid,2023-09-10,Flat,9.0,15.0
2,421.0,Building Insurance,160,3,2023,2023-07-01,2023-11-30,Paid,2023-12-22,Flat,9.0,15.0
2,421.0,Grounds Maintenance,107,3,2023,2023-07-01,2023-11-30,Paid,2023-12-22,Flat,9.0,15.0
2,421.0,Cleaning (Communal Areas),157,3,2023,2023-07-01,2023-11-30,Paid,2023-12-10,Flat,9.0,15.0
2,421.0,Lift Maintenance,132,3,2023,2023-07-01,2023-11-30,Paid,2023-12-04,Flat,9.0,15.0
2,421.0,Building Repairs,232,3,2023,2023-07-01,2023-11-30,Pending,,Flat,9.0,15.0
2,421.0,Management Fee,89,3,2023,2023-07-01,2023-11-30,Paid,2023-12-16,Flat,9.0,15.0
2,421.0,Security Systems,77,3,2023,2023-07-01,2023-11-30,Pending,,Flat,9.0,15.0
2,421.0,Electricity (Communal Areas),123,3,2023,2023-07-01,2023-11-30,Paid,2023-12-06,Flat,9.0,15.0
2,421.0,Water (Communal Areas),62,3,2023,2023-07-01,2023-11-30,Paid,2023-12-13,Flat,9.0,15.0
2,421.0,Sinking Fund,200,3,2023,2023-07-01,2023-11-30,Paid,2023-12-01,Flat,9.0,15.0
2,421.0,Building Insurance,171,4,2023,2023-10-01,2023-12-31,Overdue,,Flat,9.0,15.0
2,421.0,Grounds Maintenance,111,4,2023,2023-10-01,2023-12-31,Paid,2024-01-27,Flat,9.0,15.0
2,421.0,Cleaning (Communal Areas),168,4,2023,2023-10-01,2023-12-31,Pending,,Flat,9.0,15.0
2,421.0,Lift Maintenance,132,4,2023,2023-10-01,2023-12-31,Paid,2024-01-02,Flat,9.0,15.0
2,421.0,Building Repairs,199,4,2023,2023-10-01,2023-12-31,Paid,2024-01-12,Flat,9.0,15.0
2,421.0,Management Fee,78,4,2023,2023-10-01,2023-12-31,Paid,2024-01-12,Flat,9.0,15.0
2,421.0,Security Systems,67,4,2023,2023-10-01,2023-12-31,Paid,2024-01-10,Flat,9.0,15.0
2,421.0,Electricity (Communal Areas),117,4,2023,2023-10-01,2023-12-31,Paid,2024-01-09,Flat,9.0,15.0
2,421.0,Water (Communal Areas),49,4,2023,2023-10-01,2023-12-31,Paid,2024-01-01,Flat,9.0,15.0
2,421.0,Sinking Fund,177,4,2023,2023-10-01,2023-12-31,Paid,2024-01-02,Flat,9.0,15.0
2,421.0,Building Insurance,185,1,2024,2024-01-01,2024-05-30,Paid,2024-06-01,Flat,9.0,15.0
2,421.0,Grounds Maintenance,109,1,2024,2024-01-01,2024-05-30,Paid,2024-06-05,Flat,9.0,15.0
2,421.0,Cleaning (Communal Areas),142,1,2024,2024-01-01,2024-05-30,Paid,2024-06-23,Flat,9.0,15.0
2,421.0,Lift Maintenance,121,1,2024,2024-01-01,2024-05-30,Paid,2024-06-28,Flat,9.0,15.0
2,421.0,Building Repairs,210,1,2024,2024-01-01,2024-05-30,Disputed,,Flat,9.0,15.0
2,421.0,Management Fee,95,1,2024,2024-01-01,2024-05-30,Paid,2024-06-26,Flat,9.0,15.0
2,421.0,Security Systems,81,1,2024,2024-01-01,2024-05-30,Overdue,,Flat,9.0,15.0
2,421.0,Electricity (Communal Areas),118,1,2024,2024-01-01,2024-05-30,Paid,2024-06-01,Flat,9.0,15.0
2,421.0,Water (Communal Areas),47,1,2024,2024-01-01,2024-05-30,Paid,2024-06-04,Flat,9.0,15.0
2,421.0,Sinking Fund,186,1,2024,2024-01-01,2024-05-30,Paid,2024-06-25,Flat,9.0,15.0
2,421.0,Building Insurance,201,2,2024,2024-04-01,2024-08-30,Paid,2024-09-23,Flat,9.0,15.0
2,421.0,Grounds Maintenance,94,2,2024,2024-04-01,2024-08-30,Overdue,,Flat,9.0,15.0
2,421.0,Cleaning (Communal Areas),174,2,2024,2024-04-01,2024-08-30,Paid,2024-08-31,Flat,9.0,15.0
2,421.0,Lift Maintenance,122,2,2024,2024-04-01,2024-08-30,Paid,2024-09-23,Flat,9.0,15.0
2,421.0,Building Repairs,235,2,2024,2024-04-01,2024-08-30,Pending,,Flat,9.0,15.0
2,421.0,Management Fee,99,2,2024,2024-04-01,2024-08-30,Paid,2024-09-03,Flat,9.0,15.0
2,421.0,Security Systems,78,2,2024,2024-04-01,2024-08-30,Paid,2024-09-09,Flat,9.0,15.0
2,421.0,Electricity (Communal Areas),112,2,2024,2024-04-01,2024-08-30,Paid,2024-09-25,Flat,9.0,15.0
2,421.0,Water (Communal Areas),50,2,2024,2024-04-01,2024-08-30,Paid,2024-09-11,Flat,9.0,15.0
2,421.0,Sinking Fund,184,2,2024,2024-04-01,2024-08-30,Paid,2024-09-29,Flat,9.0,15.0
2,421.0,Building Insurance,177,3,2024,2024-07-01,2024-11-30,Paid,2024-12-25,Flat,9.0,15.0
2,421.0,Grounds Maintenance,98,3,2024,2024-07-01,2024-11-30,Paid,2024-12-02,Flat,9.0,15.0
2,421.0,Cleaning (Communal Areas),167,3,2024,2024-07-01,2024-11-30,Overdue,,Flat,9.0,15.0
2,421.0,Lift Maintenance,142,3,2024,2024-07-01,2024-11-30,Paid,2024-12-14,Flat,9.0,15.0
2,421.0,Building Repairs,205,3,2024,2024-07-01,2024-11-30,Paid,2024-12-22,Flat,9.0,15.0
2,421.0,Management Fee,80,3,2024,2024-07-01,2024-11-30,Paid,2024-12-20,Flat,9.0,15.0
2,421.0,Security Systems,78,3,2024,2024-07-01,2024-11-30,Paid,2024-12-04,Flat,9.0,15.0
2,421.0,Electricity (Communal Areas),99,3,2024,2024-07-01,2024-11-30,Paid,2024-12-11,Flat,9.0,15.0
2,421.0,Water (Communal Areas),49,3,2024,2024-07-01,2024-11-30,Paid,2024-12-24,Flat,9.0,15.0
2,421.0,Sinking Fund,191,3,2024,2024-07-01,2024-11-30,Pending,,Flat,9.0,15.0
2,421.0,Building Insurance,185,4,2024,2024-10-01,2024-12-31,Paid,2025-01-11,Flat,9.0,15.0
2,421.0,Grounds Maintenance,109,4,2024,2024-10-01,2024-12-31,Paid,2025-01-18,Flat,9.0,15.0
2,421.0,Cleaning (Communal Areas),138,4,2024,2024-10-01,2024-12-31,Paid,2025-01-12,Flat,9.0,15.0
2,421.0,Lift Maintenance,148,4,2024,2024-10-01,2024-12-31,Paid,2025-01-28,Flat,9.0,15.0
2,421.0,Building Repairs,241,4,2024,2024-10-01,2024-12-31,Paid,2025-01-23,Flat,9.0,15.0
2,421.0,Management Fee,81,4,2024,2024-10-01,2024-12-31,Paid,2025-01-13,Flat,9.0,15.0
2,421.0,Security Systems,62,4,2024,2024-10-01,2024-12-31,Pending,,Flat,9.0,15.0
2,421.0,Electricity (Communal Areas),123,4,2024,2024-10-01,2024-12-31,Paid,2025-01-18,Flat,9.0,15.0
2,421.0,Water (Communal Areas),62,4,2024,2024-10-01,2024-12-31,Paid,2025-01-24,Flat,9.0,15.0
2,421.0,Sinking Fund,206,4,2024,2024-10-01,2024-12-31,Paid,2025-01-10,Flat,9.0,15.0
2,421.0,Building Insurance,194,1,2025,2025-01-01,2025-05-30,Paid,2025-06-14,Flat,9.0,15.0
2,421.0,Grounds Maintenance,93,1,2025,2025-01-01,2025-05-30,Paid,2025-06-05,Flat,9.0,15.0
2,421.0,Cleaning (Communal Areas),168,1,2025,2025-01-01,2025-05-30,Paid,2025-06-13,Flat,9.0,15.0
2,421.0,Lift Maintenance,155,1,2025,2025-01-01,2025-05-30,Paid,2025-06-09,Flat,9.0,15.0
2,421.0,Building Repairs,229,1,2025,2025-01-01,2025-05-30,Paid,2025-06-07,Flat,9.0,15.0
2,421.0,Management Fee,87,1,2025,2025-01-01,2025-05-30,Paid,2025-06-12,Flat,9.0,15.0
2,421.0,Security Systems,74,1,2025,2025-01-01,2025-05-30,Pending,,Flat,9.0,15.0
2,421.0,Electricity (Communal Areas),95,1,2025,2025-01-01,2025-05-30,Paid,2025-06-03,Flat,9.0,15.0
2,421.0,Water (Communal Areas),55,1,2025,2025-01-01,2025-05-30,Paid,2025-06-05,Flat,9.0,15.0
2,421.0,Sinking Fund,194,1,2025,2025-01-01,2025-05-30,Disputed,,Flat,9.0,15.0
3,35.0,Building Insurance,229,2,2023,2023-04-01,2023-08-30,Paid,2023-09-11,Flat,5.0,10.0
3,35.0,Grounds Maintenance,129,2,2023,2023-04-01,2023-08-30,Paid,2023-09-19,Flat,5.0,10.0
3,35.0,Cleaning (Communal Areas),168,2,2023,2023-04-01,2023-08-30,Paid,2023-09-20,Flat,5.0,10.0
3,35.0,Lift Maintenance,132,2,2023,2023-04-01,2023-08-30,Pending,,Flat,5.0,10.0
3,35.0,Building Repairs,285,2,2023,2023-04-01,2023-08-30,Paid,2023-09-10,Flat,5.0,10.0
3,35.0,Management Fee,100,2,2023,2023-04-01,2023-08-30,Paid,2023-09-07,Flat,5.0,10.0
3,35.0,Security Systems,89,2,2023,2023-04-01,2023-08-30,Paid,2023-09-14,Flat,5.0,10.0
3,35.0,Electricity (Communal Areas),112,2,2023,2023-04-01,2023-08-30,Overdue,,Flat,5.0,10.0
3,35.0,Water (Communal Areas),54,2,2023,2023-04-01,2023-08-30,Pending,,Flat,5.0,10.0
3,35.0,Sinking Fund,194,2,2023,2023-04-01,2023-08-30,Paid,2023-09-26,Flat,5.0,10.0
3,35.0,Building Insurance,190,3,2023,2023-07-01,2023-11-30,Paid,2023-12-06,Flat,5.0,10.0
3,35.0,Grounds Maintenance,127,3,2023,2023-07-01,2023-11-30,Paid,2023-12-19,Flat,5.0,10.0
3,35.0,Cleaning (Communal Areas),188,3,2023,2023-07-01,2023-11-30,Disputed,,Flat,5.0,10.0
3,35.0,Lift Maintenance,146,3,2023,2023-07-01,2023-11-30,Paid,2023-12-20,Flat,5.0,10.0
3,35.0,Building Repairs,229,3,2023,2023-07-01,2023-11-30,Paid,2023-12-17,Flat,5.0,10.0
3,35.0,Management Fee,115,3,2023,2023-07-01,2023-11-30,Paid,2023-12-24,Flat,5.0,10.0
3,35.0,Security Systems,78,3,2023,2023-07-01,2023-11-30,Paid,2023-12-20,Flat,5.0,10.0
3,35.0,Electricity (Communal Areas),111,3,2023,2023-07-01,2023-11-30,Paid,2023-12-16,Flat,5.0,10.0
3,35.0,Water (Communal Areas),63,3,2023,2023-07-01,2023-11-30,Overdue,,Flat,5.0,10.0
3,35.0,Sinking Fund,171,3,2023,2023-07-01,2023-11-30,Paid,2023-12-26,Flat,5.0,10.0
3,35.0,Building Insurance,209,4,2023,2023-10-01,2023-12-31,Paid,2024-01-28,Flat,5.0,10.0
3,35.0,Grounds Maintenance,109,4,2023,2023-10-01,2023-12-31,Overdue,,Flat,5.0,10.0
3,35.0,Cleaning (Communal Areas),178,4,2023,2023-10-01,2023-12-31,Paid,2024-01-08,Flat,5.0,10.0
3,35.0,Lift Maintenance,135,4,2023,2023-10-01,2023-12-31,Overdue,,Flat,5.0,10.0
3,35.0,Building Repairs,282,4,2023,2023-10-01,2023-12-31,Paid,2024-01-10,Flat,5.0,10.0
3,35.0,Management Fee,87,4,2023,2023-10-01,2023-12-31,Paid,2024-01-19,Flat,5.0,10.0
3,35.0,Security Systems,79,4,2023,2023-10-01,2023-12-31,Paid,2024-01-20,Flat,5.0,10.0
3,35.0,Electricity (Communal Areas),118,4,2023,2023-10-01,2023-12-31,Paid,2024-01-06,Flat,5.0,10.0
3,35.0,Water (Communal Areas),69,4,2023,2023-10-01,2023-12-31,Paid,2024-01-04,Flat,5.0,10.0
3,35.0,Sinking Fund,218,4,2023,2023-10-01,2023-12-31,Pending,,Flat,5.0,10.0
3,35.0,Building Insurance,222,1,2024,2024-01-01,2024-05-30,Overdue,,Flat,5.0,10.0
3,35.0,Grounds Maintenance,111,1,2024,2024-01-01,2024-05-30,Paid,2024-06-02,Flat,5.0,10.0
3,35.0,Cleaning (Communal Areas),153,1,2024,2024-01-01,2024-05-30,Paid,2024-06-21,Flat,5.0,10.0
3,35.0,Lift Maintenance,146,1,2024,2024-01-01,2024-05-30,Paid,2024-06-15,Flat,5.0,10.0
3,35.0,Building Repairs,277,1,2024,2024-01-01,2024-05-30,Paid,2024-06-13,Flat,5.0,10.0
3,35.0,Management Fee,114,1,2024,2024-01-01,2024-05-30,Pending,,Flat,5.0,10.0
3,35.0,Security Systems,81,1,2024,2024-01-01,2024-05-30,Paid,2024-06-19,Flat,5.0,10.0
3,35.0,Electricity (Communal Areas),125,1,2024,2024-01-01,2024-05-30,Paid,2024-05-31,Flat,5.0,10.0
3,35.0,Water (Communal Areas),59,1,2024,2024-01-01,2024-05-30,Pending,,Flat,5.0,10.0
3,35.0,Sinking Fund,174,1,2024,2024-01-01,2024-05-30,Pending,,Flat,5.0,10.0
3,35.0,Building Insurance,220,2,2024,2024-04-01,2024-08-30,Paid,2024-09-01,Flat,5.0,10.0
3,35.0,Grounds Maintenance,115,2,2024,2024-04-01,2024-08-30,Paid,2024-09-16,Flat,5.0,10.0
3,35.0,Cleaning (Communal Areas),187,2,2024,2024-04-01,2024-08-30,Paid,2024-09-25,Flat,5.0,10.0
3,35.0,Lift Maintenance,133,2,2024,2024-04-01,2024-08-30,Paid,2024-09-08,Flat,5.0,10.0
3,35.0,Building Repairs,269,2,2024,2024-04-01,2024-08-30,Paid,2024-09-25,Flat,5.0,10.0
3,35.0,Management Fee,88,2,2024,2024-04-01,2024-08-30,Paid,2024-09-13,Flat,5.0,10.0
3,35.0,Security Systems,84,2,2024,2024-04-01,2024-08-30,Paid,2024-09-07,Flat,5.0,10.0
3,35.0,Electricity (Communal Areas),131,2,2024,2024-04-01,2024-08-30,Paid,2024-09-03,Flat,5.0,10.0
3,35.0,Water (Communal Areas),57,2,2024,2024-04-01,2024-08-30,Paid,2024-09-14,Flat,5.0,10.0
3,35.0,Sinking Fund,224,2,2024,2024-04-01,2024-08-30,Paid,2024-09-07,Flat,5.0,10.0
3,35.0,Building Insurance,215,3,2024,2024-07-01,2024-11-30,Paid,2024-12-23,Flat,5.0,10.0
3,35.0,Grounds Maintenance,118,3,2024,2024-07-01,2024-11-30,Paid,2024-12-23,Flat,5.0,10.0
3,35.0,Cleaning (Communal Areas),167,3,2024,2024-07-01,2024-11-30,Paid,2024-12-02,Flat,5.0,10.0
3,35.0,Lift Maintenance,162,3,2024,2024-07-01,2024-11-30,Paid,2024-12-10,Flat,5.0,10.0
3,35.0,Building Repairs,214,3,2024,2024-07-01,2024-11-30,Pending,,Flat,5.0,10.0
3,35.0,Management Fee,102,3,2024,2024-07-01,2024-11-30,Paid,2024-12-10,Flat,5.0,10.0
3,35.0,Security Systems,91,3,2024,2024-07-01,2024-11-30,Paid,2024-12-21,Flat,5.0,10.0
3,35.0,Electricity (Communal Areas),113,3,2024,2024-07-01,2024-11-30,Paid,2024-12-22,Flat,5.0,10.0
3,35.0,Water (Communal Areas),56,3,2024,2024-07-01,2024-11-30,Paid,2024-12-23,Flat,5.0,10.0
3,35.0,Sinking Fund,178,3,2024,2024-07-01,2024-11-30,Paid,2024-12-28,Flat,5.0,10.0
3,35.0,Building Insurance,193,4,2024,2024-10-01,2024-12-31,Paid,2025-01-01,Flat,5.0,10.0
3,35.0,Grounds Maintenance,133,4,2024,2024-10-01,2024-12-31,Paid,2025-01-05,Flat,5.0,10.0
3,35.0,Cleaning (Communal Areas),185,4,2024,2024-10-01,2024-12-31,Paid,2025-01-24,Flat,5.0,10.0
3,35.0,Lift Maintenance,150,4,2024,2024-10-01,2024-12-31,Pending,,Flat,5.0,10.0
3,35.0,Building Repairs,251,4,2024,2024-10-01,2024-12-31,Paid,2025-01-29,Flat,5.0,10.0
3,35.0,Management Fee,90,4,2024,2024-10-01,2024-12-31,Paid,2025-01-05,Flat,5.0,10.0
3,35.0,Security Systems,82,4,2024,2024-10-01,2024-12-31,Paid,2025-01-17,Flat,5.0,10.0
3,35.0,Electricity (Communal Areas),115,4,2024,2024-10-01,2024-12-31,Pending,,Flat,5.0,10.0
3,35.0,Water (Communal Areas),60,4,2024,2024-10-01,2024-12-31,Paid,2025-01-17,Flat,5.0,10.0
3,35.0,Sinking Fund,199,4,2024,2024-10-01,2024-12-31,Paid,2025-01-13,Flat,5.0,10.0
3,35.0,Building Insurance,171,1,2025,2025-01-01,2025-05-30,Overdue,,Flat,5.0,10.0
3,35.0,Grounds Maintenance,114,1,2025,2025-01-01,2025-05-30,Paid,2025-06-07,Flat,5.0,10.0
3,35.0,Cleaning (Communal Areas),161,1,2025,2025-01-01,2025-05-30,Paid,2025-06-23,Flat,5.0,10.0
3,35.0,Lift Maintenance,163,1,2025,2025-01-01,2025-05-30,Paid,2025-06-11,Flat,5.0,10.0
3,35.0,Building Repairs,250,1,2025,2025-01-01,2025-05-30,Paid,2025-06-20,Flat,5.0,10.0
3,35.0,Management Fee,112,1,2025,2025-01-01,2025-05-30,Pending,,Flat,5.0,10.0
3,35.0,Security Systems,88,1,2025,2025-01-01,2025-05-30,Paid,2025-06-16,Flat,5.0,10.0
3,35.0,Electricity (Communal Areas),134,1,2025,2025-01-01,2025-05-30,Paid,2025-06-11,Flat,5.0,10.0
3,35.0,Water (Communal Areas),63,1,2025,2025-01-01,2025-05-30,Paid,2025-06-03,Flat,5.0,10.0
3,35.0,Sinking Fund,227,1,2025,2025-01-01,2025-05-30,Paid,2025-06-08,Flat,5.0,10.0
