compliance_id,propertyid,compliance_type,last_inspection_date,next_due_date,days_until_due,status,risk_level,responsible_person,regulatory_body,certificate_reference,notes,remedial_actions_required,property_type,is_higher_risk,property_age_years,blockid,estateid,patchid
12,2,Fire Risk Assessment,2025-01-01,2025-12-27,243,Compliant,High,Mark Ward,Fire and Rescue Authority,FIR-xO615Zm-2025,,,Flat,False,32.0,15.0,9.0,4.0
13,2,Gas Safety Certificate,2024-07-12,2025-07-07,70,Compliant,Critical,Mr Gareth Morgan,Fire and Rescue Authority,GAS-CB926Tw-2024,,,Flat,False,32.0,15.0,9.0,4.0
14,2,Electrical Installation Condition Report,2024-06-03,2029-05-08,1471,Compliant,High,Jonathan Tyler,Fire and Rescue Authority,ELE-GQ151lh-2024,Fully compliant with current regulations.,,Flat,False,32.0,15.0,9.0,4.0
15,2,Asbestos Survey,2024-09-21,2026-09-11,501,Compliant,High,Lynn Ward,Building Safety Regulator,ASB-nf209DP-2024,,,Flat,False,32.0,15.0,9.0,4.0
16,2,Legionella Risk Assessment,2023-12-10,2025-11-29,215,Compliant,Low,Bernard Winter,Health and Safety Executive,LEG-kz975gL-2023,All systems functioning correctly.,,Flat,False,32.0,15.0,9.0,4.0
17,2,Lift Inspection,2025-04-12,2025-10-09,164,Compliant,Medium,Mr Shane O'Connor,Housing Ombudsman,LIF-MI300AK-2025,,,Flat,False,32.0,15.0,9.0,4.0
18,2,Emergency Lighting Test,2025-04-23,2026-04-18,355,Compliant,Critical,Joyce O'Connor,Health and Safety Executive,EME-Lu312ww-2025,,,Flat,False,32.0,15.0,9.0,4.0
19,2,Fire Alarm System Test,2024-11-15,2025-05-14,16,Due Soon,Low,Marilyn Cooper,Fire and Rescue Authority,FIR-AL373LY-2024,Follow-up required before expiry.,Notify tenants of upcoming mandatory access requirements.,Flat,False,32.0,15.0,9.0,4.0
20,2,Fire Extinguisher Inspection,2024-08-15,2025-08-10,104,Compliant,Low,Patricia Moss,Housing Ombudsman,FIR-Dn344Qd-2024,,,Flat,False,32.0,15.0,9.0,4.0
21,2,Smoke/Heat Detector Test,2024-06-05,2025-05-31,33,Compliant,Low,Alan Smith,Local Authority Building Control,SMO-sf021BL-2024,All systems functioning correctly.,,Flat,False,32.0,15.0,9.0,4.0
22,2,Water Risk Assessment,2024-07-31,2026-07-21,449,Compliant,High,Teresa Kay,Housing Ombudsman,WAT-vi587Yw-2024,,,Flat,False,32.0,15.0,9.0,4.0
23,3,Gas Safety Certificate,2024-11-22,2025-11-17,203,Compliant,High,Lauren Wilkinson,Local Authority Building Control,GAS-Iu086BB-2024,,,Flat,False,34.0,10.0,5.0,5.0
24,3,Electrical Installation Condition Report,2022-08-07,2027-07-12,805,Compliant,Low,Francis Davis,Housing Ombudsman,ELE-dA968Ps-2022,,,Flat,False,34.0,10.0,5.0,5.0
25,3,Asbestos Survey,2023-10-14,2025-10-03,158,Compliant,Medium,Lesley Stone,Housing Ombudsman,ASB-hG122Gb-2023,,,Flat,False,34.0,10.0,5.0,5.0
26,3,Legionella Risk Assessment,2023-05-23,2025-05-12,14,Due Soon,Medium,Alan Smith-Rogers,Fire and Rescue Authority,LEG-Ex953Nv-2023,Contractor appointment pending.,,Flat,False,34.0,10.0,5.0,5.0
27,3,Lift Inspection,2025-03-02,2025-08-29,123,Compliant,Low,Chelsea Hughes-Patel,Housing Ombudsman,LIF-rW087bh-2025,,,Flat,False,34.0,10.0,5.0,5.0
28,3,Emergency Lighting Test,2024-06-09,2025-06-04,37,Compliant,Low,Chloe Green,Health and Safety Executive,EME-sC651ac-2024,,,Flat,False,34.0,10.0,5.0,5.0
29,3,Fire Alarm System Test,2024-11-08,2025-05-07,9,Due Soon,Low,Jacqueline Jones-Read,Housing Ombudsman,FIR-Bl777PQ-2024,Renewal process initiated.,,Flat,False,34.0,10.0,5.0,5.0
30,3,Fire Extinguisher Inspection,2024-10-02,2025-09-27,152,Compliant,Medium,Henry Walker,Building Safety Regulator,FIR-DR339Ks-2024,,,Flat,False,34.0,10.0,5.0,5.0
31,3,Smoke/Heat Detector Test,2025-04-01,2026-03-27,333,Compliant,High,Amy Bell,Regulator of Social Housing,SMO-Ql669gK-2025,Minor recommendations noted for future reference.,,Flat,False,34.0,10.0,5.0,5.0
32,3,Water Risk Assessment,2025-03-04,2027-02-22,665,Compliant,High,Francesca Cooper,Local Authority Building Control,WAT-RI372Dz-2025,,,Flat,False,34.0,10.0,5.0,5.0
33,4,Fire Risk Assessment,2024-09-04,2025-08-30,124,Compliant,Low,Christine Cook,Health and Safety Executive,FIR-cL487TZ-2024,,,House,False,35.0,11.0,6.0,7.0
34,4,Gas Safety Certificate,2025-04-03,2026-03-29,335,Compliant,Medium,Hannah Allen,Housing Ombudsman,GAS-OC936qW-2025,,,House,False,35.0,11.0,6.0,7.0
35,4,Electrical Installation Condition Report,2024-12-28,2029-12-02,1679,Compliant,Critical,Dr Leigh Hewitt,Local Authority Building Control,ELE-jg525rH-2024,,,House,False,35.0,11.0,6.0,7.0
36,4,Asbestos Survey,2025-04-26,2027-04-16,718,Compliant,Low,Amber Dobson-Rogers,Fire and Rescue Authority,ASB-ba735iS-2025,,,House,False,35.0,11.0,6.0,7.0
37,4,Legionella Risk Assessment,2023-05-16,2025-05-05,7,Due Soon,Low,Josephine Iqbal,Housing Ombudsman,LEG-kg358II-2023,,,House,False,35.0,11.0,6.0,7.0
38,4,Emergency Lighting Test,2025-03-30,2026-03-25,331,Compliant,Low,Paula Carter,Housing Ombudsman,EME-CM174JR-2025,Routine inspection completed successfully.,,House,False,35.0,11.0,6.0,7.0
39,4,Fire Alarm System Test,2024-12-21,2025-06-19,52,Compliant,Medium,Mr Craig Ward,Housing Ombudsman,FIR-ad770Tw-2024,Fully compliant with current regulations.,,House,False,35.0,11.0,6.0,7.0
40,4,Fire Extinguisher Inspection,2024-06-28,2025-06-23,56,Overdue,Low,Dr Chelsea Taylor,Building Safety Regulator,FIR-NS530wX-2024,Escalated to management team.,Contact approved contractor for assessment.,House,False,35.0,11.0,6.0,7.0
41,4,Smoke/Heat Detector Test,2025-03-18,2026-03-13,319,Compliant,Low,Claire Davis,Housing Ombudsman,SMO-hz444jS-2025,,,House,False,35.0,11.0,6.0,7.0
42,4,Water Risk Assessment,2023-06-13,2025-06-02,35,Compliant,Low,Benjamin Hyde,Local Authority Building Control,WAT-HW828MM-2023,,,House,False,35.0,11.0,6.0,7.0
43,5,Fire Risk Assessment,2024-09-06,2025-09-01,126,Compliant,Medium,Ms Hayley Stephenson,Health and Safety Executive,FIR-qW629Xg-2024,Fully compliant with current regulations.,,House,False,34.0,16.0,9.0,3.0
44,5,Gas Safety Certificate,2025-03-22,2026-03-17,323,Compliant,Critical,Frederick Brown-Thorpe,Housing Ombudsman,GAS-ay208nn-2025,,,House,False,34.0,16.0,9.0,3.0
45,5,Electrical Installation Condition Report,2024-12-24,2029-11-28,1675,Compliant,High,Leigh Graham,Local Authority Building Control,ELE-pb843Ru-2024,,,House,False,34.0,16.0,9.0,3.0
46,5,Asbestos Survey,2023-06-29,2025-06-18,51,Compliant,Low,Mr Brandon Bennett,Regulator of Social Housing,ASB-CR523Ds-2023,,,House,False,34.0,16.0,9.0,3.0
47,5,Legionella Risk Assessment,2024-12-12,2026-12-02,583,Compliant,Medium,Dr Sophie Taylor,Health and Safety Executive,LEG-HJ685ZU-2024,,,House,False,34.0,16.0,9.0,3.0
48,5,Emergency Lighting Test,2025-01-11,2026-01-06,253,Compliant,Low,Jade Kaur,Local Authority Building Control,EME-Yz292mW-2025,,,House,False,34.0,16.0,9.0,3.0
49,5,Fire Alarm System Test,2025-02-23,2025-08-22,116,Compliant,Medium,Christine Smith,Health and Safety Executive,FIR-BQ890Hv-2025,Minor recommendations noted for future reference.,,House,False,34.0,16.0,9.0,3.0
50,5,Fire Extinguisher Inspection,2024-11-09,2025-11-04,190,Compliant,Low,Natalie King,Regulator of Social Housing,FIR-BC077eh-2024,,,House,False,34.0,16.0,9.0,3.0
51,5,Smoke/Heat Detector Test,2024-09-22,2025-09-17,142,Compliant,Medium,Abdul O'Brien-Allen,Health and Safety Executive,SMO-Ty057wO-2024,All systems functioning correctly.,,House,False,34.0,16.0,9.0,3.0
52,5,Water Risk Assessment,2024-07-04,2026-06-24,422,Compliant,High,Alan Cooper,Building Safety Regulator,WAT-zd879RP-2024,Routine inspection completed successfully.,,House,False,34.0,16.0,9.0,3.0
53,6,Fire Risk Assessment,2025-04-08,2026-04-03,340,Compliant,Critical,Brian Gray,Local Authority Building Control,FIR-aV708VF-2025,,,Flat,False,32.0,3.0,1.0,8.0
54,6,Gas Safety Certificate,2024-07-16,2025-07-11,74,Compliant,Low,Sian Thomson-Sullivan,Building Safety Regulator,GAS-dt419WK-2024,,,Flat,False,32.0,3.0,1.0,8.0
55,6,Electrical Installation Condition Report,2024-12-28,2029-12-02,1679,Compliant,Critical,Dr Wayne Gough,Local Authority Building Control,ELE-la934Hj-2024,,,Flat,False,32.0,3.0,1.0,8.0
56,6,Legionella Risk Assessment,2024-03-03,2026-02-21,299,Compliant,Low,Leah Hussain,Regulator of Social Housing,LEG-eK165hq-2024,,,Flat,False,32.0,3.0,1.0,8.0
57,6,Lift Inspection,2025-04-01,2025-09-28,153,Compliant,High,Mrs Jade Marshall,Health and Safety Executive,LIF-DZ299yO-2025,,,Flat,False,32.0,3.0,1.0,8.0
58,6,Emergency Lighting Test,2024-09-05,2025-08-31,125,Compliant,High,Dr Jordan O'Brien,Local Authority Building Control,EME-sZ564Wa-2024,,,Flat,False,32.0,3.0,1.0,8.0
59,6,Fire Alarm System Test,2025-02-16,2025-08-15,109,Compliant,Low,Dr Rosie Donnelly,Fire and Rescue Authority,FIR-Gd097jq-2025,,,Flat,False,32.0,3.0,1.0,8.0
60,6,Fire Extinguisher Inspection,2024-07-28,2025-07-23,86,Compliant,Medium,Mrs Sophie James,Health and Safety Executive,FIR-vB543Dv-2024,Routine inspection completed successfully.,,Flat,False,32.0,3.0,1.0,8.0
61,6,Smoke/Heat Detector Test,2024-12-14,2025-12-09,225,Compliant,Critical,Mr Allan Riley,Fire and Rescue Authority,SMO-VI543WM-2024,,,Flat,False,32.0,3.0,1.0,8.0
62,6,Water Risk Assessment,2023-11-22,2025-11-11,197,Overdue,Medium,Karen Smith,Local Authority Building Control,WAT-ak164KM-2023,Follow-up email sent to responsible person.,Allocate budget for necessary repairs before certification.,Flat,False,32.0,3.0,1.0,8.0
63,7,Gas Safety Certificate,2024-05-20,2025-05-15,17,Compliant,Medium,Sam Warren,Regulator of Social Housing,GAS-HO231MR-2024,,,Flat,False,35.0,2.0,1.0,5.0
64,7,Electrical Installation Condition Report,2024-08-16,2029-07-21,1545,Compliant,Medium,Joshua Davies,Fire and Rescue Authority,ELE-df316tV-2024,,,Flat,False,35.0,2.0,1.0,5.0
65,7,Asbestos Survey,2023-05-16,2025-05-05,7,Due Soon,Low,Charles Stephenson-Johnson,Local Authority Building Control,ASB-Mc759IF-2023,Follow-up required before expiry.,,Flat,False,35.0,2.0,1.0,5.0
66,7,Legionella Risk Assessment,2024-06-24,2026-06-14,412,Compliant,Medium,Dean Kerr,Health and Safety Executive,LEG-BE809mm-2024,,,Flat,False,35.0,2.0,1.0,5.0
67,7,Lift Inspection,2024-11-24,2025-05-23,25,Due Soon,High,Benjamin Howard,Building Safety Regulator,LIF-Jx386PX-2024,Inspection scheduled for next month.,,Flat,False,35.0,2.0,1.0,5.0
68,7,Emergency Lighting Test,2025-02-01,2026-01-27,274,Compliant,Critical,Dr Natasha Booth,Fire and Rescue Authority,EME-Yr968Uo-2025,,,Flat,False,35.0,2.0,1.0,5.0
69,7,Fire Alarm System Test,2025-02-27,2025-08-26,120,Compliant,Low,Timothy Thomas,Local Authority Building Control,FIR-Kk281po-2025,,,Flat,False,35.0,2.0,1.0,5.0
70,7,Fire Extinguisher Inspection,2024-08-28,2025-08-23,117,Compliant,Low,Terence Cole,Health and Safety Executive,FIR-zU532ZP-2024,,,Flat,False,35.0,2.0,1.0,5.0
71,7,Smoke/Heat Detector Test,2024-05-07,2025-05-02,4,Due Soon,Medium,Dr Danny Kelly,Building Safety Regulator,SMO-Pk097RX-2024,Reminder sent to property manager.,,Flat,False,35.0,2.0,1.0,5.0
72,7,Water Risk Assessment,2024-09-23,2026-09-13,503,Compliant,High,Anna Webster,Regulator of Social Housing,WAT-oO207EP-2024,,,Flat,False,35.0,2.0,1.0,5.0
73,8,Fire Risk Assessment,2025-02-25,2026-02-20,298,Compliant,Low,Dr Pamela Edwards,Building Safety Regulator,FIR-wu678dI-2025,,,House,False,33.0,14.0,9.0,5.0
74,8,Gas Safety Certificate,2024-09-14,2025-09-09,134,Compliant,Medium,Sam Murphy-Johnson,Regulator of Social Housing,GAS-JO520Nz-2024,,,House,False,33.0,14.0,9.0,5.0
75,8,Electrical Installation Condition Report,2024-09-12,2029-08-17,1572,Compliant,Critical,Sylvia Brady,Regulator of Social Housing,ELE-tt064yA-2024,,,House,False,33.0,14.0,9.0,5.0
76,8,Asbestos Survey,2024-06-06,2026-05-27,394,Compliant,High,Rita Baxter,Housing Ombudsman,ASB-jK274wI-2024,,,House,False,33.0,14.0,9.0,5.0
77,8,Legionella Risk Assessment,2024-07-10,2026-06-30,428,Compliant,Medium,Miss Ann Williams,Fire and Rescue Authority,LEG-fV468Vo-2024,,,House,False,33.0,14.0,9.0,5.0
78,8,Emergency Lighting Test,2024-12-31,2025-12-26,242,Compliant,Low,Lucy Storey,Local Authority Building Control,EME-Xq037yV-2024,,,House,False,33.0,14.0,9.0,5.0
79,8,Fire Alarm System Test,2024-12-11,2025-06-09,42,Compliant,Medium,Ryan Wilkinson,Health and Safety Executive,FIR-jp945rD-2024,,,House,False,33.0,14.0,9.0,5.0
80,8,Fire Extinguisher Inspection,2024-07-03,2025-06-28,61,Compliant,Critical,Jack Bryan,Health and Safety Executive,FIR-gH904MB-2024,,,House,False,33.0,14.0,9.0,5.0
81,8,Smoke/Heat Detector Test,2025-04-25,2026-04-20,357,Compliant,Low,Ms Abbie Frost,Fire and Rescue Authority,SMO-QF455wg-2025,,,House,False,33.0,14.0,9.0,5.0
82,8,Water Risk Assessment,2024-09-26,2026-09-16,506,Compliant,Critical,Miss Jayne Brown,Regulator of Social Housing,WAT-At581Pw-2024,,,House,False,33.0,14.0,9.0,5.0
83,9,Fire Risk Assessment,2025-01-06,2026-01-01,248,Compliant,Low,Paige Bennett,Building Safety Regulator,FIR-Hr314aR-2025,Routine inspection completed successfully.,,Flat,False,35.0,11.0,6.0,7.0
84,9,Gas Safety Certificate,2025-02-03,2026-01-29,276,Compliant,High,Brett Steele,Local Authority Building Control,GAS-PM544Xx-2025,,,Flat,False,35.0,11.0,6.0,7.0
85,9,Electrical Installation Condition Report,2024-06-29,2029-06-03,1497,Compliant,Critical,Mrs Suzanne Ward,Health and Safety Executive,ELE-Pl315uG-2024,Minor recommendations noted for future reference.,,Flat,False,35.0,11.0,6.0,7.0
86,9,Asbestos Survey,2025-03-08,2027-02-26,669,Compliant,Medium,Mr Frank Burgess,Fire and Rescue Authority,ASB-Ak177Tk-2025,,,Flat,False,35.0,11.0,6.0,7.0
87,9,Legionella Risk Assessment,2024-10-16,2026-10-06,526,Compliant,High,Dr Adrian Chamberlain,Building Safety Regulator,LEG-SB173cZ-2024,,,Flat,False,35.0,11.0,6.0,7.0
88,9,Lift Inspection,2024-12-11,2025-06-09,42,Critical Overdue,Low,Samantha White,Local Authority Building Control,LIF-Ov870ND-2024,Urgent action required - escalated to director level.,Prepare documentation for regulatory submission.,Flat,False,35.0,11.0,6.0,7.0
89,9,Emergency Lighting Test,2025-04-13,2026-04-08,345,Compliant,Low,Dr Marie Tomlinson,Local Authority Building Control,EME-TD457QC-2025,,,Flat,False,35.0,11.0,6.0,7.0
90,9,Fire Alarm System Test,2024-12-28,2025-06-26,59,Compliant,Low,Lynne Evans,Housing Ombudsman,FIR-ud563JE-2024,,,Flat,False,35.0,11.0,6.0,7.0
91,9,Fire Extinguisher Inspection,2024-10-22,2025-10-17,172,Compliant,Low,Dr Geoffrey Patterson,Regulator of Social Housing,FIR-Gj581HW-2024,,,Flat,False,35.0,11.0,6.0,7.0
92,9,Smoke/Heat Detector Test,2024-11-20,2025-11-15,201,Compliant,Low,Ruth Hobbs-Kelly,Fire and Rescue Authority,SMO-ep382hE-2024,,,Flat,False,35.0,11.0,6.0,7.0
93,9,Water Risk Assessment,2024-10-07,2026-09-27,517,Compliant,Low,Dr Susan Cox,Regulator of Social Housing,WAT-jJ101BK-2024,,,Flat,False,35.0,11.0,6.0,7.0
94,10,Fire Risk Assessment,2024-05-13,2025-05-08,10,Due Soon,Low,Linda McKenzie,Health and Safety Executive,FIR-KS093Go-2024,,,Flat,False,34.0,6.0,4.0,2.0
95,10,Electrical Installation Condition Report,2024-12-08,2029-11-12,1659,Compliant,Medium,Lucy Douglas,Fire and Rescue Authority,ELE-mk590Xg-2024,Minor recommendations noted for future reference.,,Flat,False,34.0,6.0,4.0,2.0
96,10,Asbestos Survey,2024-04-23,2026-04-13,350,Compliant,Low,Mr Jeremy Ryan,Building Safety Regulator,ASB-NN777WX-2024,,,Flat,False,34.0,6.0,4.0,2.0
97,10,Legionella Risk Assessment,2024-05-30,2026-05-20,387,Compliant,High,Nathan Moss,Housing Ombudsman,LEG-ks849Kd-2024,,,Flat,False,34.0,6.0,4.0,2.0
98,10,Lift Inspection,2024-11-28,2025-05-27,29,Due Soon,High,Mrs Grace Campbell,Local Authority Building Control,LIF-yn561MC-2024,,Allocate budget for necessary repairs before certification.,Flat,False,34.0,6.0,4.0,2.0
99,10,Emergency Lighting Test,2024-06-20,2025-06-15,48,Compliant,Medium,Mr Gareth Craig,Fire and Rescue Authority,EME-Ee634lP-2024,Routine inspection completed successfully.,,Flat,False,34.0,6.0,4.0,2.0
100,10,Fire Alarm System Test,2025-02-21,2025-08-20,114,Compliant,Low,Georgina Crawford,Housing Ombudsman,FIR-pK129qD-2025,,,Flat,False,34.0,6.0,4.0,2.0
101,10,Fire Extinguisher Inspection,2025-01-21,2026-01-16,263,Due Soon,Low,Dawn Gough,Building Safety Regulator,FIR-FA415th-2025,Inspection scheduled for next month.,,Flat,False,34.0,6.0,4.0,2.0
102,10,Smoke/Heat Detector Test,2025-04-20,2026-04-15,352,Compliant,Medium,Dr Georgina Jones,Regulator of Social Housing,SMO-Pm877lC-2025,,,Flat,False,34.0,6.0,4.0,2.0
103,10,Water Risk Assessment,2023-10-10,2025-09-29,154,Compliant,Low,Hollie Miah,Building Safety Regulator,WAT-BR275Xg-2023,,,Flat,False,34.0,6.0,4.0,2.0
104,11,Fire Risk Assessment,2024-09-08,2025-09-03,128,Compliant,Low,Judith Edwards,Fire and Rescue Authority,FIR-as257JH-2024,,,Flat,False,35.0,17.0,10.0,3.0
105,11,Gas Safety Certificate,2024-07-28,2025-07-23,86,Compliant,Low,Vincent Turner,Regulator of Social Housing,GAS-GV145bd-2024,All systems functioning correctly.,,Flat,False,35.0,17.0,10.0,3.0
106,11,Electrical Installation Condition Report,2022-01-07,2026-12-12,593,Compliant,Low,Mr Keith Marshall,Housing Ombudsman,ELE-OK430hD-2022,,,Flat,False,35.0,17.0,10.0,3.0
107,11,Asbestos Survey,2024-11-28,2026-11-18,569,Compliant,High,Benjamin Yates,Local Authority Building Control,ASB-RG574YL-2024,,,Flat,False,35.0,17.0,10.0,3.0
108,11,Legionella Risk Assessment,2025-03-13,2027-03-03,674,Compliant,Low,Jean Oliver,Housing Ombudsman,LEG-Pp176tP-2025,,,Flat,False,35.0,17.0,10.0,3.0
109,11,Lift Inspection,2024-12-24,2025-06-22,55,Compliant,Medium,Raymond Lewis,Fire and Rescue Authority,LIF-lD462Xs-2024,,,Flat,False,35.0,17.0,10.0,3.0
110,11,Emergency Lighting Test,2025-04-02,2026-03-28,334,Compliant,Low,Leah Evans,Building Safety Regulator,EME-CP422cz-2025,No issues found.,,Flat,False,35.0,17.0,10.0,3.0
111,11,Fire Alarm System Test,2024-11-18,2025-05-17,19,Due Soon,Low,Ms Kerry Griffiths,Local Authority Building Control,FIR-XU916eb-2024,Renewal process initiated.,,Flat,False,35.0,17.0,10.0,3.0
112,11,Fire Extinguisher Inspection,2024-07-17,2025-07-12,75,Compliant,Low,Mrs Catherine Evans,Housing Ombudsman,FIR-rG721mJ-2024,,,Flat,False,35.0,17.0,10.0,3.0
113,11,Smoke/Heat Detector Test,2024-10-16,2025-10-11,166,Compliant,High,Miss Joanne Cooper,Building Safety Regulator,SMO-bZ123bT-2024,,,Flat,False,35.0,17.0,10.0,3.0
114,11,Water Risk Assessment,2023-09-24,2025-09-13,138,Compliant,Medium,Dr Kenneth Ward,Housing Ombudsman,WAT-Xy236cV-2023,,,Flat,False,35.0,17.0,10.0,3.0
115,12,Fire Risk Assessment,2024-06-12,2025-06-07,40,Compliant,High,Jack Miller,Regulator of Social Housing,FIR-NS942rB-2024,All systems functioning correctly.,,Flat,False,35.0,17.0,10.0,7.0
116,12,Gas Safety Certificate,2025-04-27,2026-04-22,359,Compliant,Low,Emma Smith,Regulator of Social Housing,GAS-Qt963fF-2025,,,Flat,False,35.0,17.0,10.0,7.0
117,12,Electrical Installation Condition Report,2021-05-12,2026-04-16,353,Compliant,Low,Mr Lawrence Connor,Building Safety Regulator,ELE-nW919Cf-2021,All systems functioning correctly.,,Flat,False,35.0,17.0,10.0,7.0
118,12,Asbestos Survey,2024-06-12,2026-06-02,400,Compliant,High,Miss Aimee Jones,Local Authority Building Control,ASB-CH603Td-2024,,,Flat,False,35.0,17.0,10.0,7.0
119,12,Legionella Risk Assessment,2024-07-30,2026-07-20,448,Compliant,Medium,Jill Baker,Health and Safety Executive,LEG-iQ037UG-2024,Routine inspection completed successfully.,,Flat,False,35.0,17.0,10.0,7.0
120,12,Lift Inspection,2025-02-14,2025-08-13,107,Compliant,High,Holly Fraser,Building Safety Regulator,LIF-zH061pT-2025,,,Flat,False,35.0,17.0,10.0,7.0
121,12,Emergency Lighting Test,2024-08-15,2025-08-10,104,Compliant,Critical,Dennis Khan,Building Safety Regulator,EME-uE072ZJ-2024,No issues found.,,Flat,False,35.0,17.0,10.0,7.0
122,12,Fire Alarm System Test,2024-11-25,2025-05-24,26,Due Soon,High,Donna Weston,Health and Safety Executive,FIR-iK520xS-2024,Renewal process initiated.,,Flat,False,35.0,17.0,10.0,7.0
123,12,Smoke/Heat Detector Test,2024-07-07,2025-07-02,65,Due Soon,High,Nicholas Cook,Building Safety Regulator,SMO-gL767Td-2024,Follow-up required before expiry.,,Flat,False,35.0,17.0,10.0,7.0
124,12,Water Risk Assessment,2023-07-18,2025-07-07,70,Compliant,Medium,Ms Jill Brown,Health and Safety Executive,WAT-Mr545RA-2023,,,Flat,False,35.0,17.0,10.0,7.0
125,13,Fire Risk Assessment,2025-03-06,2026-03-01,307,Compliant,Low,Charlene Lord,Fire and Rescue Authority,FIR-Dq381kl-2025,,,Flat,False,35.0,17.0,10.0,3.0
126,13,Gas Safety Certificate,2024-10-05,2025-09-30,155,Compliant,Medium,Abigail Nelson,Housing Ombudsman,GAS-RV917OZ-2024,No issues found.,,Flat,False,35.0,17.0,10.0,3.0
127,13,Electrical Installation Condition Report,2020-12-28,2025-12-02,218,Compliant,Low,Deborah Murray,Housing Ombudsman,ELE-xo177dH-2020,,,Flat,False,35.0,17.0,10.0,3.0
128,13,Legionella Risk Assessment,2025-03-04,2027-02-22,665,Compliant,Medium,Dr James Coates,Building Safety Regulator,LEG-qR670or-2025,,,Flat,False,35.0,17.0,10.0,3.0
129,13,Lift Inspection,2024-12-09,2025-06-07,40,Compliant,Low,Christian Jackson,Regulator of Social Housing,LIF-wW143ZX-2024,,,Flat,False,35.0,17.0,10.0,3.0
130,13,Fire Alarm System Test,2025-03-19,2025-09-15,140,Compliant,High,Emma Clarke,Health and Safety Executive,FIR-UY257lp-2025,,,Flat,False,35.0,17.0,10.0,3.0
131,13,Fire Extinguisher Inspection,2025-03-01,2026-02-24,302,Compliant,Critical,Karl Mills,Health and Safety Executive,FIR-ps655Rj-2025,,,Flat,False,35.0,17.0,10.0,3.0
132,13,Smoke/Heat Detector Test,2024-11-30,2025-11-25,211,Compliant,Critical,Jack Wood-Grant,Fire and Rescue Authority,SMO-iE452HG-2024,,,Flat,False,35.0,17.0,10.0,3.0
133,13,Water Risk Assessment,2024-01-17,2026-01-06,253,Compliant,Medium,Bernard Young,Building Safety Regulator,WAT-Lf967ku-2024,Fully compliant with current regulations.,,Flat,False,35.0,17.0,10.0,3.0
134,14,Fire Risk Assessment,2025-03-24,2026-03-19,325,Compliant,High,Dr Jasmine Porter,Building Safety Regulator,FIR-Ve324pd-2025,,,House,False,35.0,11.0,6.0,3.0
135,14,Gas Safety Certificate,2025-04-27,2026-04-22,359,Compliant,Low,Liam Wilson,Fire and Rescue Authority,GAS-dN582FQ-2025,,,House,False,35.0,11.0,6.0,3.0
136,14,Electrical Installation Condition Report,2020-06-21,2025-05-26,28,Compliant,Medium,Damien Holland,Fire and Rescue Authority,ELE-OH357Gu-2020,,,House,False,35.0,11.0,6.0,3.0
137,14,Asbestos Survey,2024-06-03,2026-05-24,391,Compliant,Low,Suzanne Green-Hill,Regulator of Social Housing,ASB-pA694Jd-2024,,,House,False,35.0,11.0,6.0,3.0
