propertyid,quarter,year,period_start,period_end,expected_rent_gbp,actual_rent_gbp,rent_collection_rate_percent,void_loss_gbp,service_charge_income_gbp,maintenance_cost_gbp,management_cost_gbp,net_income_gbp,estimated_property_value_gbp,quarterly_roi_percent,annualized_roi_percent,property_type,blockid,estateid
238,2,2023,2023-04-01,2023-08-30,2409,2250,93.4,0,452,545,256,1901,245703,0.77,3.1,Flat,18.0,
177,2,2023,2023-04-01,2023-08-30,2512,2418,96.3,0,352,526,299,1945,273716,0.71,2.84,Flat,15.0,9.0
321,2,2023,2023-04-01,2023-08-30,2046,1919,93.8,0,345,785,183,1296,255413,0.51,2.03,Flat,19.0,
272,2,2023,2023-04-01,2023-08-30,2762,2714,98.3,0,368,360,262,2460,237737,1.03,4.14,Flat,19.0,
193,2,2023,2023-04-01,2023-08-30,1850,1684,91.0,0,474,513,184,1461,212379,0.69,2.75,Flat,17.0,10.0
209,2,2023,2023-04-01,2023-08-30,1944,1880,96.7,0,410,349,218,1724,322352,0.53,2.14,Flat,4.0,2.0
95,2,2023,2023-04-01,2023-08-30,3472,3159,91.0,0,257,268,348,2800,342019,0.82,3.27,House,13.0,8.0
254,2,2023,2023-04-01,2023-08-30,2203,2026,92.0,0,337,345,247,1771,264935,0.67,2.67,Flat,19.0,
24,2,2023,2023-04-01,2023-08-30,1899,1831,96.4,0,316,333,200,1613,224830,0.72,2.87,Flat,17.0,10.0
427,2,2023,2023-04-01,2023-08-30,2613,2505,95.9,0,347,470,219,2164,264798,0.82,3.27,Flat,,
117,2,2023,2023-04-01,2023-08-30,2416,2196,90.9,0,463,491,199,1970,189997,1.04,4.15,Flat,7.0,4.0
46,2,2023,2023-04-01,2023-08-30,2608,2489,95.4,609,388,211,241,1817,330390,0.55,2.2,Flat,11.0,6.0
17,2,2023,2023-04-01,2023-08-30,2365,2299,97.2,0,387,220,253,2213,338301,0.65,2.62,Flat,14.0,9.0
219,2,2023,2023-04-01,2023-08-30,1830,1731,94.6,0,589,540,160,1620,322261,0.5,2.01,Flat,17.0,10.0
319,2,2023,2023-04-01,2023-08-30,2434,2212,90.9,0,0,559,282,1371,345752,0.4,1.59,Block of Flats,21.0,
429,2,2023,2023-04-01,2023-08-30,2117,1999,94.4,0,502,296,186,2020,259141,0.78,3.12,Flat,,
472,2,2023,2023-04-01,2023-08-30,3280,3205,97.7,0,167,665,292,2415,158443,1.52,6.1,House,,
454,2,2023,2023-04-01,2023-08-30,2492,2374,95.3,305,441,745,264,1502,233049,0.64,2.58,Flat,,
109,2,2023,2023-04-01,2023-08-30,2078,1961,94.3,0,325,725,175,1386,167980,0.83,3.3,Flat,16.0,9.0
176,2,2023,2023-04-01,2023-08-30,2524,2461,97.5,0,224,383,243,2059,343660,0.6,2.4,House,6.0,4.0
68,2,2023,2023-04-01,2023-08-30,3056,2916,95.4,0,207,413,328,2382,168841,1.41,5.64,House,2.0,1.0
376,2,2023,2023-04-01,2023-08-30,2797,2792,99.8,0,382,574,312,2288,297333,0.77,3.08,Flat,19.0,
110,2,2023,2023-04-01,2023-08-30,2378,2228,93.7,0,416,238,280,2127,247886,0.86,3.43,Flat,16.0,9.0
93,2,2023,2023-04-01,2023-08-30,2261,2074,91.7,0,594,219,182,2267,248354,0.91,3.65,Flat,16.0,9.0
153,2,2023,2023-04-01,2023-08-30,1989,1892,95.1,0,466,373,226,1759,217330,0.81,3.24,Flat,16.0,9.0
468,2,2023,2023-04-01,2023-08-30,2045,1977,96.7,0,344,412,179,1730,276669,0.63,2.5,Flat,,
166,2,2023,2023-04-01,2023-08-30,2245,2183,97.2,0,589,688,184,1900,348922,0.54,2.18,Flat,9.0,5.0
164,2,2023,2023-04-01,2023-08-30,2682,2575,96.0,0,436,573,232,2206,186627,1.18,4.73,Flat,6.0,4.0
359,2,2023,2023-04-01,2023-08-30,2344,2335,99.6,0,487,520,216,2086,334101,0.62,2.5,Flat,19.0,
256,2,2023,2023-04-01,2023-08-30,2737,2636,96.3,0,0,718,323,1594,317121,0.5,2.01,Block of Flats,22.0,
226,2,2023,2023-04-01,2023-08-30,1920,1796,93.6,0,391,642,188,1357,262404,0.52,2.07,Flat,22.0,
235,2,2023,2023-04-01,2023-08-30,2291,2240,97.8,0,537,612,271,1894,239422,0.79,3.16,Flat,20.0,
275,2,2023,2023-04-01,2023-08-30,2460,2325,94.5,0,370,712,251,1732,216549,0.8,3.2,Flat,21.0,
37,2,2023,2023-04-01,2023-08-30,2665,2636,98.9,0,584,553,288,2379,308942,0.77,3.08,Flat,10.0,5.0
7,2,2023,2023-04-01,2023-08-30,2412,2325,96.4,0,559,756,262,1866,311513,0.6,2.4,Flat,2.0,1.0
178,2,2023,2023-04-01,2023-08-30,2678,2613,97.6,1369,0,314,296,634,189541,0.33,1.34,Block of Flats,16.0,9.0
394,2,2023,2023-04-01,2023-08-30,1999,1822,91.2,0,435,325,186,1746,241686,0.72,2.89,Flat,21.0,
82,2,2023,2023-04-01,2023-08-30,2586,2576,99.6,0,597,383,213,2578,154480,1.67,6.67,Flat,9.0,5.0
39,2,2023,2023-04-01,2023-08-30,2847,2719,95.5,633,188,661,261,1352,224740,0.6,2.41,House,4.0,2.0
315,2,2023,2023-04-01,2023-08-30,2340,2131,91.1,0,475,246,270,2089,343878,0.61,2.43,Flat,22.0,
297,2,2023,2023-04-01,2023-08-30,3274,3111,95.0,0,165,627,308,2341,184388,1.27,5.08,House,20.0,
298,2,2023,2023-04-01,2023-08-30,2651,2519,95.0,0,166,409,299,1977,313105,0.63,2.53,House,22.0,
147,2,2023,2023-04-01,2023-08-30,3355,3243,96.7,1044,197,553,283,1560,260015,0.6,2.4,House,3.0,1.0
393,2,2023,2023-04-01,2023-08-30,3116,2961,95.0,1939,226,733,352,163,228438,0.07,0.29,House,19.0,
148,2,2023,2023-04-01,2023-08-30,2529,2333,92.3,0,107,582,275,1584,327055,0.48,1.94,House,4.0,2.0
288,2,2023,2023-04-01,2023-08-30,2682,2665,99.4,0,229,568,271,2055,218971,0.94,3.75,House,22.0,
98,2,2023,2023-04-01,2023-08-30,3271,3138,95.9,0,216,475,311,2568,198227,1.3,5.18,House,15.0,9.0
445,2,2023,2023-04-01,2023-08-30,2827,2609,92.3,251,166,234,309,1980,161375,1.23,4.91,House,,
292,2,2023,2023-04-01,2023-08-30,2902,2676,92.2,0,206,222,348,2312,244959,0.94,3.78,House,20.0,
341,2,2023,2023-04-01,2023-08-30,2050,2013,98.2,0,424,491,209,1736,211960,0.82,3.28,Flat,20.0,
180,2,2023,2023-04-01,2023-08-30,3260,3013,92.4,398,139,640,326,1788,314089,0.57,2.28,House,6.0,4.0
350,2,2023,2023-04-01,2023-08-30,2818,2792,99.1,0,0,219,235,2338,293011,0.8,3.19,Block of Flats,21.0,
412,2,2023,2023-04-01,2023-08-30,2452,2308,94.1,0,414,458,271,1993,299183,0.67,2.66,Flat,22.0,
108,2,2023,2023-04-01,2023-08-30,2507,2377,94.8,0,336,420,262,2032,163405,1.24,4.97,Flat,11.0,6.0
461,2,2023,2023-04-01,2023-08-30,2730,2721,99.7,0,134,665,294,1896,188468,1.01,4.02,House,,
284,2,2023,2023-04-01,2023-08-30,2107,1981,94.0,0,458,740,191,1508,296742,0.51,2.03,Flat,21.0,
187,2,2023,2023-04-01,2023-08-30,2672,2465,92.3,1158,487,204,225,1366,264244,0.52,2.07,Flat,8.0,4.0
13,2,2023,2023-04-01,2023-08-30,2159,1987,92.0,0,563,634,232,1684,262989,0.64,2.56,Flat,17.0,10.0
36,2,2023,2023-04-01,2023-08-30,2542,2441,96.0,1271,320,386,299,805,272588,0.3,1.18,Flat,13.0,8.0
29,2,2023,2023-04-01,2023-08-30,2157,2101,97.4,240,310,662,232,1278,217294,0.59,2.35,Flat,8.0,4.0
171,2,2023,2023-04-01,2023-08-30,2019,1881,93.2,0,512,689,222,1481,177573,0.83,3.34,Flat,4.0,2.0
222,2,2023,2023-04-01,2023-08-30,2877,2742,95.3,0,259,527,298,2176,340372,0.64,2.56,House,4.0,2.0
241,2,2023,2023-04-01,2023-08-30,3447,3294,95.6,0,284,549,301,2727,195487,1.4,5.58,House,20.0,
255,2,2023,2023-04-01,2023-08-30,2683,2654,98.9,0,509,486,251,2426,337118,0.72,2.88,Flat,22.0,
5,2,2023,2023-04-01,2023-08-30,2784,2616,94.0,0,193,590,265,1954,156517,1.25,4.99,House,16.0,9.0
101,2,2023,2023-04-01,2023-08-30,2392,2225,93.0,0,448,727,234,1713,276601,0.62,2.48,Flat,11.0,6.0
227,2,2023,2023-04-01,2023-08-30,1921,1904,99.1,0,562,549,171,1747,224158,0.78,3.12,Flat,20.0,
214,2,2023,2023-04-01,2023-08-30,3404,3299,96.9,605,159,683,385,1785,262171,0.68,2.72,House,17.0,10.0
328,2,2023,2023-04-01,2023-08-30,2682,2479,92.4,0,244,699,293,1732,291435,0.59,2.38,House,22.0,
425,2,2023,2023-04-01,2023-08-30,1968,1918,97.5,0,462,625,235,1520,198703,0.77,3.06,Flat,18.0,
231,2,2023,2023-04-01,2023-08-30,2052,1861,90.7,0,357,474,230,1513,248033,0.61,2.44,Flat,22.0,
63,2,2023,2023-04-01,2023-08-30,2048,1970,96.2,0,431,739,198,1464,263112,0.56,2.23,Flat,1.0,1.0
65,2,2023,2023-04-01,2023-08-30,2403,2172,90.4,0,382,260,241,2053,331112,0.62,2.48,Flat,8.0,4.0
157,2,2023,2023-04-01,2023-08-30,2227,2066,92.8,0,392,512,228,1718,168703,1.02,4.07,Flat,13.0,8.0
380,2,2023,2023-04-01,2023-08-30,2287,2132,93.2,0,411,243,271,2029,337527,0.6,2.4,Flat,20.0,
208,2,2023,2023-04-01,2023-08-30,2564,2410,94.0,0,384,422,306,2066,263806,0.78,3.13,Flat,17.0,10.0
213,2,2023,2023-04-01,2023-08-30,2084,2026,97.2,0,0,273,189,1564,153921,1.02,4.06,Block of Flats,6.0,4.0
296,2,2023,2023-04-01,2023-08-30,2665,2517,94.5,0,432,263,240,2446,287502,0.85,3.4,Flat,18.0,
270,2,2023,2023-04-01,2023-08-30,3309,3219,97.3,0,257,324,299,2854,259387,1.1,4.4,House,22.0,
162,2,2023,2023-04-01,2023-08-30,2939,2757,93.8,0,0,376,265,2116,159070,1.33,5.32,Block of Flats,14.0,9.0
44,2,2023,2023-04-01,2023-08-30,1893,1841,97.2,883,557,799,200,516,243876,0.21,0.85,Flat,12.0,7.0
218,2,2023,2023-04-01,2023-08-30,3330,3172,95.3,0,217,379,320,2690,330745,0.81,3.25,House,2.0,1.0
310,2,2023,2023-04-01,2023-08-30,2011,1867,92.8,0,384,295,167,1789,216193,0.83,3.31,Flat,22.0,
106,2,2023,2023-04-01,2023-08-30,3458,3259,94.2,1998,206,683,394,390,231359,0.17,0.67,House,10.0,5.0
2,2,2023,2023-04-01,2023-08-30,2433,2283,93.9,0,526,767,232,1811,294719,0.61,2.46,Flat,15.0,9.0
50,2,2023,2023-04-01,2023-08-30,2605,2410,92.5,0,511,239,286,2397,150625,1.59,6.36,Flat,4.0,2.0
420,2,2023,2023-04-01,2023-08-30,2660,2531,95.1,0,300,220,216,2395,167367,1.43,5.72,Flat,20.0,
81,2,2023,2023-04-01,2023-08-30,2048,1884,92.0,0,307,382,193,1616,238137,0.68,2.71,Flat,17.0,10.0
206,2,2023,2023-04-01,2023-08-30,1860,1806,97.1,0,341,799,209,1139,205328,0.55,2.22,Flat,10.0,5.0
35,2,2023,2023-04-01,2023-08-30,2622,2619,99.9,0,0,326,280,2013,230329,0.87,3.5,Block of Flats,8.0,4.0
264,2,2023,2023-04-01,2023-08-30,2124,2112,99.4,0,386,618,218,1662,235865,0.7,2.82,Flat,22.0,
474,2,2023,2023-04-01,2023-08-30,3478,3327,95.7,0,215,628,362,2552,152389,1.67,6.7,House,,
242,2,2023,2023-04-01,2023-08-30,1907,1826,95.8,0,325,451,179,1522,330469,0.46,1.84,Flat,21.0,
274,2,2023,2023-04-01,2023-08-30,2043,2013,98.5,0,368,800,225,1356,218116,0.62,2.49,Flat,20.0,
167,2,2023,2023-04-01,2023-08-30,3297,3291,99.8,0,132,703,319,2401,168171,1.43,5.71,House,3.0,1.0
329,2,2023,2023-04-01,2023-08-30,2767,2523,91.2,0,382,243,310,2352,342550,0.69,2.75,Flat,19.0,
135,2,2023,2023-04-01,2023-08-30,2692,2454,91.2,1406,193,368,256,618,278163,0.22,0.89,House,16.0,9.0
362,3,2023,2023-07-01,2023-11-30,2618,2478,94.6,669,273,452,236,1394,167072,0.83,3.34,House,21.0,
451,3,2023,2023-07-01,2023-11-30,2564,2490,97.1,1367,350,471,250,752,316223,0.24,0.95,Flat,,
407,3,2023,2023-07-01,2023-11-30,3054,2779,91.0,0,211,485,260,2245,227453,0.99,3.95,House,20.0,
85,3,2023,2023-07-01,2023-11-30,2431,2351,96.7,0,481,311,228,2292,325356,0.7,2.82,Flat,9.0,5.0
492,3,2023,2023-07-01,2023-11-30,3085,2878,93.3,0,167,590,269,2186,154833,1.41,5.65,House,,
281,3,2023,2023-07-01,2023-11-30,1918,1875,97.7,0,411,704,224,1357,179738,0.76,3.02,Flat,20.0,
357,3,2023,2023-07-01,2023-11-30,2675,2670,99.8,0,398,351,305,2412,254113,0.95,3.8,Flat,19.0,
462,3,2023,2023-07-01,2023-11-30,2536,2387,94.1,0,307,655,304,1735,227494,0.76,3.05,Flat,,
498,3,2023,2023-07-01,2023-11-30,2815,2546,90.5,0,281,394,270,2163,324478,0.67,2.67,House,,
335,3,2023,2023-07-01,2023-11-30,3083,2778,90.1,0,209,609,298,2080,347120,0.6,2.4,House,21.0,
476,3,2023,2023-07-01,2023-11-30,2642,2472,93.6,0,0,776,260,1436,343476,0.42,1.67,Block of Flats,,
334,3,2023,2023-07-01,2023-11-30,2589,2363,91.3,0,384,463,261,2022,337881,0.6,2.39,Flat,19.0,
416,3,2023,2023-07-01,2023-11-30,3483,3187,91.5,0,113,734,295,2271,308955,0.74,2.94,House,21.0,
132,3,2023,2023-07-01,2023-11-30,2482,2406,96.9,0,396,314,259,2229,234181,0.95,3.81,Flat,13.0,8.0
194,3,2023,2023-07-01,2023-11-30,2752,2528,91.9,0,579,490,259,2358,183416,1.29,5.14,Flat,4.0,2.0
205,3,2023,2023-07-01,2023-11-30,2214,1996,90.2,0,552,221,249,2079,266019,0.78,3.13,Flat,7.0,4.0
79,3,2023,2023-07-01,2023-11-30,1938,1895,97.8,0,333,401,229,1597,310133,0.52,2.06,Flat,16.0,9.0
263,3,2023,2023-07-01,2023-11-30,3254,3180,97.7,0,161,651,358,2332,205527,1.13,4.54,House,19.0,
80,3,2023,2023-07-01,2023-11-30,2744,2611,95.2,0,431,444,255,2344,296475,0.79,3.16,Flat,9.0,5.0
239,3,2023,2023-07-01,2023-11-30,2742,2601,94.8,0,408,519,258,2231,163110,1.37,5.47,Flat,22.0,
353,3,2023,2023-07-01,2023-11-30,2051,1875,91.4,798,494,471,192,909,290191,0.31,1.25,Flat,22.0,
342,3,2023,2023-07-01,2023-11-30,2570,2507,97.5,0,503,762,244,2004,251998,0.8,3.18,Flat,20.0,
318,3,2023,2023-07-01,2023-11-30,2560,2490,97.2,0,480,744,220,2006,330603,0.61,2.43,Flat,19.0,
456,3,2023,2023-07-01,2023-11-30,2279,2062,90.5,0,516,732,201,1645,189851,0.87,3.47,Flat,,
478,3,2023,2023-07-01,2023-11-30,2507,2278,90.8,0,0,545,288,1444,316800,0.46,1.82,Block of Flats,,
173,3,2023,2023-07-01,2023-11-30,2478,2238,90.3,1129,585,603,269,822,321218,0.26,1.02,Flat,4.0,2.0
322,3,2023,2023-07-01,2023-11-30,2761,2556,92.6,0,306,665,299,1898,273034,0.7,2.78,Flat,19.0,
181,3,2023,2023-07-01,2023-11-30,2767,2680,96.8,0,0,479,277,1924,240792,0.8,3.2,Block of Flats,10.0,5.0
279,3,2023,2023-07-01,2023-11-30,2898,2772,95.6,0,0,621,270,1881,238693,0.79,3.15,Block of Flats,18.0,
363,3,2023,2023-07-01,2023-11-30,2498,2344,93.8,0,467,285,288,2238,263661,0.85,3.39,Flat,18.0,
332,3,2023,2023-07-01,2023-11-30,1935,1755,90.7,1290,595,547,195,318,285624,0.11,0.45,Flat,22.0,
133,3,2023,2023-07-01,2023-11-30,1965,1823,92.8,0,525,745,215,1388,345720,0.4,1.61,Flat,2.0,1.0
465,3,2023,2023-07-01,2023-11-30,2246,2235,99.5,0,0,289,266,1680,224389,0.75,2.99,Block of Flats,,
177,3,2023,2023-07-01,2023-11-30,2080,1929,92.7,0,366,666,212,1417,286808,0.49,1.98,Flat,15.0,9.0
418,3,2023,2023-07-01,2023-11-30,2593,2371,91.4,0,529,411,209,2280,185149,1.23,4.93,Flat,21.0,
471,3,2023,2023-07-01,2023-11-30,3396,3183,93.7,0,227,424,383,2602,308484,0.84,3.37,House,,
272,3,2023,2023-07-01,2023-11-30,2457,2220,90.4,0,336,696,290,1570,272456,0.58,2.31,Flat,19.0,
193,3,2023,2023-07-01,2023-11-30,2267,2097,92.5,0,390,421,192,1874,285260,0.66,2.63,Flat,17.0,10.0
25,3,2023,2023-07-01,2023-11-30,1868,1733,92.8,0,547,448,157,1676,313183,0.54,2.14,Flat,14.0,9.0
209,3,2023,2023-07-01,2023-11-30,2252,2106,93.5,0,512,738,200,1680,255367,0.66,2.63,Flat,4.0,2.0
480,3,2023,2023-07-01,2023-11-30,2991,2697,90.2,0,290,645,310,2032,296914,0.68,2.74,House,,
95,3,2023,2023-07-01,2023-11-30,3392,3195,94.2,0,232,604,317,2507,271339,0.92,3.7,House,13.0,8.0
254,3,2023,2023-07-01,2023-11-30,2675,2620,98.0,0,406,254,235,2538,347779,0.73,2.92,Flat,19.0,
24,3,2023,2023-07-01,2023-11-30,2029,1937,95.5,0,555,237,191,2064,261726,0.79,3.15,Flat,17.0,10.0
46,3,2023,2023-07-01,2023-11-30,2788,2781,99.7,0,424,450,233,2522,192733,1.31,5.23,Flat,11.0,6.0
61,3,2023,2023-07-01,2023-11-30,3436,3336,97.1,0,170,518,346,2641,160343,1.65,6.59,House,11.0,6.0
111,3,2023,2023-07-01,2023-11-30,2275,2253,99.0,0,556,431,258,2120,241463,0.88,3.51,Flat,8.0,4.0
38,3,2023,2023-07-01,2023-11-30,1814,1696,93.5,0,504,720,175,1305,277612,0.47,1.88,Flat,17.0,10.0
176,3,2023,2023-07-01,2023-11-30,3399,3252,95.7,1284,179,244,372,1531,157733,0.97,3.88,House,6.0,4.0
182,3,2023,2023-07-01,2023-11-30,2244,2164,96.4,0,370,474,233,1826,294259,0.62,2.48,Flat,1.0,1.0
391,3,2023,2023-07-01,2023-11-30,2734,2636,96.4,0,221,678,248,1931,294562,0.66,2.62,House,21.0,
196,3,2023,2023-07-01,2023-11-30,2074,1902,91.7,0,466,289,202,1877,279670,0.67,2.68,Flat,3.0,1.0
405,3,2023,2023-07-01,2023-11-30,2238,2088,93.3,0,575,729,242,1692,257504,0.66,2.63,Flat,19.0,
211,3,2023,2023-07-01,2023-11-30,3386,3194,94.3,0,286,261,319,2900,217175,1.34,5.34,House,10.0,5.0
494,3,2023,2023-07-01,2023-11-30,2701,2522,93.4,0,492,494,278,2242,189577,1.18,4.73,Flat,,
376,3,2023,2023-07-01,2023-11-30,2308,2165,93.8,0,479,451,197,1995,197541,1.01,4.04,Flat,19.0,
146,3,2023,2023-07-01,2023-11-30,2839,2575,90.7,0,219,641,243,1910,336046,0.57,2.27,House,13.0,8.0
93,3,2023,2023-07-01,2023-11-30,2761,2594,93.9,0,460,201,256,2596,275428,0.94,3.77,Flat,16.0,9.0
84,3,2023,2023-07-01,2023-11-30,2286,2173,95.0,0,508,418,210,2052,293549,0.7,2.8,Flat,6.0,4.0
246,3,2023,2023-07-01,2023-11-30,2007,1834,91.4,0,561,445,189,1761,192433,0.92,3.66,Flat,19.0,
164,3,2023,2023-07-01,2023-11-30,2280,2073,90.9,0,560,357,261,2016,151348,1.33,5.33,Flat,6.0,4.0
200,3,2023,2023-07-01,2023-11-30,2210,1990,90.0,0,315,643,246,1416,283358,0.5,2.0,Flat,10.0,5.0
479,3,2023,2023-07-01,2023-11-30,1863,1689,90.7,476,578,375,180,1235,342154,0.36,1.44,Flat,,
120,3,2023,2023-07-01,2023-11-30,3159,3152,99.8,0,149,484,317,2500,168500,1.48,5.93,House,7.0,4.0
300,3,2023,2023-07-01,2023-11-30,2288,2082,91.0,0,504,439,239,1908,157280,1.21,4.85,Flat,19.0,
400,3,2023,2023-07-01,2023-11-30,2599,2514,96.7,0,385,782,255,1862,163979,1.14,4.54,Flat,21.0,
197,3,2023,2023-07-01,2023-11-30,1973,1891,95.8,0,514,296,235,1874,213766,0.88,3.51,Flat,5.0,3.0
365,3,2023,2023-07-01,2023-11-30,2052,1893,92.3,0,583,483,240,1754,190349,0.92,3.69,Flat,21.0,
245,3,2023,2023-07-01,2023-11-30,2521,2509,99.5,0,0,280,244,1984,229327,0.87,3.46,Block of Flats,20.0,
437,3,2023,2023-07-01,2023-11-30,2590,2580,99.6,0,147,569,304,1854,280936,0.66,2.64,House,,
151,3,2023,2023-07-01,2023-11-30,2175,2023,93.0,604,531,520,210,1220,237704,0.51,2.05,Flat,8.0,4.0
178,3,2023,2023-07-01,2023-11-30,2304,2107,91.5,0,0,652,269,1186,197606,0.6,2.4,Block of Flats,16.0,9.0
39,3,2023,2023-07-01,2023-11-30,3078,2939,95.5,0,104,785,306,1952,217403,0.9,3.59,House,4.0,2.0
417,3,2023,2023-07-01,2023-11-30,2797,2536,90.7,0,396,626,241,2065,338147,0.61,2.44,Flat,19.0,
393,3,2023,2023-07-01,2023-11-30,3488,3192,91.5,0,214,699,354,2353,280072,0.84,3.36,House,19.0,
448,3,2023,2023-07-01,2023-11-30,2122,2096,98.8,0,544,464,191,1986,301569,0.66,2.63,Flat,,
124,3,2023,2023-07-01,2023-11-30,1827,1825,99.9,0,397,800,178,1244,283875,0.44,1.75,Flat,13.0,8.0
369,3,2023,2023-07-01,2023-11-30,2731,2458,90.0,0,106,673,250,1641,305796,0.54,2.15,House,22.0,
240,3,2023,2023-07-01,2023-11-30,2405,2262,94.0,0,0,740,212,1310,274603,0.48,1.91,Block of Flats,21.0,
123,3,2023,2023-07-01,2023-11-30,1853,1713,92.5,0,438,596,183,1373,160832,0.85,3.41,Flat,15.0,9.0
184,3,2023,2023-07-01,2023-11-30,3320,3274,98.6,0,196,769,267,2434,258884,0.94,3.76,House,11.0,6.0
387,3,2023,2023-07-01,2023-11-30,2588,2522,97.5,0,315,453,240,2145,243029,0.88,3.53,Flat,22.0,
285,3,2023,2023-07-01,2023-11-30,2895,2736,94.5,0,259,208,282,2505,181227,1.38,5.53,House,19.0,
303,3,2023,2023-07-01,2023-11-30,3073,2954,96.1,1605,136,646,273,567,153808,0.37,1.47,House,20.0,
419,3,2023,2023-07-01,2023-11-30,2055,2052,99.9,0,325,773,221,1384,192164,0.72,2.88,Flat,22.0,
130,3,2023,2023-07-01,2023-11-30,2186,2106,96.4,0,376,399,185,1898,177453,1.07,4.28,Flat,16.0,9.0
356,3,2023,2023-07-01,2023-11-30,1999,1894,94.7,0,464,688,208,1462,341386,0.43,1.71,Flat,20.0,
295,3,2023,2023-07-01,2023-11-30,3019,2866,94.9,0,284,442,278,2430,254446,0.96,3.82,House,22.0,
