propertyid,budget_year,category,budgeted_amount_gbp,actual_spend_gbp,variance_gbp,variance_percent,property_type,property_age_years,blockid,estateid
105,2022,Compliance Works,367,437,70,19.1,Flat,30.0,5.0,3.0
105,2022,Communal Repairs,101,92,-9,-8.7,Flat,30.0,5.0,3.0
395,2022,Environmental Works,96,91,-5,-5.2,Flat,32.0,21.0,
395,2022,Cyclical Decorating,176,198,23,12.9,Flat,32.0,21.0,
395,2022,Routine Repairs,191,168,-23,-12.0,Flat,32.0,21.0,
395,2022,Planned Maintenance,129,144,15,11.8,Flat,32.0,21.0,
395,2022,Void Works,185,205,20,10.9,Flat,32.0,21.0,
395,2022,Major Works,205,170,-35,-17.1,Flat,32.0,21.0,
378,2022,Communal Repairs,170,161,-9,-5.3,Flat,32.0,20.0,
378,2022,Major Works,260,251,-8,-3.2,Flat,32.0,20.0,
378,2022,Planned Maintenance,329,382,54,16.3,Flat,32.0,20.0,
378,2022,Routine Repairs,313,326,13,4.1,Flat,32.0,20.0,
125,2022,Environmental Works,162,153,-8,-5.1,Block of Flats,30.0,5.0,3.0
125,2022,Compliance Works,360,400,41,11.4,Block of Flats,30.0,5.0,3.0
125,2022,Void Works,190,213,24,12.5,Block of Flats,30.0,5.0,3.0
125,2022,Cyclical Decorating,397,345,-52,-13.0,Block of Flats,30.0,5.0,3.0
125,2022,Major Works,304,356,52,17.1,Block of Flats,30.0,5.0,3.0
125,2022,Communal Repairs,208,192,-16,-7.7,Block of Flats,30.0,5.0,3.0
69,2022,Routine Repairs,129,115,-14,-10.9,Flat,30.0,5.0,3.0
69,2022,Void Works,278,294,17,6.0,Flat,30.0,5.0,3.0
69,2022,Cyclical Decorating,174,150,-24,-13.8,Flat,30.0,5.0,3.0
69,2022,Planned Maintenance,238,195,-43,-18.1,Flat,30.0,5.0,3.0
451,2022,Environmental Works,218,209,-10,-4.4,Flat,27.0,,
451,2022,Void Works,234,268,34,14.4,Flat,27.0,,
451,2022,Major Works,185,200,15,8.4,Flat,27.0,,
10,2022,Cyclical Decorating,186,174,-12,-6.3,Flat,31.0,6.0,4.0
10,2022,Routine Repairs,161,169,8,5.0,Flat,31.0,6.0,4.0
10,2022,Compliance Works,164,192,28,16.8,Flat,31.0,6.0,4.0
10,2022,Void Works,146,150,4,2.4,Flat,31.0,6.0,4.0
10,2022,Communal Repairs,227,254,27,11.8,Flat,31.0,6.0,4.0
10,2022,Planned Maintenance,222,261,39,17.6,Flat,31.0,6.0,4.0
195,2022,Cyclical Decorating,276,330,54,19.5,House,28.0,1.0,1.0
195,2022,Emergency Repairs,333,395,62,18.8,House,28.0,1.0,1.0
195,2022,Environmental Works,164,154,-10,-6.4,House,28.0,1.0,1.0
195,2022,Communal Repairs,242,207,-35,-14.4,House,28.0,1.0,1.0
195,2022,Void Works,180,153,-27,-14.8,House,28.0,1.0,1.0
195,2022,Compliance Works,152,160,8,5.2,House,28.0,1.0,1.0
407,2022,Emergency Repairs,175,202,27,15.4,House,32.0,20.0,
407,2022,Routine Repairs,215,240,25,11.6,House,32.0,20.0,
407,2022,Cyclical Decorating,218,239,21,9.6,House,32.0,20.0,
85,2022,Environmental Works,268,218,-49,-18.5,Flat,32.0,9.0,5.0
85,2022,Major Works,97,107,10,10.4,Flat,32.0,9.0,5.0
85,2022,Void Works,181,162,-19,-10.6,Flat,32.0,9.0,5.0
85,2022,Communal Repairs,203,216,13,6.4,Flat,32.0,9.0,5.0
85,2022,Emergency Repairs,282,245,-37,-13.0,Flat,32.0,9.0,5.0
85,2022,Routine Repairs,209,176,-33,-15.9,Flat,32.0,9.0,5.0
372,2022,Environmental Works,172,177,5,3.0,Flat,32.0,19.0,
372,2022,Emergency Repairs,283,277,-6,-2.1,Flat,32.0,19.0,
372,2022,Void Works,137,140,3,2.0,Flat,32.0,19.0,
372,2022,Routine Repairs,253,216,-38,-14.9,Flat,32.0,19.0,
372,2022,Major Works,125,107,-18,-14.4,Flat,32.0,19.0,
372,2022,Cyclical Decorating,188,213,25,13.3,Flat,32.0,19.0,
389,2022,Communal Repairs,250,258,8,3.0,Flat,31.0,18.0,
389,2022,Compliance Works,197,160,-37,-18.8,Flat,31.0,18.0,
389,2022,Environmental Works,73,68,-5,-6.2,Flat,31.0,18.0,
389,2022,Emergency Repairs,102,117,14,14.0,Flat,31.0,18.0,
389,2022,Cyclical Decorating,157,165,7,4.6,Flat,31.0,18.0,
389,2022,Major Works,188,220,32,16.9,Flat,31.0,18.0,
496,2022,Emergency Repairs,149,159,11,7.1,House,27.0,,
496,2022,Void Works,407,345,-62,-15.1,House,27.0,,
496,2022,Routine Repairs,122,119,-3,-2.2,House,27.0,,
496,2022,Communal Repairs,403,379,-25,-6.1,House,27.0,,
496,2022,Cyclical Decorating,172,171,0,-0.3,House,27.0,,
496,2022,Environmental Works,201,218,17,8.4,House,27.0,,
31,2022,Routine Repairs,214,229,15,6.8,Flat,31.0,6.0,4.0
31,2022,Compliance Works,213,188,-25,-11.9,Flat,31.0,6.0,4.0
31,2022,Environmental Works,226,242,16,7.1,Flat,31.0,6.0,4.0
317,2022,Communal Repairs,220,236,16,7.3,Flat,32.0,20.0,
317,2022,Major Works,242,196,-46,-19.1,Flat,32.0,20.0,
317,2022,Routine Repairs,182,168,-15,-8.1,Flat,32.0,20.0,
317,2022,Planned Maintenance,176,165,-11,-6.4,Flat,32.0,20.0,
317,2022,Cyclical Decorating,253,261,8,3.0,Flat,32.0,20.0,
317,2022,Environmental Works,186,205,19,10.1,Flat,32.0,20.0,
409,2022,Void Works,197,227,30,15.1,Flat,32.0,19.0,
409,2022,Emergency Repairs,177,146,-31,-17.8,Flat,32.0,19.0,
409,2022,Compliance Works,221,191,-30,-13.7,Flat,32.0,19.0,
409,2022,Cyclical Decorating,118,120,2,1.4,Flat,32.0,19.0,
409,2022,Major Works,129,152,22,17.3,Flat,32.0,19.0,
491,2022,Environmental Works,213,188,-26,-12.0,Flat,27.0,,
491,2022,Major Works,206,207,1,0.6,Flat,27.0,,
491,2022,Cyclical Decorating,206,245,38,18.6,Flat,27.0,,
491,2022,Routine Repairs,178,160,-18,-10.1,Flat,27.0,,
491,2022,Void Works,118,113,-5,-4.4,Flat,27.0,,
492,2022,Void Works,217,249,32,14.7,House,27.0,,
492,2022,Compliance Works,177,153,-24,-13.5,House,27.0,,
492,2022,Communal Repairs,307,303,-4,-1.2,House,27.0,,
281,2022,Communal Repairs,254,232,-23,-8.9,Flat,32.0,20.0,
281,2022,Emergency Repairs,106,102,-4,-3.8,Flat,32.0,20.0,
281,2022,Planned Maintenance,86,102,15,17.5,Flat,32.0,20.0,
281,2022,Major Works,187,223,35,18.9,Flat,32.0,20.0,
357,2022,Void Works,347,375,28,8.1,Flat,32.0,19.0,
357,2022,Cyclical Decorating,178,190,13,7.2,Flat,32.0,19.0,
357,2022,Major Works,298,279,-19,-6.5,Flat,32.0,19.0,
77,2022,Cyclical Decorating,313,363,51,16.3,Flat,32.0,11.0,6.0
77,2022,Routine Repairs,208,173,-35,-16.7,Flat,32.0,11.0,6.0
77,2022,Major Works,203,243,39,19.3,Flat,32.0,11.0,6.0
462,2022,Compliance Works,300,355,55,18.5,Flat,27.0,,
462,2022,Environmental Works,282,258,-24,-8.4,Flat,27.0,,
462,2022,Emergency Repairs,338,278,-60,-17.9,Flat,27.0,,
498,2022,Environmental Works,156,162,6,3.7,House,27.0,,
498,2022,Major Works,299,251,-48,-15.9,House,27.0,,
498,2022,Routine Repairs,186,216,31,16.5,House,27.0,,
498,2022,Cyclical Decorating,325,337,12,3.7,House,27.0,,
498,2022,Compliance Works,320,324,4,1.2,House,27.0,,
498,2022,Void Works,276,289,13,4.7,House,27.0,,
212,2022,Major Works,111,120,9,7.7,Flat,32.0,12.0,7.0
212,2022,Cyclical Decorating,314,352,38,12.1,Flat,32.0,12.0,7.0
212,2022,Void Works,186,184,-2,-1.3,Flat,32.0,12.0,7.0
212,2022,Environmental Works,162,143,-19,-11.9,Flat,32.0,12.0,7.0
102,2022,Cyclical Decorating,139,157,18,12.9,Flat,32.0,17.0,10.0
102,2022,Environmental Works,284,335,51,18.0,Flat,32.0,17.0,10.0
102,2022,Routine Repairs,295,311,16,5.4,Flat,32.0,17.0,10.0
102,2022,Void Works,265,268,3,1.3,Flat,32.0,17.0,10.0
102,2022,Major Works,126,125,0,-0.1,Flat,32.0,17.0,10.0
102,2022,Communal Repairs,241,274,33,13.7,Flat,32.0,17.0,10.0
335,2022,Routine Repairs,352,298,-54,-15.2,House,32.0,21.0,
335,2022,Environmental Works,244,232,-12,-4.9,House,32.0,21.0,
335,2022,Cyclical Decorating,161,149,-12,-7.5,House,32.0,21.0,
335,2022,Emergency Repairs,349,370,20,5.9,House,32.0,21.0,
476,2022,Communal Repairs,169,150,-19,-11.4,Block of Flats,27.0,,
476,2022,Cyclical Decorating,154,173,19,12.4,Block of Flats,27.0,,
476,2022,Major Works,126,135,9,7.2,Block of Flats,27.0,,
476,2022,Void Works,161,170,9,5.3,Block of Flats,27.0,,
476,2022,Environmental Works,136,158,22,16.1,Block of Flats,27.0,,
337,2022,Environmental Works,204,203,-1,-0.4,House,32.0,20.0,
337,2022,Routine Repairs,150,124,-26,-17.6,House,32.0,20.0,
337,2022,Communal Repairs,401,335,-65,-16.3,House,32.0,20.0,
337,2022,Emergency Repairs,430,432,2,0.4,House,32.0,20.0,
441,2022,Cyclical Decorating,229,224,-5,-2.0,Flat,27.0,,
441,2022,Emergency Repairs,233,247,14,5.8,Flat,27.0,,
441,2022,Routine Repairs,289,271,-19,-6.4,Flat,27.0,,
441,2022,Environmental Works,203,241,39,19.0,Flat,27.0,,
174,2022,Void Works,154,150,-4,-2.6,Flat,32.0,11.0,6.0
174,2022,Planned Maintenance,159,160,1,0.5,Flat,32.0,11.0,6.0
174,2022,Compliance Works,309,258,-51,-16.5,Flat,32.0,11.0,6.0
174,2022,Environmental Works,107,128,21,19.6,Flat,32.0,11.0,6.0
174,2022,Emergency Repairs,217,183,-35,-15.9,Flat,32.0,11.0,6.0
174,2022,Major Works,278,300,22,7.7,Flat,32.0,11.0,6.0
3,2022,Cyclical Decorating,263,292,29,11.2,Flat,31.0,10.0,5.0
3,2022,Communal Repairs,145,155,10,6.6,Flat,31.0,10.0,5.0
3,2022,Major Works,243,263,20,8.1,Flat,31.0,10.0,5.0
3,2022,Emergency Repairs,214,209,-5,-2.2,Flat,31.0,10.0,5.0
3,2022,Environmental Works,236,223,-13,-5.5,Flat,31.0,10.0,5.0
334,2022,Void Works,151,153,1,0.7,Flat,32.0,19.0,
334,2022,Communal Repairs,201,216,16,7.8,Flat,32.0,19.0,
334,2022,Routine Repairs,89,98,9,9.6,Flat,32.0,19.0,
410,2022,Void Works,232,274,42,18.0,House,32.0,22.0,
410,2022,Planned Maintenance,335,347,12,3.5,House,32.0,22.0,
410,2022,Major Works,289,244,-45,-15.7,House,32.0,22.0,
410,2022,Emergency Repairs,243,282,38,15.8,House,32.0,22.0,
71,2022,Planned Maintenance,364,396,31,8.5,House,32.0,2.0,1.0
71,2022,Compliance Works,253,240,-14,-5.4,House,32.0,2.0,1.0
71,2022,Emergency Repairs,391,333,-58,-14.8,House,32.0,2.0,1.0
71,2022,Communal Repairs,121,103,-17,-14.3,House,32.0,2.0,1.0
210,2022,Cyclical Decorating,329,369,40,12.0,House,31.0,10.0,5.0
210,2022,Emergency Repairs,364,381,17,4.7,House,31.0,10.0,5.0
210,2022,Planned Maintenance,318,330,12,3.9,House,31.0,10.0,5.0
210,2022,Routine Repairs,235,196,-39,-16.6,House,31.0,10.0,5.0
64,2022,Compliance Works,184,190,6,3.5,Flat,28.0,1.0,1.0
64,2022,Void Works,119,133,14,11.4,Flat,28.0,1.0,1.0
64,2022,Environmental Works,174,155,-18,-10.5,Flat,28.0,1.0,1.0
64,2022,Communal Repairs,275,284,8,3.0,Flat,28.0,1.0,1.0
385,2022,Environmental Works,111,112,0,0.4,Flat,32.0,19.0,
385,2022,Routine Repairs,153,183,30,19.4,Flat,32.0,19.0,
385,2022,Communal Repairs,202,234,31,15.5,Flat,32.0,19.0,
385,2022,Compliance Works,192,210,17,9.1,Flat,32.0,19.0,
385,2022,Cyclical Decorating,133,148,15,11.4,Flat,32.0,19.0,
94,2022,Cyclical Decorating,227,207,-20,-8.7,Flat,32.0,17.0,10.0
94,2022,Void Works,88,91,2,2.4,Flat,32.0,17.0,10.0
94,2022,Planned Maintenance,291,235,-56,-19.3,Flat,32.0,17.0,10.0
94,2022,Routine Repairs,259,268,9,3.3,Flat,32.0,17.0,10.0
94,2022,Environmental Works,318,278,-40,-12.6,Flat,32.0,17.0,10.0
94,2022,Emergency Repairs,264,313,49,18.6,Flat,32.0,17.0,10.0
486,2022,Cyclical Decorating,64,54,-10,-16.2,Flat,27.0,,
486,2022,Void Works,247,257,10,4.1,Flat,27.0,,
486,2022,Communal Repairs,183,160,-23,-12.6,Flat,27.0,,
486,2022,Major Works,164,142,-22,-13.5,Flat,27.0,,
486,2022,Routine Repairs,97,91,-6,-5.8,Flat,27.0,,
486,2022,Emergency Repairs,170,160,-10,-5.7,Flat,27.0,,
186,2022,Planned Maintenance,191,227,36,18.9,House,29.0,13.0,8.0
186,2022,Emergency Repairs,308,277,-31,-10.0,House,29.0,13.0,8.0
186,2022,Void Works,296,253,-43,-14.5,House,29.0,13.0,8.0
34,2022,Environmental Works,276,301,25,9.2,Flat,31.0,16.0,9.0
34,2022,Void Works,130,116,-14,-10.8,Flat,31.0,16.0,9.0
34,2022,Cyclical Decorating,300,309,9,3.1,Flat,31.0,16.0,9.0
34,2022,Major Works,330,353,24,7.1,Flat,31.0,16.0,9.0
34,2022,Communal Repairs,193,159,-34,-17.7,Flat,31.0,16.0,9.0
78,2022,Void Works,234,196,-38,-16.2,Flat,32.0,17.0,10.0
78,2022,Cyclical Decorating,131,129,-2,-1.7,Flat,32.0,17.0,10.0
78,2022,Planned Maintenance,135,146,11,7.9,Flat,32.0,17.0,10.0
78,2022,Emergency Repairs,209,228,19,9.1,Flat,32.0,17.0,10.0
78,2022,Communal Repairs,106,94,-13,-11.9,Flat,32.0,17.0,10.0
1,2022,Emergency Repairs,89,76,-13,-14.5,Flat,28.0,1.0,1.0
1,2022,Void Works,200,215,15,7.4,Flat,28.0,1.0,1.0
1,2022,Planned Maintenance,173,186,13,7.8,Flat,28.0,1.0,1.0
12,2022,Compliance Works,379,308,-71,-18.7,Flat,32.0,17.0,10.0
12,2022,Planned Maintenance,282,304,22,7.9,Flat,32.0,17.0,10.0
12,2022,Cyclical Decorating,174,190,16,9.1,Flat,32.0,17.0,10.0
416,2022,Environmental Works,176,176,-1,-0.3,House,32.0,21.0,
416,2022,Void Works,230,237,8,3.4,House,32.0,21.0,
416,2022,Planned Maintenance,318,272,-46,-14.5,House,32.0,21.0,
416,2022,Emergency Repairs,176,179,3,1.6,House,32.0,21.0,
416,2022,Communal Repairs,344,298,-46,-13.4,House,32.0,21.0,
416,2022,Major Works,296,265,-31,-10.6,House,32.0,21.0,
23,2022,Environmental Works,211,218,7,3.5,Flat,32.0,2.0,1.0
23,2022,Void Works,96,95,-1,-0.9,Flat,32.0,2.0,1.0
23,2022,Routine Repairs,159,151,-8,-5.0,Flat,32.0,2.0,1.0
73,2022,Void Works,309,257,-51,-16.7,Flat,28.0,1.0,1.0
73,2022,Communal Repairs,316,280,-36,-11.4,Flat,28.0,1.0,1.0
73,2022,Routine Repairs,224,260,36,16.2,Flat,28.0,1.0,1.0
73,2022,Emergency Repairs,262,263,0,0.1,Flat,28.0,1.0,1.0
183,2022,Communal Repairs,233,254,21,8.9,Flat,32.0,12.0,7.0
183,2022,Routine Repairs,185,186,1,0.5,Flat,32.0,12.0,7.0
183,2022,Emergency Repairs,165,151,-13,-8.1,Flat,32.0,12.0,7.0
183,2022,Void Works,166,176,10,6.2,Flat,32.0,12.0,7.0
183,2022,Major Works,324,261,-63,-19.4,Flat,32.0,12.0,7.0
132,2022,Planned Maintenance,88,90,2,1.7,Flat,29.0,13.0,8.0
132,2022,Cyclical Decorating,237,235,-2,-1.0,Flat,29.0,13.0,8.0
132,2022,Emergency Repairs,73,66,-7,-9.8,Flat,29.0,13.0,8.0
132,2022,Communal Repairs,259,284,25,9.7,Flat,29.0,13.0,8.0
132,2022,Routine Repairs,148,150,1,0.9,Flat,29.0,13.0,8.0
411,2022,Cyclical Decorating,283,306,24,8.3,Flat,32.0,19.0,
411,2022,Major Works,136,114,-22,-16.4,Flat,32.0,19.0,
411,2022,Planned Maintenance,102,112,11,10.4,Flat,32.0,19.0,
411,2022,Communal Repairs,203,168,-35,-17.3,Flat,32.0,19.0,
194,2022,Planned Maintenance,290,300,11,3.6,Flat,32.0,4.0,2.0
194,2022,Cyclical Decorating,97,104,7,7.2,Flat,32.0,4.0,2.0
194,2022,Major Works,122,139,17,14.1,Flat,32.0,4.0,2.0
194,2022,Environmental Works,269,264,-5,-1.7,Flat,32.0,4.0,2.0
194,2022,Emergency Repairs,213,190,-23,-10.6,Flat,32.0,4.0,2.0
194,2022,Routine Repairs,341,323,-17,-5.0,Flat,32.0,4.0,2.0
56,2022,Planned Maintenance,277,227,-50,-18.2,Flat,29.0,3.0,1.0
56,2022,Cyclical Decorating,177,211,33,18.9,Flat,29.0,3.0,1.0
56,2022,Compliance Works,292,349,57,19.5,Flat,29.0,3.0,1.0
149,2022,Emergency Repairs,245,213,-32,-13.2,Block of Flats,29.0,13.0,8.0
149,2022,Planned Maintenance,256,298,42,16.2,Block of Flats,29.0,13.0,8.0
149,2022,Routine Repairs,306,361,56,18.2,Block of Flats,29.0,13.0,8.0
149,2022,Cyclical Decorating,433,454,21,4.9,Block of Flats,29.0,13.0,8.0
19,2022,Communal Repairs,318,288,-29,-9.2,Flat,32.0,7.0,4.0
19,2022,Void Works,112,109,-4,-3.1,Flat,32.0,7.0,4.0
19,2022,Planned Maintenance,88,91,3,3.6,Flat,32.0,7.0,4.0
19,2022,Compliance Works,205,182,-23,-11.2,Flat,32.0,7.0,4.0
205,2022,Communal Repairs,110,108,-1,-1.1,Flat,32.0,7.0,4.0
205,2022,Planned Maintenance,330,321,-9,-2.7,Flat,32.0,7.0,4.0
205,2022,Emergency Repairs,173,180,6,3.6,Flat,32.0,7.0,4.0
205,2022,Void Works,350,416,67,19.1,Flat,32.0,7.0,4.0
79,2022,Void Works,247,281,34,13.8,Flat,31.0,16.0,9.0
79,2022,Emergency Repairs,172,181,8,4.9,Flat,31.0,16.0,9.0
79,2022,Cyclical Decorating,189,201,11,6.0,Flat,31.0,16.0,9.0
79,2022,Compliance Works,81,77,-4,-4.9,Flat,31.0,16.0,9.0
79,2022,Planned Maintenance,211,200,-10,-4.9,Flat,31.0,16.0,9.0
495,2022,Communal Repairs,139,160,21,15.3,Flat,27.0,,
495,2022,Compliance Works,104,100,-5,-4.3,Flat,27.0,,
495,2022,Void Works,98,86,-12,-12.2,Flat,27.0,,
495,2022,Routine Repairs,170,141,-29,-17.0,Flat,27.0,,
495,2022,Cyclical Decorating,230,188,-42,-18.2,Flat,27.0,,
495,2022,Planned Maintenance,249,298,49,19.9,Flat,27.0,,
263,2022,Communal Repairs,409,388,-21,-5.2,House,32.0,19.0,
263,2022,Routine Repairs,333,274,-60,-17.9,House,32.0,19.0,
263,2022,Compliance Works,216,234,17,8.1,House,32.0,19.0,
263,2022,Planned Maintenance,407,437,29,7.2,House,32.0,19.0,
263,2022,Major Works,119,112,-8,-6.4,House,32.0,19.0,
324,2022,Communal Repairs,119,127,8,6.7,Flat,32.0,19.0,
324,2022,Emergency Repairs,153,179,26,17.0,Flat,32.0,19.0,
324,2022,Cyclical Decorating,224,220,-4,-1.7,Flat,32.0,19.0,
324,2022,Major Works,178,146,-32,-17.8,Flat,32.0,19.0,
324,2022,Planned Maintenance,109,96,-13,-11.8,Flat,32.0,19.0,
324,2022,Void Works,157,183,25,16.0,Flat,32.0,19.0,
484,2022,Routine Repairs,165,174,9,5.5,Flat,27.0,,
484,2022,Major Works,312,265,-47,-14.9,Flat,27.0,,
484,2022,Emergency Repairs,355,327,-28,-7.8,Flat,27.0,,
80,2022,Environmental Works,311,317,6,2.0,Flat,32.0,9.0,5.0
80,2022,Major Works,250,205,-46,-18.3,Flat,32.0,9.0,5.0
80,2022,Communal Repairs,167,167,0,0.3,Flat,32.0,9.0,5.0
80,2022,Cyclical Decorating,317,347,30,9.6,Flat,32.0,9.0,5.0
80,2022,Planned Maintenance,124,106,-18,-14.5,Flat,32.0,9.0,5.0
80,2022,Void Works,305,252,-53,-17.4,Flat,32.0,9.0,5.0
40,2022,Major Works,264,222,-42,-15.8,Flat,30.0,5.0,3.0
40,2022,Compliance Works,181,186,6,3.2,Flat,30.0,5.0,3.0
40,2022,Routine Repairs,153,138,-15,-9.9,Flat,30.0,5.0,3.0
452,2022,Routine Repairs,322,298,-24,-7.6,House,27.0,,
452,2022,Void Works,360,403,42,11.8,House,27.0,,
452,2022,Compliance Works,168,144,-24,-14.4,House,27.0,,
452,2022,Communal Repairs,341,340,-1,-0.2,House,27.0,,
452,2022,Major Works,408,453,45,10.9,House,27.0,,
47,2022,Environmental Works,126,131,6,4.5,Flat,26.0,8.0,4.0
47,2022,Planned Maintenance,302,266,-36,-11.9,Flat,26.0,8.0,4.0
47,2022,Compliance Works,266,319,53,19.9,Flat,26.0,8.0,4.0
239,2022,Communal Repairs,273,311,39,14.2,Flat,32.0,22.0,
239,2022,Compliance Works,124,124,0,-0.1,Flat,32.0,22.0,
239,2022,Void Works,201,163,-38,-18.7,Flat,32.0,22.0,
392,2022,Cyclical Decorating,284,236,-48,-17.0,Flat,31.0,18.0,
392,2022,Environmental Works,231,276,45,19.6,Flat,31.0,18.0,
392,2022,Routine Repairs,164,151,-13,-7.7,Flat,31.0,18.0,
353,2022,Void Works,315,360,44,14.1,Flat,32.0,22.0,
353,2022,Compliance Works,157,163,6,3.8,Flat,32.0,22.0,
353,2022,Environmental Works,213,250,37,17.2,Flat,32.0,22.0,
353,2022,Major Works,153,143,-11,-6.9,Flat,32.0,22.0,
353,2022,Routine Repairs,102,107,5,5.2,Flat,32.0,22.0,
353,2022,Planned Maintenance,181,185,4,2.3,Flat,32.0,22.0,
342,2022,Major Works,124,141,16,13.2,Flat,32.0,20.0,
342,2022,Compliance Works,179,151,-29,-16.1,Flat,32.0,20.0,
342,2022,Void Works,233,250,16,7.0,Flat,32.0,20.0,
342,2022,Cyclical Decorating,300,253,-48,-15.9,Flat,32.0,20.0,
342,2022,Emergency Repairs,194,185,-9,-4.6,Flat,32.0,20.0,
278,2022,Environmental Works,74,64,-11,-14.2,Flat,32.0,20.0,
278,2022,Emergency Repairs,279,309,30,10.8,Flat,32.0,20.0,
278,2022,Cyclical Decorating,177,152,-26,-14.4,Flat,32.0,20.0,
278,2022,Routine Repairs,250,295,45,18.2,Flat,32.0,20.0,
278,2022,Void Works,193,182,-11,-5.6,Flat,32.0,20.0,
291,2022,Void Works,135,122,-12,-9.3,Flat,31.0,18.0,
291,2022,Environmental Works,193,226,33,17.1,Flat,31.0,18.0,
291,2022,Emergency Repairs,133,145,13,9.5,Flat,31.0,18.0,
291,2022,Cyclical Decorating,157,157,0,-0.2,Flat,31.0,18.0,
291,2022,Routine Repairs,124,127,3,2.2,Flat,31.0,18.0,
318,2022,Void Works,159,176,17,10.8,Flat,32.0,19.0,
318,2022,Major Works,99,109,10,9.8,Flat,32.0,19.0,
318,2022,Planned Maintenance,187,169,-19,-10.0,Flat,32.0,19.0,
318,2022,Cyclical Decorating,109,97,-12,-10.7,Flat,32.0,19.0,
305,2022,Communal Repairs,163,147,-16,-9.9,Flat,31.0,18.0,
305,2022,Planned Maintenance,173,198,26,14.8,Flat,31.0,18.0,
305,2022,Environmental Works,273,240,-33,-12.1,Flat,31.0,18.0,
305,2022,Cyclical Decorating,251,272,20,8.0,Flat,31.0,18.0,
269,2022,Major Works,144,168,24,16.3,Flat,32.0,19.0,
269,2022,Planned Maintenance,292,300,8,2.7,Flat,32.0,19.0,
269,2022,Compliance Works,122,140,18,14.5,Flat,32.0,19.0,
269,2022,Environmental Works,108,129,21,19.7,Flat,32.0,19.0,
269,2022,Communal Repairs,228,182,-45,-20.0,Flat,32.0,19.0,
269,2022,Void Works,226,204,-22,-9.8,Flat,32.0,19.0,
70,2022,Environmental Works,278,283,5,1.7,House,29.0,13.0,8.0
70,2022,Void Works,158,161,3,2.0,House,29.0,13.0,8.0
70,2022,Compliance Works,252,234,-18,-7.2,House,29.0,13.0,8.0
70,2022,Cyclical Decorating,403,347,-57,-14.1,House,29.0,13.0,8.0
70,2022,Emergency Repairs,152,182,30,19.8,House,29.0,13.0,8.0
456,2022,Cyclical Decorating,346,388,42,12.1,Flat,27.0,,
456,2022,Environmental Works,140,162,23,16.3,Flat,27.0,,
456,2022,Planned Maintenance,160,139,-21,-13.1,Flat,27.0,,
456,2022,Compliance Works,194,202,8,4.1,Flat,27.0,,
466,2022,Environmental Works,393,422,29,7.4,House,27.0,,
466,2022,Void Works,203,212,9,4.4,House,27.0,,
466,2022,Major Works,332,345,14,4.1,House,27.0,,
466,2022,Communal Repairs,422,443,21,5.1,House,27.0,,
155,2022,Planned Maintenance,352,285,-68,-19.2,House,29.0,3.0,1.0
155,2022,Compliance Works,158,162,3,2.0,House,29.0,3.0,1.0
155,2022,Environmental Works,310,323,13,4.3,House,29.0,3.0,1.0
155,2022,Communal Repairs,141,157,16,11.5,House,29.0,3.0,1.0
83,2022,Void Works,341,295,-46,-13.4,House,30.0,14.0,9.0
83,2022,Major Works,290,327,37,12.9,House,30.0,14.0,9.0
83,2022,Environmental Works,352,305,-48,-13.6,House,30.0,14.0,9.0
83,2022,Communal Repairs,113,101,-11,-10.0,House,30.0,14.0,9.0
