propertyid,period_start,energy_kwh,property_age_years,propertytype,blockid,simulated_energy_kwh
4,2024-10-01 11:52:28.455679,240,49,House,11.0,3237.85
4,2024-11-01 11:52:28.455679,369,49,House,11.0,3065.06
4,2024-12-01 11:52:28.455679,359,49,House,11.0,3423.75
4,2025-01-01 11:52:28.455679,340,49,House,11.0,2667.02
4,2025-02-01 11:52:28.455679,305,49,House,11.0,2936.56
4,2025-03-01 11:52:28.455679,385,49,House,11.0,2763.09
4,2025-04-01 11:52:28.455679,264,49,House,11.0,2776.75
5,2024-05-01 11:52:28.455679,291,47,House,16.0,2738.56
5,2024-06-01 11:52:28.455679,309,47,House,16.0,2973.55
5,2024-07-01 11:52:28.455679,375,47,House,16.0,2985.26
5,2024-08-01 11:52:28.455679,333,47,House,16.0,3025.49
5,2024-09-01 11:52:28.455679,298,47,House,16.0,2715.39
5,2024-10-01 11:52:28.455679,290,47,House,16.0,2875.16
5,2024-11-01 11:52:28.455679,291,47,House,16.0,2747.14
5,2024-12-01 11:52:28.455679,287,47,House,16.0,3127.18
5,2025-01-01 11:52:28.455679,270,47,House,16.0,2765.95
5,2025-02-01 11:52:28.455679,321,47,House,16.0,2897.26
5,2025-03-01 11:52:28.455679,302,47,House,16.0,3052.06
5,2025-04-01 11:52:28.455679,238,47,House,16.0,2816.87
6,2024-05-01 11:52:28.455679,335,57,Flat,3.0,3278.78
6,2024-06-01 11:52:28.455679,271,57,Flat,3.0,3459.22
6,2024-07-01 11:52:28.455679,308,57,Flat,3.0,3177.94
6,2024-08-01 11:52:28.455679,263,57,Flat,3.0,3320.32
6,2024-09-01 11:52:28.455679,298,57,Flat,3.0,2725.32
6,2024-10-01 11:52:28.455679,294,57,Flat,3.0,3054.19
6,2024-11-01 11:52:28.455679,245,57,Flat,3.0,3176.98
6,2024-12-01 11:52:28.455679,199,57,Flat,3.0,2929.41
6,2025-01-01 11:52:28.455679,290,57,Flat,3.0,3181.53
6,2025-02-01 11:52:28.455679,299,57,Flat,3.0,3351.99
6,2025-03-01 11:52:28.455679,256,57,Flat,3.0,2764.09
6,2025-04-01 11:52:28.455679,321,57,Flat,3.0,2902.19
7,2024-05-01 11:52:28.455679,329,15,Flat,2.0,2336.96
7,2024-06-01 11:52:28.455679,255,15,Flat,2.0,2392.08
7,2024-07-01 11:52:28.455679,301,15,Flat,2.0,2447.62
7,2024-08-01 11:52:28.455679,379,15,Flat,2.0,2322.18
7,2024-09-01 11:52:28.455679,266,15,Flat,2.0,2392.3
7,2024-10-01 11:52:28.455679,316,15,Flat,2.0,2480.7
7,2024-11-01 11:52:28.455679,348,15,Flat,2.0,2217.11
7,2024-12-01 11:52:28.455679,294,15,Flat,2.0,2178.28
7,2025-01-01 11:52:28.455679,303,15,Flat,2.0,2266.3
7,2025-02-01 11:52:28.455679,194,15,Flat,2.0,2339.9
7,2025-03-01 11:52:28.455679,256,15,Flat,2.0,2168.35
7,2025-04-01 11:52:28.455679,415,15,Flat,2.0,2221.25
8,2024-05-01 11:52:28.455679,415,24,House,14.0,2559.54
8,2024-06-01 11:52:28.455679,322,24,House,14.0,2511.55
8,2024-07-01 11:52:28.455679,308,24,House,14.0,2442.93
8,2024-08-01 11:52:28.455679,219,24,House,14.0,2131.79
8,2024-09-01 11:52:28.455679,285,24,House,14.0,2479.3
8,2024-10-01 11:52:28.455679,238,24,House,14.0,2286.0
8,2024-11-01 11:52:28.455679,331,24,House,14.0,2676.62
8,2024-12-01 11:52:28.455679,298,24,House,14.0,2418.26
8,2025-01-01 11:52:28.455679,336,24,House,14.0,2280.75
8,2025-02-01 11:52:28.455679,346,24,House,14.0,2467.69
8,2025-03-01 11:52:28.455679,252,24,House,14.0,2734.14
8,2025-04-01 11:52:28.455679,304,24,House,14.0,2606.16
9,2024-05-01 11:52:28.455679,335,49,Flat,11.0,3023.98
9,2024-06-01 11:52:28.455679,237,49,Flat,11.0,2714.78
9,2024-07-01 11:52:28.455679,215,49,Flat,11.0,3304.32
9,2024-08-01 11:52:28.455679,337,49,Flat,11.0,2855.67
9,2024-09-01 11:52:28.455679,265,49,Flat,11.0,3166.76
9,2024-10-01 11:52:28.455679,253,49,Flat,11.0,2914.93
9,2024-11-01 11:52:28.455679,297,49,Flat,11.0,3147.5
9,2024-12-01 11:52:28.455679,290,49,Flat,11.0,3241.37
9,2025-01-01 11:52:28.455679,318,49,Flat,11.0,3109.63
9,2025-02-01 11:52:28.455679,212,49,Flat,11.0,3131.17
9,2025-03-01 11:52:28.455679,354,49,Flat,11.0,2960.31
9,2025-04-01 11:52:28.455679,362,49,Flat,11.0,2893.21
10,2024-05-01 11:52:28.455679,275,8,Flat,6.0,2187.66
10,2024-06-01 11:52:28.455679,255,8,Flat,6.0,2092.02
10,2024-07-01 11:52:28.455679,373,8,Flat,6.0,2653.44
10,2024-08-01 11:52:28.455679,348,8,Flat,6.0,1961.53
10,2024-09-01 11:52:28.455679,380,8,Flat,6.0,2360.42
10,2024-10-01 11:52:28.455679,345,8,Flat,6.0,2263.44
10,2024-11-01 11:52:28.455679,269,8,Flat,6.0,2205.97
10,2024-12-01 11:52:28.455679,342,8,Flat,6.0,2455.98
10,2025-01-01 11:52:28.455679,339,8,Flat,6.0,2219.68
10,2025-02-01 11:52:28.455679,340,8,Flat,6.0,2033.02
10,2025-03-01 11:52:28.455679,344,8,Flat,6.0,2218.35
10,2025-04-01 11:52:28.455679,326,8,Flat,6.0,2123.36
11,2024-05-01 11:52:28.455679,337,25,Flat,17.0,2600.66
11,2024-06-01 11:52:28.455679,353,25,Flat,17.0,2662.61
11,2024-07-01 11:52:28.455679,281,25,Flat,17.0,2328.18
11,2024-08-01 11:52:28.455679,279,25,Flat,17.0,2739.07
11,2024-09-01 11:52:28.455679,342,25,Flat,17.0,2449.02
11,2024-10-01 11:52:28.455679,337,25,Flat,17.0,2588.72
11,2024-11-01 11:52:28.455679,384,25,Flat,17.0,2623.41
11,2024-12-01 11:52:28.455679,288,25,Flat,17.0,2573.48
11,2025-01-01 11:52:28.455679,349,25,Flat,17.0,2478.18
11,2025-02-01 11:52:28.455679,339,25,Flat,17.0,2402.28
11,2025-03-01 11:52:28.455679,225,25,Flat,17.0,2446.2
11,2025-04-01 11:52:28.455679,266,25,Flat,17.0,2813.03
12,2024-05-01 11:52:28.455679,311,25,Flat,17.0,2326.83
12,2024-06-01 11:52:28.455679,275,25,Flat,17.0,2356.15
12,2024-07-01 11:52:28.455679,351,25,Flat,17.0,2347.37
12,2024-08-01 11:52:28.455679,390,25,Flat,17.0,2527.15
12,2024-09-01 11:52:28.455679,320,25,Flat,17.0,2195.06
12,2024-10-01 11:52:28.455679,295,25,Flat,17.0,2229.29
12,2024-11-01 11:52:28.455679,227,25,Flat,17.0,2447.81
12,2024-12-01 11:52:28.455679,360,25,Flat,17.0,2242.44
12,2025-01-01 11:52:28.455679,174,25,Flat,17.0,2258.75
12,2025-02-01 11:52:28.455679,200,25,Flat,17.0,2243.95
12,2025-03-01 11:52:28.455679,235,25,Flat,17.0,2330.68
12,2025-04-01 11:52:28.455679,310,25,Flat,17.0,2646.25
13,2024-05-01 11:52:28.455679,349,25,Flat,17.0,2691.14
13,2024-06-01 11:52:28.455679,290,25,Flat,17.0,2883.8
13,2024-07-01 11:52:28.455679,268,25,Flat,17.0,2876.47
13,2024-08-01 11:52:28.455679,271,25,Flat,17.0,2657.26
13,2024-09-01 11:52:28.455679,278,25,Flat,17.0,2705.54
13,2024-10-01 11:52:28.455679,276,25,Flat,17.0,2526.22
13,2024-11-01 11:52:28.455679,240,25,Flat,17.0,2603.97
13,2024-12-01 11:52:28.455679,251,25,Flat,17.0,2888.72
13,2025-01-01 11:52:28.455679,293,25,Flat,17.0,2574.24
13,2025-02-01 11:52:28.455679,300,25,Flat,17.0,2730.65
13,2025-03-01 11:52:28.455679,307,25,Flat,17.0,2313.13
13,2025-04-01 11:52:28.455679,327,25,Flat,17.0,2366.75
14,2024-05-01 11:52:28.455679,255,49,House,11.0,3042.41
14,2024-06-01 11:52:28.455679,340,49,House,11.0,3009.99
14,2024-07-01 11:52:28.455679,256,49,House,11.0,2856.01
14,2024-08-01 11:52:28.455679,254,49,House,11.0,3461.48
14,2024-09-01 11:52:28.455679,256,49,House,11.0,3014.52
14,2024-10-01 11:52:28.455679,278,49,House,11.0,2891.45
14,2024-11-01 11:52:28.455679,363,49,House,11.0,3010.32
14,2024-12-01 11:52:28.455679,278,49,House,11.0,2985.09
14,2025-01-01 11:52:28.455679,210,49,House,11.0,3017.56
14,2025-02-01 11:52:28.455679,280,49,House,11.0,2661.26
14,2025-03-01 11:52:28.455679,305,49,House,11.0,3238.39
14,2025-04-01 11:52:28.455679,331,49,House,11.0,3249.77
15,2024-05-01 11:52:28.455679,370,37,Flat,13.0,3034.06
15,2024-06-01 11:52:28.455679,166,37,Flat,13.0,2805.09
15,2024-07-01 11:52:28.455679,243,37,Flat,13.0,2872.5
15,2024-08-01 11:52:28.455679,286,37,Flat,13.0,2566.75
15,2024-09-01 11:52:28.455679,299,37,Flat,13.0,2906.58
15,2024-10-01 11:52:28.455679,275,37,Flat,13.0,2790.36
15,2024-11-01 11:52:28.455679,317,37,Flat,13.0,2647.92
15,2024-12-01 11:52:28.455679,295,37,Flat,13.0,2912.95
15,2025-01-01 11:52:28.455679,290,37,Flat,13.0,2920.69
15,2025-02-01 11:52:28.455679,219,37,Flat,13.0,2752.12
15,2025-03-01 11:52:28.455679,320,37,Flat,13.0,2827.68
15,2025-04-01 11:52:28.455679,287,37,Flat,13.0,2533.66
16,2024-05-01 11:52:28.455679,277,15,Flat,8.0,2548.64
16,2024-06-01 11:52:28.455679,297,15,Flat,8.0,2120.24
16,2024-07-01 11:52:28.455679,396,15,Flat,8.0,2158.91
16,2024-08-01 11:52:28.455679,288,15,Flat,8.0,2312.46
16,2024-09-01 11:52:28.455679,268,15,Flat,8.0,2522.9
16,2024-10-01 11:52:28.455679,311,15,Flat,8.0,2522.79
16,2024-11-01 11:52:28.455679,315,15,Flat,8.0,2299.04
16,2024-12-01 11:52:28.455679,335,15,Flat,8.0,2454.6
16,2025-01-01 11:52:28.455679,314,15,Flat,8.0,1962.19
16,2025-02-01 11:52:28.455679,310,15,Flat,8.0,2156.14
16,2025-03-01 11:52:28.455679,307,15,Flat,8.0,2160.21
16,2025-04-01 11:52:28.455679,312,15,Flat,8.0,2550.44
17,2024-05-01 11:52:28.455679,281,24,Flat,14.0,2610.93
17,2024-06-01 11:52:28.455679,245,24,Flat,14.0,2516.93
17,2024-07-01 11:52:28.455679,305,24,Flat,14.0,2536.35
17,2024-08-01 11:52:28.455679,246,24,Flat,14.0,2793.67
17,2024-09-01 11:52:28.455679,369,24,Flat,14.0,2445.96
17,2024-10-01 11:52:28.455679,250,24,Flat,14.0,2217.19
17,2024-11-01 11:52:28.455679,340,24,Flat,14.0,2697.44
17,2024-12-01 11:52:28.455679,191,24,Flat,14.0,2516.37
17,2025-01-01 11:52:28.455679,239,24,Flat,14.0,2670.73
17,2025-02-01 11:52:28.455679,226,24,Flat,14.0,2471.05
17,2025-03-01 11:52:28.455679,318,24,Flat,14.0,2312.26
17,2025-04-01 11:52:28.455679,237,24,Flat,14.0,2560.56
18,2024-05-01 11:52:28.455679,274,15,House,8.0,2302.04
18,2024-06-01 11:52:28.455679,329,15,House,8.0,2336.99
18,2024-07-01 11:52:28.455679,294,15,House,8.0,2623.31
18,2024-08-01 11:52:28.455679,273,15,House,8.0,2080.26
18,2024-09-01 11:52:28.455679,364,15,House,8.0,2357.18
18,2024-10-01 11:52:28.455679,332,15,House,8.0,2136.2
18,2024-11-01 11:52:28.455679,265,15,House,8.0,1781.89
18,2024-12-01 11:52:28.455679,287,15,House,8.0,2290.21
18,2025-01-01 11:52:28.455679,276,15,House,8.0,2306.2
18,2025-02-01 11:52:28.455679,293,15,House,8.0,2424.7
18,2025-03-01 11:52:28.455679,216,15,House,8.0,2256.49
18,2025-04-01 11:52:28.455679,360,15,House,8.0,2002.2
19,2024-05-01 11:52:28.455679,239,98,Flat,7.0,3795.51
19,2024-06-01 11:52:28.455679,296,98,Flat,7.0,4223.39
19,2024-07-01 11:52:28.455679,221,98,Flat,7.0,3792.67
19,2024-08-01 11:52:28.455679,295,98,Flat,7.0,4276.65
19,2024-09-01 11:52:28.455679,266,98,Flat,7.0,4170.0
19,2024-10-01 11:52:28.455679,303,98,Flat,7.0,3896.44
19,2024-11-01 11:52:28.455679,336,98,Flat,7.0,3814.18
19,2024-12-01 11:52:28.455679,321,98,Flat,7.0,4169.58
19,2025-01-01 11:52:28.455679,343,98,Flat,7.0,3911.82
19,2025-02-01 11:52:28.455679,252,98,Flat,7.0,3650.87
19,2025-03-01 11:52:28.455679,376,98,Flat,7.0,4072.46
19,2025-04-01 11:52:28.455679,301,98,Flat,7.0,4043.45
20,2024-05-01 11:52:28.455679,238,80,Flat,10.0,3827.54
20,2024-06-01 11:52:28.455679,356,80,Flat,10.0,3669.92
20,2024-07-01 11:52:28.455679,336,80,Flat,10.0,3490.17
20,2024-08-01 11:52:28.455679,210,80,Flat,10.0,3853.94
20,2024-09-01 11:52:28.455679,287,80,Flat,10.0,3873.4
20,2024-10-01 11:52:28.455679,320,80,Flat,10.0,3646.64
20,2024-11-01 11:52:28.455679,301,80,Flat,10.0,3612.06
20,2024-12-01 11:52:28.455679,308,80,Flat,10.0,3335.35
20,2025-01-01 11:52:28.455679,349,80,Flat,10.0,3478.49
20,2025-02-01 11:52:28.455679,349,80,Flat,10.0,3752.15
20,2025-03-01 11:52:28.455679,376,80,Flat,10.0,3488.54
20,2025-04-01 11:52:28.455679,359,80,Flat,10.0,3308.63
21,2024-05-01 11:52:28.455679,321,37,Flat,13.0,3439.18
21,2024-06-01 11:52:28.455679,243,37,Flat,13.0,2447.32
21,2024-07-01 11:52:28.455679,253,37,Flat,13.0,3191.35
21,2024-08-01 11:52:28.455679,303,37,Flat,13.0,2678.52
21,2024-09-01 11:52:28.455679,391,37,Flat,13.0,2723.09
21,2024-10-01 11:52:28.455679,340,37,Flat,13.0,2605.54
21,2024-11-01 11:52:28.455679,347,37,Flat,13.0,2896.57
21,2024-12-01 11:52:28.455679,346,37,Flat,13.0,2452.05
21,2025-01-01 11:52:28.455679,241,37,Flat,13.0,2371.93
21,2025-02-01 11:52:28.455679,321,37,Flat,13.0,3062.03
21,2025-03-01 11:52:28.455679,307,37,Flat,13.0,2579.21
21,2025-04-01 11:52:28.455679,305,37,Flat,13.0,2889.22
22,2024-05-01 11:52:28.455679,365,15,Flat,8.0,2082.91
22,2024-06-01 11:52:28.455679,344,15,Flat,8.0,2441.68
22,2024-07-01 11:52:28.455679,288,15,Flat,8.0,2636.71
22,2024-08-01 11:52:28.455679,279,15,Flat,8.0,2194.58
22,2024-09-01 11:52:28.455679,287,15,Flat,8.0,1913.31
22,2024-10-01 11:52:28.455679,307,15,Flat,8.0,2637.76
22,2024-11-01 11:52:28.455679,289,15,Flat,8.0,2485.25
22,2024-12-01 11:52:28.455679,323,15,Flat,8.0,2205.29
22,2025-01-01 11:52:28.455679,322,15,Flat,8.0,2256.41
22,2025-02-01 11:52:28.455679,314,15,Flat,8.0,2077.87
22,2025-03-01 11:52:28.455679,338,15,Flat,8.0,2584.05
22,2025-04-01 11:52:28.455679,341,15,Flat,8.0,2193.06
23,2024-05-01 11:52:28.455679,218,15,Flat,2.0,2016.26
23,2024-06-01 11:52:28.455679,193,15,Flat,2.0,2342.73
23,2024-07-01 11:52:28.455679,261,15,Flat,2.0,2128.0
23,2024-08-01 11:52:28.455679,250,15,Flat,2.0,2094.0
23,2024-09-01 11:52:28.455679,217,15,Flat,2.0,2213.98
23,2024-10-01 11:52:28.455679,330,15,Flat,2.0,2317.27
23,2024-11-01 11:52:28.455679,265,15,Flat,2.0,2023.78
23,2024-12-01 11:52:28.455679,217,15,Flat,2.0,2577.03
23,2025-01-01 11:52:28.455679,270,15,Flat,2.0,2435.43
23,2025-02-01 11:52:28.455679,378,15,Flat,2.0,2226.93
23,2025-03-01 11:52:28.455679,271,15,Flat,2.0,2119.33
23,2025-04-01 11:52:28.455679,247,15,Flat,2.0,2282.15
24,2024-05-01 11:52:28.455679,348,25,Flat,17.0,2679.89
24,2024-06-01 11:52:28.455679,389,25,Flat,17.0,2648.92
24,2024-07-01 11:52:28.455679,256,25,Flat,17.0,2711.7
24,2024-08-01 11:52:28.455679,258,25,Flat,17.0,2403.92
24,2024-09-01 11:52:28.455679,258,25,Flat,17.0,1915.01
24,2024-10-01 11:52:28.455679,405,25,Flat,17.0,2749.56
24,2024-11-01 11:52:28.455679,299,25,Flat,17.0,2466.56
24,2024-12-01 11:52:28.455679,317,25,Flat,17.0,2633.23
24,2025-01-01 11:52:28.455679,273,25,Flat,17.0,2833.85
24,2025-02-01 11:52:28.455679,244,25,Flat,17.0,2986.88
24,2025-03-01 11:52:28.455679,283,25,Flat,17.0,2370.04
24,2025-04-01 11:52:28.455679,342,25,Flat,17.0,2526.79
25,2024-05-01 11:52:28.455679,323,24,Flat,14.0,2753.37
25,2024-06-01 11:52:28.455679,271,24,Flat,14.0,2311.14
25,2024-07-01 11:52:28.455679,270,24,Flat,14.0,2363.58
25,2024-08-01 11:52:28.455679,253,24,Flat,14.0,2362.39
25,2024-09-01 11:52:28.455679,253,24,Flat,14.0,2474.38
25,2024-10-01 11:52:28.455679,343,24,Flat,14.0,2435.98
25,2024-11-01 11:52:28.455679,275,24,Flat,14.0,2361.24
25,2024-12-01 11:52:28.455679,348,24,Flat,14.0,2286.85
25,2025-01-01 11:52:28.455679,199,24,Flat,14.0,2642.39
25,2025-02-01 11:52:28.455679,294,24,Flat,14.0,2747.57
25,2025-03-01 11:52:28.455679,282,24,Flat,14.0,2776.54
25,2025-04-01 11:52:28.455679,364,24,Flat,14.0,2383.79
26,2024-05-01 11:52:28.455679,292,78,Flat,5.0,3730.74
26,2024-06-01 11:52:28.455679,297,78,Flat,5.0,3607.27
26,2024-07-01 11:52:28.455679,231,78,Flat,5.0,3445.87
26,2024-08-01 11:52:28.455679,241,78,Flat,5.0,3706.84
26,2024-09-01 11:52:28.455679,388,78,Flat,5.0,3436.68
26,2024-10-01 11:52:28.455679,219,78,Flat,5.0,3484.76
26,2024-11-01 11:52:28.455679,276,78,Flat,5.0,3284.65
26,2024-12-01 11:52:28.455679,300,78,Flat,5.0,3467.16
26,2025-01-01 11:52:28.455679,290,78,Flat,5.0,3610.77
26,2025-02-01 11:52:28.455679,306,78,Flat,5.0,3873.79
26,2025-03-01 11:52:28.455679,322,78,Flat,5.0,3489.3
26,2025-04-01 11:52:28.455679,290,78,Flat,5.0,3352.37
27,2024-05-01 11:52:28.455679,254,103,Flat,9.0,4359.47
27,2024-06-01 11:52:28.455679,304,103,Flat,9.0,3959.09
27,2024-07-01 11:52:28.455679,281,103,Flat,9.0,3710.32
27,2024-08-01 11:52:28.455679,228,103,Flat,9.0,4086.62
27,2024-09-01 11:52:28.455679,217,103,Flat,9.0,3995.05
27,2024-10-01 11:52:28.455679,369,103,Flat,9.0,4520.08
27,2024-11-01 11:52:28.455679,325,103,Flat,9.0,4155.07
27,2024-12-01 11:52:28.455679,243,103,Flat,9.0,4030.73
27,2025-01-01 11:52:28.455679,264,103,Flat,9.0,3875.1
27,2025-02-01 11:52:28.455679,342,103,Flat,9.0,4126.03
27,2025-03-01 11:52:28.455679,347,103,Flat,9.0,4351.34
27,2025-04-01 11:52:28.455679,432,103,Flat,9.0,4122.36
28,2024-05-01 11:52:28.455679,247,80,Flat,12.0,3430.51
28,2024-06-01 11:52:28.455679,296,80,Flat,12.0,3707.76
28,2024-07-01 11:52:28.455679,353,80,Flat,12.0,3590.28
28,2024-08-01 11:52:28.455679,391,80,Flat,12.0,3689.72
28,2024-09-01 11:52:28.455679,292,80,Flat,12.0,3529.04
28,2024-10-01 11:52:28.455679,321,80,Flat,12.0,3524.34
28,2024-11-01 11:52:28.455679,171,80,Flat,12.0,3516.44
28,2024-12-01 11:52:28.455679,334,80,Flat,12.0,3788.45
28,2025-01-01 11:52:28.455679,287,80,Flat,12.0,3526.35
28,2025-02-01 11:52:28.455679,299,80,Flat,12.0,3508.05
28,2025-03-01 11:52:28.455679,316,80,Flat,12.0,3411.59
28,2025-04-01 11:52:28.455679,333,80,Flat,12.0,3690.8
29,2024-05-01 11:52:28.455679,261,15,Flat,8.0,2362.34
29,2024-06-01 11:52:28.455679,295,15,Flat,8.0,2210.25
29,2024-07-01 11:52:28.455679,334,15,Flat,8.0,2158.12
29,2024-08-01 11:52:28.455679,316,15,Flat,8.0,2675.23
29,2024-09-01 11:52:28.455679,325,15,Flat,8.0,1923.91
29,2024-10-01 11:52:28.455679,289,15,Flat,8.0,2398.63
29,2024-11-01 11:52:28.455679,342,15,Flat,8.0,2558.28
29,2024-12-01 11:52:28.455679,401,15,Flat,8.0,1622.64
29,2025-01-01 11:52:28.455679,339,15,Flat,8.0,2458.83
29,2025-02-01 11:52:28.455679,334,15,Flat,8.0,2255.95
29,2025-03-01 11:52:28.455679,256,15,Flat,8.0,2351.21
29,2025-04-01 11:52:28.455679,312,15,Flat,8.0,2235.35
30,2024-05-01 11:52:28.455679,318,51,Block of Flats,4.0,3235.08
30,2024-06-01 11:52:28.455679,248,51,Block of Flats,4.0,3092.62
30,2024-07-01 11:52:28.455679,336,51,Block of Flats,4.0,3046.34
30,2024-08-01 11:52:28.455679,372,51,Block of Flats,4.0,2840.23
30,2024-09-01 11:52:28.455679,286,51,Block of Flats,4.0,3396.46
30,2024-10-01 11:52:28.455679,363,51,Block of Flats,4.0,3021.99
30,2024-11-01 11:52:28.455679,265,51,Block of Flats,4.0,3477.96
30,2024-12-01 11:52:28.455679,343,51,Block of Flats,4.0,3405.51
30,2025-01-01 11:52:28.455679,263,51,Block of Flats,4.0,2664.33
30,2025-02-01 11:52:28.455679,345,51,Block of Flats,4.0,2889.01
30,2025-03-01 11:52:28.455679,353,51,Block of Flats,4.0,2812.61
30,2025-04-01 11:52:28.455679,262,51,Block of Flats,4.0,3010.36
31,2024-05-01 11:52:28.455679,362,8,Flat,6.0,2197.43
31,2024-06-01 11:52:28.455679,364,8,Flat,6.0,2205.99
31,2024-07-01 11:52:28.455679,361,8,Flat,6.0,2370.83
31,2024-08-01 11:52:28.455679,257,8,Flat,6.0,2458.72
31,2024-09-01 11:52:28.455679,265,8,Flat,6.0,2353.5
31,2024-10-01 11:52:28.455679,297,8,Flat,6.0,2047.81
31,2024-11-01 11:52:28.455679,340,8,Flat,6.0,2003.6
31,2024-12-01 11:52:28.455679,330,8,Flat,6.0,2160.55
31,2025-01-01 11:52:28.455679,362,8,Flat,6.0,2245.22
31,2025-02-01 11:52:28.455679,344,8,Flat,6.0,2123.36
31,2025-03-01 11:52:28.455679,306,8,Flat,6.0,1890.9
31,2025-04-01 11:52:28.455679,341,8,Flat,6.0,2296.41
32,2024-05-01 11:52:28.455679,248,103,House,9.0,3981.54
32,2024-06-01 11:52:28.455679,267,103,House,9.0,3975.5
32,2024-07-01 11:52:28.455679,279,103,House,9.0,4049.08
32,2024-08-01 11:52:28.455679,238,103,House,9.0,4012.02
32,2024-09-01 11:52:28.455679,299,103,House,9.0,3986.7
32,2024-10-01 11:52:28.455679,235,103,House,9.0,3803.97
32,2024-11-01 11:52:28.455679,419,103,House,9.0,4037.55
32,2024-12-01 11:52:28.455679,277,103,House,9.0,4200.59
32,2025-01-01 11:52:28.455679,268,103,House,9.0,4112.93
32,2025-02-01 11:52:28.455679,360,103,House,9.0,4249.62
32,2025-03-01 11:52:28.455679,340,103,House,9.0,3914.29
32,2025-04-01 11:52:28.455679,323,103,House,9.0,3804.39
33,2024-05-01 11:52:28.455679,224,23,Block of Flats,15.0,2410.83
33,2024-06-01 11:52:28.455679,215,23,Block of Flats,15.0,2337.15
33,2024-07-01 11:52:28.455679,191,23,Block of Flats,15.0,2357.93
33,2024-08-01 11:52:28.455679,278,23,Block of Flats,15.0,2502.35
33,2024-09-01 11:52:28.455679,240,23,Block of Flats,15.0,2359.38
33,2024-10-01 11:52:28.455679,468,23,Block of Flats,15.0,2209.99
33,2024-11-01 11:52:28.455679,282,23,Block of Flats,15.0,2348.2
33,2024-12-01 11:52:28.455679,210,23,Block of Flats,15.0,2528.01
33,2025-01-01 11:52:28.455679,227,23,Block of Flats,15.0,2594.3
33,2025-02-01 11:52:28.455679,231,23,Block of Flats,15.0,2592.28
33,2025-03-01 11:52:28.455679,314,23,Block of Flats,15.0,2544.89
33,2025-04-01 11:52:28.455679,346,23,Block of Flats,15.0,2426.38
34,2024-05-01 11:52:28.455679,287,47,Flat,16.0,3020.98
34,2024-06-01 11:52:28.455679,337,47,Flat,16.0,2931.53
34,2024-07-01 11:52:28.455679,252,47,Flat,16.0,2962.62
