payment_id,tenantid,propertyid,payment_date,amount_gbp,payment_method,propertytype,property_age_years,arrears_flag,arrears_amount,benefit_contribution,tenant_contribution
23,1,362,2020-11-10,603,Housing Benefit,House,74,False,0.0,0.23,0.77
24,1,362,2020-12-02,1296,Direct Debit,House,74,False,0.0,0.29,0.71
25,1,362,2021-01-09,1304,Housing Benefit,House,74,False,0.0,0.36,0.64
26,1,362,2021-02-09,929,Housing Benefit,House,74,False,0.0,0.63,0.37
27,1,362,2021-03-08,876,Bank Transfer,House,74,False,0.0,0.16,0.84
28,1,362,2021-04-08,587,Bank Transfer,House,74,False,0.0,0.41,0.5900000000000001
29,1,362,2021-05-07,857,Direct Debit,House,74,False,0.0,0.47,0.53
30,1,362,2021-06-09,1344,Direct Debit,House,74,False,0.0,0.04,0.96
31,1,362,2021-07-03,834,Direct Debit,House,74,False,0.0,0.49,0.51
32,1,362,2021-08-08,1321,Cash,House,74,False,0.0,0.14,0.86
33,1,362,2021-09-03,601,Direct Debit,House,74,False,0.0,0.05,0.95
34,1,362,2021-10-08,1322,Housing Benefit,House,74,False,0.0,0.76,0.24
35,1,362,2021-11-06,1243,Housing Benefit,House,74,False,0.0,0.77,0.22999999999999998
36,1,362,2021-12-08,1339,Housing Benefit,House,74,False,0.0,0.65,0.35
37,1,362,2022-01-09,957,Direct Debit,House,74,False,0.0,0.24,0.76
38,1,362,2022-02-03,565,Direct Debit,House,74,False,0.0,0.08,0.92
39,1,362,2022-03-04,943,Direct Debit,House,74,False,0.0,0.55,0.44999999999999996
40,1,362,2022-04-08,690,Direct Debit,House,74,False,0.0,0.35,0.65
41,1,362,2022-05-05,636,Direct Debit,House,74,False,0.0,0.1,0.9
42,1,362,2022-06-05,1267,Direct Debit,House,74,False,0.0,0.4,0.6
43,1,362,2022-07-07,1032,Housing Benefit,House,74,False,0.0,0.03,0.97
44,1,362,2022-08-08,1369,Direct Debit,House,74,False,0.0,0.73,0.27
45,1,362,2022-09-01,1431,Direct Debit,House,74,False,0.0,0.21,0.79
46,1,362,2022-10-08,1495,Direct Debit,House,74,False,0.0,0.53,0.47
47,1,362,2022-11-06,1140,Direct Debit,House,74,False,0.0,0.25,0.75
48,1,362,2022-12-04,822,Direct Debit,House,74,False,0.0,0.42,0.5800000000000001
49,1,362,2023-01-08,617,Direct Debit,House,74,False,0.0,0.44,0.56
50,1,362,2023-02-03,781,Housing Benefit,House,74,False,0.0,0.15,0.85
51,1,362,2023-03-08,1344,Direct Debit,House,74,False,0.0,0.78,0.21999999999999997
52,1,362,2023-04-07,774,Bank Transfer,House,74,False,0.0,0.62,0.38
53,1,362,2023-05-08,1355,Direct Debit,House,74,False,0.0,0.75,0.25
54,1,362,2023-06-06,1225,Bank Transfer,House,74,False,0.0,0.72,0.28
55,1,362,2023-07-02,724,Bank Transfer,House,74,False,0.0,0.48,0.52
56,1,362,2023-08-06,1488,Housing Benefit,House,74,False,0.0,0.74,0.26
57,1,362,2023-09-08,1229,Bank Transfer,House,74,False,0.0,0.07,0.9299999999999999
58,1,362,2023-10-09,1088,Direct Debit,House,74,False,0.0,0.16,0.84
59,1,362,2023-11-05,586,Direct Debit,House,74,False,0.0,0.04,0.96
60,1,362,2023-12-01,1492,Direct Debit,House,74,False,0.0,0.26,0.74
61,1,362,2024-01-09,1486,Direct Debit,House,74,False,0.0,0.31,0.69
62,1,362,2024-02-02,968,Direct Debit,House,74,False,0.0,0.22,0.78
63,1,362,2024-03-06,698,Housing Benefit,House,74,False,0.0,0.66,0.33999999999999997
64,1,362,2024-04-05,626,Direct Debit,House,74,False,0.0,0.29,0.71
65,1,362,2024-05-08,951,Direct Debit,House,74,False,0.0,0.22,0.78
66,1,362,2024-06-08,621,Direct Debit,House,74,False,0.0,0.43,0.5700000000000001
67,1,362,2024-07-04,1022,Housing Benefit,House,74,False,0.0,0.11,0.89
68,1,362,2024-08-09,511,Cash,House,74,False,0.0,0.64,0.36
69,1,362,2024-09-03,1382,Housing Benefit,House,74,False,0.0,0.06,0.94
70,1,362,2024-10-01,1110,Direct Debit,House,74,False,0.0,0.79,0.20999999999999996
71,1,362,2024-11-04,930,Direct Debit,House,74,False,0.0,0.62,0.38
72,1,362,2024-12-02,744,Bank Transfer,House,74,False,0.0,0.16,0.84
73,1,362,2025-01-06,934,Direct Debit,House,74,False,0.0,0.0,1.0
74,1,362,2025-02-02,634,Cash,House,74,False,0.0,0.65,0.35
75,1,362,2025-03-02,949,Direct Debit,House,74,False,0.0,0.57,0.43000000000000005
76,1,362,2025-04-07,1485,Direct Debit,House,74,False,0.0,0.58,0.42000000000000004
77,2,74,2015-05-09,957,Cash,Flat,78,False,0.0,0.62,0.38
78,2,74,2015-06-05,1156,Bank Transfer,Flat,78,False,0.0,0.06,0.94
79,2,74,2015-07-06,1279,Housing Benefit,Flat,78,False,0.0,0.29,0.71
80,2,74,2015-08-02,768,Direct Debit,Flat,78,False,0.0,0.09,0.91
81,2,74,2015-09-08,658,Housing Benefit,Flat,78,False,0.0,0.69,0.31000000000000005
82,2,74,2015-10-08,1298,Direct Debit,Flat,78,False,0.0,0.5,0.5
83,2,74,2015-11-06,770,Direct Debit,Flat,78,False,0.0,0.26,0.74
84,2,74,2015-12-07,1123,Direct Debit,Flat,78,False,0.0,0.05,0.95
85,2,74,2016-01-01,1098,Housing Benefit,Flat,78,False,0.0,0.25,0.75
86,2,74,2016-02-10,1479,Housing Benefit,Flat,78,False,0.0,0.26,0.74
87,2,74,2016-03-04,674,Direct Debit,Flat,78,False,0.0,0.58,0.42000000000000004
88,2,74,2016-04-02,1292,Bank Transfer,Flat,78,False,0.0,0.51,0.49
89,2,74,2016-05-01,708,Direct Debit,Flat,78,False,0.0,0.71,0.29000000000000004
90,2,74,2016-06-02,1021,Direct Debit,Flat,78,False,0.0,0.38,0.62
91,2,74,2016-07-08,1077,Housing Benefit,Flat,78,False,0.0,0.1,0.9
92,2,74,2016-08-06,1478,Bank Transfer,Flat,78,False,0.0,0.57,0.43000000000000005
93,2,74,2016-09-05,1278,Cash,Flat,78,False,0.0,0.61,0.39
94,2,74,2016-10-07,982,Bank Transfer,Flat,78,False,0.0,0.45,0.55
95,2,74,2016-11-09,517,Direct Debit,Flat,78,False,0.0,0.62,0.38
96,2,74,2016-12-10,858,Cash,Flat,78,False,0.0,0.4,0.6
97,2,74,2017-01-10,568,Bank Transfer,Flat,78,False,0.0,0.42,0.5800000000000001
98,2,74,2017-02-02,981,Direct Debit,Flat,78,False,0.0,0.34,0.6599999999999999
99,2,74,2017-03-04,1483,Housing Benefit,Flat,78,False,0.0,0.02,0.98
100,2,74,2017-04-09,507,Housing Benefit,Flat,78,False,0.0,0.09,0.91
101,2,74,2017-05-02,891,Direct Debit,Flat,78,False,0.0,0.03,0.97
102,2,74,2017-06-10,807,Cash,Flat,78,False,0.0,0.51,0.49
103,2,74,2017-07-09,603,Direct Debit,Flat,78,False,0.0,0.25,0.75
104,2,74,2017-08-01,985,Housing Benefit,Flat,78,False,0.0,0.41,0.5900000000000001
105,2,74,2017-09-10,942,Direct Debit,Flat,78,False,0.0,0.73,0.27
106,2,74,2017-10-02,1476,Housing Benefit,Flat,78,False,0.0,0.2,0.8
107,2,74,2017-11-05,1295,Bank Transfer,Flat,78,False,0.0,0.33,0.6699999999999999
108,2,74,2017-12-08,921,Direct Debit,Flat,78,False,0.0,0.6,0.4
109,2,74,2018-01-09,1001,Direct Debit,Flat,78,False,0.0,0.18,0.8200000000000001
110,2,74,2018-02-08,1458,Cash,Flat,78,False,0.0,0.06,0.94
111,2,74,2018-03-03,1166,Bank Transfer,Flat,78,False,0.0,0.23,0.77
112,2,74,2018-04-07,1162,Housing Benefit,Flat,78,False,0.0,0.13,0.87
113,2,74,2018-05-03,768,Direct Debit,Flat,78,False,0.0,0.74,0.26
114,2,74,2018-06-02,1068,Direct Debit,Flat,78,False,0.0,0.65,0.35
115,2,74,2018-07-06,1420,Bank Transfer,Flat,78,False,0.0,0.51,0.49
116,2,74,2018-08-07,1368,Bank Transfer,Flat,78,False,0.0,0.7,0.30000000000000004
117,2,74,2018-09-09,559,Direct Debit,Flat,78,False,0.0,0.64,0.36
118,2,74,2018-10-05,607,Housing Benefit,Flat,78,False,0.0,0.15,0.85
119,2,74,2018-11-02,1198,Direct Debit,Flat,78,False,0.0,0.71,0.29000000000000004
120,2,74,2018-12-02,1477,Direct Debit,Flat,78,False,0.0,0.43,0.5700000000000001
121,2,74,2019-01-07,1237,Housing Benefit,Flat,78,False,0.0,0.65,0.35
122,2,74,2019-02-02,766,Direct Debit,Flat,78,False,0.0,0.72,0.28
123,2,74,2019-03-07,1335,Direct Debit,Flat,78,False,0.0,0.25,0.75
124,2,74,2019-04-05,1448,Housing Benefit,Flat,78,False,0.0,0.09,0.91
125,2,74,2019-05-05,979,Direct Debit,Flat,78,False,0.0,0.18,0.8200000000000001
126,2,74,2019-06-04,1412,Bank Transfer,Flat,78,False,0.0,0.34,0.6599999999999999
127,2,74,2019-07-03,1082,Housing Benefit,Flat,78,False,0.0,0.65,0.35
128,2,74,2019-08-10,1022,Housing Benefit,Flat,78,False,0.0,0.69,0.31000000000000005
129,2,74,2019-09-07,516,Direct Debit,Flat,78,False,0.0,0.01,0.99
130,2,74,2019-10-03,903,Direct Debit,Flat,78,False,0.0,0.41,0.5900000000000001
131,2,74,2019-11-06,1187,Housing Benefit,Flat,78,False,0.0,0.33,0.6699999999999999
132,2,74,2019-12-02,832,Direct Debit,Flat,78,False,0.0,0.18,0.8200000000000001
133,2,74,2020-01-05,1371,Bank Transfer,Flat,78,False,0.0,0.1,0.9
134,2,74,2020-02-04,698,Housing Benefit,Flat,78,False,0.0,0.27,0.73
135,2,74,2020-03-07,634,Direct Debit,Flat,78,False,0.0,0.75,0.25
136,2,74,2020-04-01,1237,Housing Benefit,Flat,78,False,0.0,0.26,0.74
137,2,74,2020-05-09,1119,Bank Transfer,Flat,78,False,0.0,0.42,0.5800000000000001
138,2,74,2020-06-02,1167,Direct Debit,Flat,78,False,0.0,0.56,0.43999999999999995
139,2,74,2020-07-10,1061,Direct Debit,Flat,78,False,0.0,0.29,0.71
140,2,74,2020-08-04,570,Bank Transfer,Flat,78,False,0.0,0.78,0.21999999999999997
141,2,74,2020-09-04,1333,Direct Debit,Flat,78,False,0.0,0.77,0.22999999999999998
142,2,74,2020-10-06,804,Direct Debit,Flat,78,False,0.0,0.2,0.8
143,2,74,2020-11-01,954,Direct Debit,Flat,78,False,0.0,0.4,0.6
144,2,74,2020-12-06,714,Direct Debit,Flat,78,False,0.0,0.24,0.76
145,2,74,2021-01-04,927,Housing Benefit,Flat,78,False,0.0,0.23,0.77
146,2,74,2021-02-09,737,Housing Benefit,Flat,78,False,0.0,0.03,0.97
147,2,74,2021-03-02,638,Bank Transfer,Flat,78,False,0.0,0.49,0.51
148,2,74,2021-04-07,1486,Bank Transfer,Flat,78,False,0.0,0.4,0.6
149,2,74,2021-05-09,868,Cash,Flat,78,False,0.0,0.04,0.96
150,2,74,2021-06-01,555,Direct Debit,Flat,78,False,0.0,0.22,0.78
151,2,74,2021-07-04,1432,Direct Debit,Flat,78,False,0.0,0.73,0.27
152,2,74,2021-08-10,567,Cash,Flat,78,False,0.0,0.19,0.81
153,2,74,2021-09-03,744,Direct Debit,Flat,78,False,0.0,0.12,0.88
154,2,74,2021-10-07,1012,Bank Transfer,Flat,78,False,0.0,0.39,0.61
155,2,74,2021-11-09,1456,Direct Debit,Flat,78,False,0.0,0.79,0.20999999999999996
156,2,74,2021-12-02,1394,Bank Transfer,Flat,78,False,0.0,0.19,0.81
157,2,74,2022-01-10,1307,Bank Transfer,Flat,78,False,0.0,0.54,0.45999999999999996
158,2,74,2022-02-03,754,Direct Debit,Flat,78,False,0.0,0.61,0.39
159,2,74,2022-03-07,573,Direct Debit,Flat,78,False,0.0,0.19,0.81
160,2,74,2022-04-01,1287,Direct Debit,Flat,78,False,0.0,0.58,0.42000000000000004
161,2,74,2022-05-10,1246,Direct Debit,Flat,78,False,0.0,0.29,0.71
162,2,74,2022-06-10,837,Direct Debit,Flat,78,False,0.0,0.51,0.49
163,2,74,2022-07-05,1476,Housing Benefit,Flat,78,False,0.0,0.51,0.49
164,2,74,2022-08-03,609,Direct Debit,Flat,78,False,0.0,0.43,0.5700000000000001
165,2,74,2022-09-09,1376,Direct Debit,Flat,78,False,0.0,0.07,0.9299999999999999
166,2,74,2022-10-07,740,Direct Debit,Flat,78,False,0.0,0.67,0.32999999999999996
167,2,74,2022-11-08,1154,Housing Benefit,Flat,78,False,0.0,0.26,0.74
168,2,74,2022-12-02,643,Direct Debit,Flat,78,False,0.0,0.15,0.85
169,2,74,2023-01-02,984,Housing Benefit,Flat,78,False,0.0,0.03,0.97
170,2,74,2023-02-10,1204,Bank Transfer,Flat,78,False,0.0,0.47,0.53
171,2,74,2023-03-08,688,Direct Debit,Flat,78,False,0.0,0.54,0.45999999999999996
172,2,74,2023-04-07,938,Direct Debit,Flat,78,False,0.0,0.01,0.99
173,2,74,2023-05-05,797,Bank Transfer,Flat,78,False,0.0,0.41,0.5900000000000001
174,2,74,2023-06-08,1495,Direct Debit,Flat,78,False,0.0,0.18,0.8200000000000001
175,2,74,2023-07-08,845,Direct Debit,Flat,78,False,0.0,0.52,0.48
176,2,74,2023-08-09,653,Housing Benefit,Flat,78,False,0.0,0.14,0.86
177,2,74,2023-09-10,1158,Direct Debit,Flat,78,False,0.0,0.55,0.44999999999999996
178,2,74,2023-10-06,670,Direct Debit,Flat,78,False,0.0,0.31,0.69
179,2,74,2023-11-04,811,Cash,Flat,78,False,0.0,0.75,0.25
180,2,74,2023-12-01,1214,Direct Debit,Flat,78,False,0.0,0.11,0.89
181,2,74,2024-01-09,509,Bank Transfer,Flat,78,False,0.0,0.27,0.73
182,2,74,2024-02-02,1061,Direct Debit,Flat,78,False,0.0,0.09,0.91
183,2,74,2024-03-02,1229,Bank Transfer,Flat,78,False,0.0,0.74,0.26
184,2,74,2024-04-09,1430,Housing Benefit,Flat,78,False,0.0,0.7,0.30000000000000004
185,2,74,2024-05-08,566,Direct Debit,Flat,78,False,0.0,0.21,0.79
186,2,74,2024-06-06,1483,Housing Benefit,Flat,78,False,0.0,0.53,0.47
187,2,74,2024-07-01,1332,Bank Transfer,Flat,78,False,0.0,0.65,0.35
188,2,74,2024-08-01,646,Direct Debit,Flat,78,False,0.0,0.44,0.56
189,2,74,2024-09-09,729,Housing Benefit,Flat,78,False,0.0,0.42,0.5800000000000001
190,2,74,2024-10-06,1417,Direct Debit,Flat,78,False,0.0,0.19,0.81
191,2,74,2024-11-10,728,Bank Transfer,Flat,78,False,0.0,0.07,0.9299999999999999
192,2,74,2024-12-08,1078,Housing Benefit,Flat,78,False,0.0,0.72,0.28
193,2,74,2025-01-02,1226,Direct Debit,Flat,78,False,0.0,0.72,0.28
194,2,74,2025-02-01,637,Direct Debit,Flat,78,False,0.0,0.51,0.49
195,2,74,2025-03-08,520,Direct Debit,Flat,78,False,0.0,0.27,0.73
196,2,74,2025-04-02,549,Bank Transfer,Flat,78,False,0.0,0.28,0.72
197,3,375,2022-11-05,965,Direct Debit,Flat,71,False,0.0,0.58,0.42000000000000004
198,3,375,2022-12-04,584,Housing Benefit,Flat,71,False,0.0,0.72,0.28
199,3,375,2023-01-10,1150,Direct Debit,Flat,71,False,0.0,0.71,0.29000000000000004
200,3,375,2023-02-10,858,Housing Benefit,Flat,71,False,0.0,0.62,0.38
201,3,375,2023-03-06,541,Housing Benefit,Flat,71,False,0.0,0.51,0.49
202,3,375,2023-04-03,1187,Housing Benefit,Flat,71,False,0.0,0.07,0.9299999999999999
203,3,375,2023-05-05,1114,Bank Transfer,Flat,71,False,0.0,0.13,0.87
204,3,375,2023-06-06,681,Direct Debit,Flat,71,False,0.0,0.72,0.28
205,3,375,2023-07-05,1164,Direct Debit,Flat,71,False,0.0,0.49,0.51
206,3,375,2023-08-10,1224,Cash,Flat,71,False,0.0,0.01,0.99
207,3,375,2023-09-03,836,Direct Debit,Flat,71,False,0.0,0.08,0.92
208,3,375,2023-10-10,1248,Housing Benefit,Flat,71,False,0.0,0.53,0.47
209,3,375,2023-11-06,778,Housing Benefit,Flat,71,False,0.0,0.0,1.0
210,3,375,2023-12-07,1018,Housing Benefit,Flat,71,False,0.0,0.13,0.87
211,3,375,2024-01-03,853,Direct Debit,Flat,71,False,0.0,0.44,0.56
212,3,375,2024-02-09,1005,Direct Debit,Flat,71,False,0.0,0.55,0.44999999999999996
213,3,375,2024-03-05,1397,Housing Benefit,Flat,71,False,0.0,0.52,0.48
214,3,375,2024-04-03,1371,Direct Debit,Flat,71,False,0.0,0.18,0.8200000000000001
215,3,375,2024-05-02,1118,Housing Benefit,Flat,71,False,0.0,0.57,0.43000000000000005
216,3,375,2024-06-05,931,Direct Debit,Flat,71,False,0.0,0.19,0.81
217,3,375,2024-07-04,1262,Direct Debit,Flat,71,False,0.0,0.26,0.74
218,3,375,2024-08-10,1085,Direct Debit,Flat,71,False,0.0,0.6,0.4
219,3,375,2024-09-08,521,Bank Transfer,Flat,71,False,0.0,0.52,0.48
220,3,375,2024-10-09,705,Housing Benefit,Flat,71,False,0.0,0.68,0.31999999999999995
221,3,375,2024-11-09,850,Housing Benefit,Flat,71,False,0.0,0.53,0.47
222,3,375,2024-12-06,1299,Bank Transfer,Flat,71,False,0.0,0.45,0.55
223,3,375,2025-01-10,982,Housing Benefit,Flat,71,False,0.0,0.07,0.9299999999999999
224,3,375,2025-02-02,587,Cash,Flat,71,False,0.0,0.29,0.71
225,3,375,2025-03-10,1072,Direct Debit,Flat,71,False,0.0,0.21,0.79
226,3,375,2025-04-04,902,Bank Transfer,Flat,71,False,0.0,0.2,0.8
227,4,156,2023-07-08,1120,Direct Debit,Block of Flats,15,False,0.0,0.78,0.21999999999999997
228,4,156,2023-08-08,947,Bank Transfer,Block of Flats,15,False,0.0,0.31,0.69
229,4,156,2023-09-10,622,Bank Transfer,Block of Flats,15,False,0.0,0.71,0.29000000000000004
230,4,156,2023-10-07,916,Direct Debit,Block of Flats,15,False,0.0,0.5,0.5
231,4,156,2023-11-10,1065,Direct Debit,Block of Flats,15,False,0.0,0.64,0.36
232,4,156,2023-12-05,1025,Housing Benefit,Block of Flats,15,False,0.0,0.4,0.6
233,4,156,2024-01-05,1265,Direct Debit,Block of Flats,15,False,0.0,0.46,0.54
234,4,156,2024-02-03,948,Bank Transfer,Block of Flats,15,False,0.0,0.39,0.61
235,4,156,2024-03-07,1352,Direct Debit,Block of Flats,15,False,0.0,0.16,0.84
236,4,156,2024-04-06,945,Bank Transfer,Block of Flats,15,False,0.0,0.58,0.42000000000000004
237,4,156,2024-05-06,1493,Direct Debit,Block of Flats,15,False,0.0,0.22,0.78
238,4,156,2024-06-08,1339,Housing Benefit,Block of Flats,15,False,0.0,0.02,0.98
239,4,156,2024-07-04,643,Direct Debit,Block of Flats,15,False,0.0,0.52,0.48
240,4,156,2024-08-10,791,Direct Debit,Block of Flats,15,False,0.0,0.14,0.86
241,4,156,2024-09-04,1141,Direct Debit,Block of Flats,15,False,0.0,0.75,0.25
242,4,156,2024-10-04,755,Direct Debit,Block of Flats,15,False,0.0,0.76,0.24
243,4,156,2024-11-07,689,Direct Debit,Block of Flats,15,False,0.0,0.73,0.27
244,4,156,2024-12-07,972,Bank Transfer,Block of Flats,15,False,0.0,0.3,0.7
245,4,156,2025-01-03,1259,Direct Debit,Block of Flats,15,False,0.0,0.01,0.99
246,4,156,2025-02-01,966,Bank Transfer,Block of Flats,15,False,0.0,0.74,0.26
247,4,156,2025-03-07,508,Direct Debit,Block of Flats,15,False,0.0,0.34,0.6599999999999999
248,4,156,2025-04-02,1164,Housing Benefit,Block of Flats,15,False,0.0,0.77,0.22999999999999998
249,5,105,2015-06-02,798,Direct Debit,Flat,78,True,1176.86,0.58,0.42000000000000004
250,5,105,2015-07-07,1476,Housing Benefit,Flat,78,True,1176.86,0.51,0.49
251,5,105,2015-08-01,527,Housing Benefit,Flat,78,True,1176.86,0.18,0.8200000000000001
252,5,105,2015-09-01,778,Direct Debit,Flat,78,True,1176.86,0.23,0.77
253,5,105,2015-10-10,877,Direct Debit,Flat,78,True,1176.86,0.51,0.49
254,5,105,2015-11-01,613,Direct Debit,Flat,78,True,1176.86,0.19,0.81
255,5,105,2015-12-10,1454,Direct Debit,Flat,78,True,1176.86,0.1,0.9
256,5,105,2016-01-08,691,Direct Debit,Flat,78,True,1176.86,0.33,0.6699999999999999
257,5,105,2016-02-04,851,Direct Debit,Flat,78,True,1176.86,0.56,0.43999999999999995
258,5,105,2016-03-02,818,Housing Benefit,Flat,78,True,1176.86,0.42,0.5800000000000001
259,5,105,2016-04-02,903,Direct Debit,Flat,78,True,1176.86,0.34,0.6599999999999999
260,5,105,2016-05-06,592,Direct Debit,Flat,78,True,1176.86,0.06,0.94
261,5,105,2016-06-10,922,Direct Debit,Flat,78,True,1176.86,0.37,0.63
262,5,105,2016-07-02,1335,Housing Benefit,Flat,78,True,1176.86,0.59,0.41000000000000003
263,5,105,2016-08-06,1446,Direct Debit,Flat,78,True,1176.86,0.08,0.92
264,5,105,2016-09-03,1018,Housing Benefit,Flat,78,True,1176.86,0.31,0.69
265,5,105,2016-10-09,729,Housing Benefit,Flat,78,True,1176.86,0.53,0.47
266,5,105,2016-11-01,1220,Housing Benefit,Flat,78,True,1176.86,0.44,0.56
267,5,105,2016-12-03,683,Direct Debit,Flat,78,True,1176.86,0.42,0.5800000000000001
268,5,105,2017-01-02,644,Housing Benefit,Flat,78,True,1176.86,0.42,0.5800000000000001
269,5,105,2017-02-02,590,Direct Debit,Flat,78,True,1176.86,0.22,0.78
270,5,105,2017-03-08,1445,Bank Transfer,Flat,78,True,1176.86,0.18,0.8200000000000001
271,5,105,2017-04-07,953,Bank Transfer,Flat,78,True,1176.86,0.49,0.51
272,5,105,2017-05-03,1446,Direct Debit,Flat,78,True,1176.86,0.49,0.51
273,5,105,2017-06-06,1332,Cash,Flat,78,True,1176.86,0.52,0.48
274,5,105,2017-07-10,1145,Housing Benefit,Flat,78,True,1176.86,0.55,0.44999999999999996
275,5,105,2017-08-03,1307,Direct Debit,Flat,78,True,1176.86,0.31,0.69
276,5,105,2017-09-05,978,Direct Debit,Flat,78,True,1176.86,0.3,0.7
277,5,105,2017-10-05,722,Housing Benefit,Flat,78,True,1176.86,0.48,0.52
278,5,105,2017-11-08,987,Bank Transfer,Flat,78,True,1176.86,0.39,0.61
279,5,105,2017-12-06,1394,Bank Transfer,Flat,78,True,1176.86,0.42,0.5800000000000001
280,5,105,2018-01-07,1375,Housing Benefit,Flat,78,True,1176.86,0.48,0.52
281,5,105,2018-02-03,1457,Direct Debit,Flat,78,True,1176.86,0.53,0.47
282,5,105,2018-03-08,1346,Housing Benefit,Flat,78,True,1176.86,0.2,0.8
283,5,105,2018-04-09,707,Bank Transfer,Flat,78,True,1176.86,0.23,0.77
284,5,105,2018-05-09,1352,Direct Debit,Flat,78,True,1176.86,0.06,0.94
285,5,105,2018-06-05,1297,Direct Debit,Flat,78,True,1176.86,0.35,0.65
286,5,105,2018-07-05,767,Housing Benefit,Flat,78,True,1176.86,0.02,0.98
287,5,105,2018-08-06,1096,Bank Transfer,Flat,78,True,1176.86,0.28,0.72
288,5,105,2018-09-01,737,Bank Transfer,Flat,78,True,1176.86,0.33,0.6699999999999999
289,5,105,2018-10-10,1055,Direct Debit,Flat,78,True,1176.86,0.17,0.83
290,5,105,2018-11-06,1106,Direct Debit,Flat,78,True,1176.86,0.35,0.65
291,5,105,2018-12-01,766,Bank Transfer,Flat,78,True,1176.86,0.02,0.98
292,5,105,2019-01-10,850,Bank Transfer,Flat,78,True,1176.86,0.02,0.98
293,5,105,2019-02-05,503,Direct Debit,Flat,78,True,1176.86,0.49,0.51
294,5,105,2019-03-04,1069,Housing Benefit,Flat,78,True,1176.86,0.22,0.78
295,5,105,2019-04-07,1240,Bank Transfer,Flat,78,True,1176.86,0.08,0.92
296,5,105,2019-05-04,874,Bank Transfer,Flat,78,True,1176.86,0.31,0.69
297,5,105,2019-06-01,895,Bank Transfer,Flat,78,True,1176.86,0.46,0.54
298,5,105,2019-07-03,592,Direct Debit,Flat,78,True,1176.86,0.13,0.87
299,5,105,2019-08-03,796,Housing Benefit,Flat,78,True,1176.86,0.37,0.63
300,5,105,2019-09-06,583,Direct Debit,Flat,78,True,1176.86,0.05,0.95
301,5,105,2019-10-05,1056,Bank Transfer,Flat,78,True,1176.86,0.03,0.97
302,5,105,2019-11-04,1251,Direct Debit,Flat,78,True,1176.86,0.32,0.6799999999999999
303,5,105,2019-12-01,732,Housing Benefit,Flat,78,True,1176.86,0.32,0.6799999999999999
304,5,105,2020-01-02,1333,Housing Benefit,Flat,78,True,1176.86,0.38,0.62
305,5,105,2020-02-05,1023,Bank Transfer,Flat,78,True,1176.86,0.44,0.56
306,5,105,2020-03-08,638,Housing Benefit,Flat,78,True,1176.86,0.59,0.41000000000000003
307,5,105,2020-04-03,631,Direct Debit,Flat,78,True,1176.86,0.31,0.69
308,5,105,2020-05-05,1166,Housing Benefit,Flat,78,True,1176.86,0.19,0.81
309,5,105,2020-06-01,1214,Direct Debit,Flat,78,True,1176.86,0.48,0.52
310,5,105,2020-07-06,749,Direct Debit,Flat,78,True,1176.86,0.16,0.84
311,5,105,2020-08-09,1366,Cash,Flat,78,True,1176.86,0.26,0.74
312,5,105,2020-09-08,878,Housing Benefit,Flat,78,True,1176.86,0.05,0.95
313,5,105,2020-10-03,910,Housing Benefit,Flat,78,True,1176.86,0.02,0.98
314,5,105,2020-11-03,1094,Housing Benefit,Flat,78,True,1176.86,0.58,0.42000000000000004
