propertyid,valuation_date,property_value_gbp,valuation_method,valuer,estimated_monthly_rent_gbp,rental_yield_percent,property_type,property_age_years,bedrooms,estateid,blockid,year
6,2021-04-29,185000,Cost Approach,"Cook, Ward and Hargreaves Valuations",887,5.75,Flat,28.0,3,1.0,3.0,2021
6,2022-04-29,198000,Comparative Market Analysis,Independent Surveyor,828,5.02,Flat,29.0,3,1.0,3.0,2022
6,2023-04-29,212000,Income Capitalization,RICS Registered Valuer,886,5.02,Flat,30.0,3,1.0,3.0,2023
6,2024-04-28,223000,On-site Professional Valuation,Internal Valuation Team,803,4.32,Flat,31.0,3,1.0,3.0,2024
6,2025-04-28,236000,Comparative Market Analysis,Independent Surveyor,979,4.98,Flat,32.0,3,1.0,3.0,2025
7,2020-04-29,200000,Cost Approach,RICS Registered Valuer,944,5.66,Flat,30.0,3,1.0,2.0,2020
7,2021-04-29,207000,Comparative Market Analysis,Internal Valuation Team,993,5.76,Flat,31.0,3,1.0,2.0,2021
7,2022-04-29,220000,On-site Professional Valuation,RICS Registered Valuer,1033,5.63,Flat,32.0,3,1.0,2.0,2022
7,2023-04-29,228000,On-site Professional Valuation,RICS Registered Valuer,941,4.95,Flat,33.0,3,1.0,2.0,2023
7,2024-04-28,238000,Automated Valuation Model,RICS Registered Valuer,1139,5.74,Flat,34.0,3,1.0,2.0,2024
7,2025-04-28,256000,Income Capitalization,Independent Surveyor,1176,5.51,Flat,35.0,3,1.0,2.0,2025
8,2020-04-29,396000,Cost Approach,Automated System,1763,5.34,House,28.0,1,9.0,14.0,2020
8,2021-04-29,426000,Income Capitalization,RICS Registered Valuer,1741,4.9,House,29.0,1,9.0,14.0,2021
8,2022-04-29,440000,On-site Professional Valuation,RICS Registered Valuer,1482,4.04,House,30.0,1,9.0,14.0,2022
8,2023-04-29,466000,Comparative Market Analysis,RICS Registered Valuer,1559,4.01,House,31.0,1,9.0,14.0,2023
8,2024-04-28,482000,Cost Approach,Internal Valuation Team,1632,4.06,House,32.0,1,9.0,14.0,2024
8,2025-04-28,508000,Automated Valuation Model,RICS Registered Valuer,1929,4.56,House,33.0,1,9.0,14.0,2025
9,2020-04-29,330000,On-site Professional Valuation,Dale PLC Valuations,1498,5.45,Flat,30.0,4,6.0,11.0,2020
9,2021-04-29,348000,Automated Valuation Model,RICS Registered Valuer,1615,5.57,Flat,31.0,4,6.0,11.0,2021
9,2022-04-29,360000,Cost Approach,Automated System,1595,5.32,Flat,32.0,4,6.0,11.0,2022
9,2023-04-29,378000,Comparative Market Analysis,Internal Valuation Team,1804,5.73,Flat,33.0,4,6.0,11.0,2023
9,2024-04-28,390000,Comparative Market Analysis,RICS Registered Valuer,1773,5.46,Flat,34.0,4,6.0,11.0,2024
9,2025-04-28,406000,Income Capitalization,Automated System,1716,5.07,Flat,35.0,4,6.0,11.0,2025
10,2020-04-29,172000,Comparative Market Analysis,Automated System,706,4.93,Flat,29.0,1,4.0,6.0,2020
10,2021-04-29,184000,Comparative Market Analysis,Internal Valuation Team,876,5.71,Flat,30.0,1,4.0,6.0,2021
10,2022-04-29,196000,Comparative Market Analysis,Internal Valuation Team,830,5.08,Flat,31.0,1,4.0,6.0,2022
10,2023-04-29,211000,Income Capitalization,Automated System,1002,5.7,Flat,32.0,1,4.0,6.0,2023
10,2024-04-28,222000,Automated Valuation Model,Internal Valuation Team,819,4.43,Flat,33.0,1,4.0,6.0,2024
10,2025-04-28,230000,Automated Valuation Model,Independent Surveyor,767,4.0,Flat,34.0,1,4.0,6.0,2025
11,2020-04-29,180000,Cost Approach,Automated System,836,5.57,Flat,30.0,3,10.0,17.0,2020
11,2021-04-29,192000,On-site Professional Valuation,Automated System,874,5.46,Flat,31.0,3,10.0,17.0,2021
11,2022-04-29,199000,Comparative Market Analysis,"Bruce, Jones and Brown Valuations",762,4.59,Flat,32.0,3,10.0,17.0,2022
11,2023-04-29,212000,Cost Approach,Internal Valuation Team,728,4.12,Flat,33.0,3,10.0,17.0,2023
11,2024-04-28,219000,On-site Professional Valuation,RICS Registered Valuer,904,4.95,Flat,34.0,3,10.0,17.0,2024
11,2025-04-28,226000,Income Capitalization,Internal Valuation Team,945,5.02,Flat,35.0,3,10.0,17.0,2025
12,2020-04-29,147000,Income Capitalization,Automated System,655,5.35,Flat,30.0,2,10.0,17.0,2020
12,2021-04-29,152000,Income Capitalization,Smith LLC Valuations,732,5.78,Flat,31.0,2,10.0,17.0,2021
12,2022-04-29,161000,Automated Valuation Model,Jones Ltd Valuations,703,5.24,Flat,32.0,2,10.0,17.0,2022
12,2023-04-29,171000,Cost Approach,RICS Registered Valuer,660,4.63,Flat,33.0,2,10.0,17.0,2023
12,2024-04-28,182000,Cost Approach,Automated System,702,4.63,Flat,34.0,2,10.0,17.0,2024
12,2025-04-28,188000,Automated Valuation Model,Independent Surveyor,829,5.29,Flat,35.0,2,10.0,17.0,2025
13,2020-04-29,203000,Comparative Market Analysis,Automated System,993,5.87,Flat,30.0,4,10.0,17.0,2020
13,2021-04-29,215000,Comparative Market Analysis,Internal Valuation Team,918,5.13,Flat,31.0,4,10.0,17.0,2021
13,2022-04-29,228000,Income Capitalization,Independent Surveyor,952,5.01,Flat,32.0,4,10.0,17.0,2022
13,2023-04-29,245000,Cost Approach,Independent Surveyor,1176,5.76,Flat,33.0,4,10.0,17.0,2023
13,2024-04-28,254000,Cost Approach,Brown-Hooper Valuations,1200,5.67,Flat,34.0,4,10.0,17.0,2024
13,2025-04-28,274000,On-site Professional Valuation,Internal Valuation Team,1282,5.61,Flat,35.0,4,10.0,17.0,2025
14,2020-04-29,344000,Comparative Market Analysis,RICS Registered Valuer,1465,5.11,House,30.0,1,6.0,11.0,2020
14,2021-04-29,359000,On-site Professional Valuation,RICS Registered Valuer,1729,5.78,House,31.0,1,6.0,11.0,2021
14,2022-04-29,375000,Cost Approach,RICS Registered Valuer,1628,5.21,House,32.0,1,6.0,11.0,2022
14,2023-04-29,399000,On-site Professional Valuation,Automated System,1897,5.71,House,33.0,1,6.0,11.0,2023
14,2024-04-28,416000,Comparative Market Analysis,Internal Valuation Team,2016,5.82,House,34.0,1,6.0,11.0,2024
14,2025-04-28,441000,Comparative Market Analysis,Internal Valuation Team,2080,5.66,House,35.0,1,6.0,11.0,2025
15,2020-04-29,362000,Cost Approach,RICS Registered Valuer,1286,4.26,Flat,27.0,4,8.0,13.0,2020
15,2021-04-29,386000,Automated Valuation Model,Smith and Sons Valuations,1642,5.1,Flat,28.0,4,8.0,13.0,2021
15,2022-04-29,398000,Income Capitalization,"Coleman, Smith and Nelson Valuations",1377,4.15,Flat,29.0,4,8.0,13.0,2022
15,2023-04-29,411000,On-site Professional Valuation,RICS Registered Valuer,1623,4.74,Flat,30.0,4,8.0,13.0,2023
15,2024-04-28,432000,Cost Approach,Internal Valuation Team,1470,4.08,Flat,31.0,4,8.0,13.0,2024
15,2025-04-28,464000,Income Capitalization,Internal Valuation Team,1709,4.42,Flat,32.0,4,8.0,13.0,2025
16,2020-04-29,241000,Automated Valuation Model,"Flynn, Brown and Lawrence Valuations",1028,5.12,Flat,24.0,3,4.0,8.0,2020
16,2021-04-29,257000,Income Capitalization,RICS Registered Valuer,1253,5.85,Flat,25.0,3,4.0,8.0,2021
16,2022-04-29,278000,Automated Valuation Model,Internal Valuation Team,1302,5.62,Flat,26.0,3,4.0,8.0,2022
16,2023-04-29,288000,Automated Valuation Model,RICS Registered Valuer,1404,5.85,Flat,27.0,3,4.0,8.0,2023
16,2024-04-28,301000,Comparative Market Analysis,Automated System,1398,5.57,Flat,28.0,3,4.0,8.0,2024
16,2025-04-28,323000,Income Capitalization,RICS Registered Valuer,1539,5.72,Flat,29.0,3,4.0,8.0,2025
17,2020-04-29,277000,Cost Approach,RICS Registered Valuer,1136,4.92,Flat,28.0,1,9.0,14.0,2020
17,2021-04-29,288000,Automated Valuation Model,Independent Surveyor,1277,5.32,Flat,29.0,1,9.0,14.0,2021
17,2022-04-29,301000,Cost Approach,Independent Surveyor,1038,4.14,Flat,30.0,1,9.0,14.0,2022
17,2023-04-29,320000,On-site Professional Valuation,Independent Surveyor,1280,4.8,Flat,31.0,1,9.0,14.0,2023
17,2024-04-28,344000,Cost Approach,RICS Registered Valuer,1213,4.23,Flat,32.0,1,9.0,14.0,2024
17,2025-04-28,365000,Comparative Market Analysis,Internal Valuation Team,1815,5.97,Flat,33.0,1,9.0,14.0,2025
18,2020-04-29,291000,Cost Approach,Automated System,1138,4.69,House,24.0,1,4.0,8.0,2020
18,2021-04-29,309000,Automated Valuation Model,Cross Ltd Valuations,1293,5.02,House,25.0,1,4.0,8.0,2021
18,2022-04-29,321000,Automated Valuation Model,Internal Valuation Team,1094,4.09,House,26.0,1,4.0,8.0,2022
18,2023-04-29,339000,Income Capitalization,Independent Surveyor,1586,5.61,House,27.0,1,4.0,8.0,2023
18,2024-04-28,356000,Cost Approach,Davies-Macdonald Valuations,1750,5.9,House,28.0,1,4.0,8.0,2024
18,2025-04-28,372000,Cost Approach,"Chamberlain, Higgins and Hunter Valuations",1766,5.7,House,29.0,1,4.0,8.0,2025
19,2020-04-29,208000,Automated Valuation Model,Independent Surveyor,835,4.82,Flat,30.0,2,4.0,7.0,2020
19,2021-04-29,220000,Automated Valuation Model,RICS Registered Valuer,804,4.38,Flat,31.0,2,4.0,7.0,2021
19,2022-04-29,233000,On-site Professional Valuation,Internal Valuation Team,894,4.6,Flat,32.0,2,4.0,7.0,2022
19,2023-04-29,244000,On-site Professional Valuation,Smith-Welch Valuations,899,4.42,Flat,33.0,2,4.0,7.0,2023
19,2024-04-28,259000,Automated Valuation Model,RICS Registered Valuer,1064,4.93,Flat,34.0,2,4.0,7.0,2024
19,2025-04-28,274000,Income Capitalization,Internal Valuation Team,1276,5.59,Flat,35.0,2,4.0,7.0,2025
20,2020-04-29,291000,On-site Professional Valuation,Independent Surveyor,1292,5.33,Flat,29.0,4,5.0,10.0,2020
20,2021-04-29,301000,Income Capitalization,Independent Surveyor,1481,5.9,Flat,30.0,4,5.0,10.0,2021
20,2022-04-29,314000,Comparative Market Analysis,Internal Valuation Team,1151,4.4,Flat,31.0,4,5.0,10.0,2022
20,2023-04-29,327000,Comparative Market Analysis,Automated System,1349,4.95,Flat,32.0,4,5.0,10.0,2023
20,2024-04-28,343000,Income Capitalization,Automated System,1503,5.26,Flat,33.0,4,5.0,10.0,2024
20,2025-04-28,362000,Comparative Market Analysis,Internal Valuation Team,1354,4.49,Flat,34.0,4,5.0,10.0,2025
21,2020-04-29,258000,On-site Professional Valuation,Automated System,954,4.44,Flat,27.0,1,8.0,13.0,2020
21,2021-04-29,266000,Comparative Market Analysis,Automated System,997,4.5,Flat,28.0,1,8.0,13.0,2021
21,2022-04-29,276000,On-site Professional Valuation,Hall-Hargreaves Valuations,1134,4.93,Flat,29.0,1,8.0,13.0,2022
21,2023-04-29,293000,Automated Valuation Model,Patel Ltd Valuations,1441,5.9,Flat,30.0,1,8.0,13.0,2023
21,2024-04-28,313000,Automated Valuation Model,"Mitchell, Simpson and Richards Valuations",1509,5.78,Flat,31.0,1,8.0,13.0,2024
21,2025-04-28,330000,Automated Valuation Model,Automated System,1188,4.32,Flat,32.0,1,8.0,13.0,2025
22,2020-04-29,206000,Cost Approach,Fisher Inc Valuations,772,4.49,Flat,24.0,2,4.0,8.0,2020
22,2021-04-29,217000,Automated Valuation Model,Internal Valuation Team,810,4.48,Flat,25.0,2,4.0,8.0,2021
22,2022-04-29,231000,Cost Approach,Independent Surveyor,860,4.47,Flat,26.0,2,4.0,8.0,2022
22,2023-04-29,249000,Income Capitalization,RICS Registered Valuer,863,4.16,Flat,27.0,2,4.0,8.0,2023
22,2024-04-28,261000,Income Capitalization,Internal Valuation Team,936,4.31,Flat,28.0,2,4.0,8.0,2024
22,2025-04-28,274000,Automated Valuation Model,Automated System,1064,4.66,Flat,29.0,2,4.0,8.0,2025
23,2020-04-29,192000,Automated Valuation Model,Hargreaves-Hunt Valuations,907,5.67,Flat,30.0,4,1.0,2.0,2020
23,2021-04-29,207000,On-site Professional Valuation,Automated System,697,4.04,Flat,31.0,4,1.0,2.0,2021
23,2022-04-29,218000,Cost Approach,Automated System,1069,5.89,Flat,32.0,4,1.0,2.0,2022
23,2023-04-29,234000,Automated Valuation Model,Ahmed-Mahmood Valuations,1152,5.91,Flat,33.0,4,1.0,2.0,2023
23,2024-04-28,250000,On-site Professional Valuation,RICS Registered Valuer,1061,5.09,Flat,34.0,4,1.0,2.0,2024
23,2025-04-28,263000,Automated Valuation Model,Internal Valuation Team,996,4.55,Flat,35.0,4,1.0,2.0,2025
24,2020-04-29,162000,Automated Valuation Model,RICS Registered Valuer,721,5.34,Flat,30.0,3,10.0,17.0,2020
24,2021-04-29,174000,On-site Professional Valuation,"Chambers, Baldwin and Khan Valuations",847,5.84,Flat,31.0,3,10.0,17.0,2021
24,2022-04-29,179000,On-site Professional Valuation,Internal Valuation Team,714,4.79,Flat,32.0,3,10.0,17.0,2022
24,2023-04-29,185000,Automated Valuation Model,RICS Registered Valuer,749,4.86,Flat,33.0,3,10.0,17.0,2023
24,2024-04-28,191000,Income Capitalization,Automated System,757,4.76,Flat,34.0,3,10.0,17.0,2024
24,2025-04-28,200000,Automated Valuation Model,Independent Surveyor,920,5.52,Flat,35.0,3,10.0,17.0,2025
25,2020-04-29,370000,Cost Approach,Internal Valuation Team,1746,5.66,Flat,28.0,3,9.0,14.0,2020
25,2021-04-29,390000,Comparative Market Analysis,Independent Surveyor,1787,5.5,Flat,29.0,3,9.0,14.0,2021
25,2022-04-29,406000,Comparative Market Analysis,Internal Valuation Team,1400,4.14,Flat,30.0,3,9.0,14.0,2022
25,2023-04-29,437000,Comparative Market Analysis,"Warren, Bowen and Pritchard Valuations",1602,4.4,Flat,31.0,3,9.0,14.0,2023
25,2024-04-28,454000,Comparative Market Analysis,Shaw Ltd Valuations,1609,4.25,Flat,32.0,3,9.0,14.0,2024
25,2025-04-28,489000,Cost Approach,Independent Surveyor,2009,4.93,Flat,33.0,3,9.0,14.0,2025
26,2020-04-29,157000,Comparative Market Analysis,RICS Registered Valuer,682,5.21,Flat,28.0,1,3.0,5.0,2020
26,2021-04-29,169000,Comparative Market Analysis,Independent Surveyor,594,4.22,Flat,29.0,1,3.0,5.0,2021
26,2022-04-29,179000,Automated Valuation Model,Automated System,868,5.82,Flat,30.0,1,3.0,5.0,2022
26,2023-04-29,193000,On-site Professional Valuation,RICS Registered Valuer,707,4.4,Flat,31.0,1,3.0,5.0,2023
26,2024-04-28,200000,On-site Professional Valuation,Internal Valuation Team,924,5.54,Flat,32.0,1,3.0,5.0,2024
26,2025-04-28,214000,Comparative Market Analysis,Independent Surveyor,915,5.13,Flat,33.0,1,3.0,5.0,2025
27,2020-04-29,306000,Comparative Market Analysis,Moore Inc Valuations,1357,5.32,Flat,30.0,4,5.0,9.0,2020
27,2021-04-29,325000,Automated Valuation Model,Automated System,1090,4.03,Flat,31.0,4,5.0,9.0,2021
27,2022-04-29,337000,Automated Valuation Model,RICS Registered Valuer,1663,5.92,Flat,32.0,4,5.0,9.0,2022
27,2023-04-29,354000,Cost Approach,Long-Mason Valuations,1613,5.47,Flat,33.0,4,5.0,9.0,2023
27,2024-04-28,379000,Automated Valuation Model,Automated System,1603,5.08,Flat,34.0,4,5.0,9.0,2024
27,2025-04-28,399000,Cost Approach,Independent Surveyor,1816,5.46,Flat,35.0,4,5.0,9.0,2025
28,2020-04-29,376000,Comparative Market Analysis,Independent Surveyor,1774,5.66,Flat,30.0,4,7.0,12.0,2020
28,2021-04-29,404000,Automated Valuation Model,Wells-Collins Valuations,1511,4.49,Flat,31.0,4,7.0,12.0,2021
28,2022-04-29,428000,Comparative Market Analysis,Automated System,1697,4.76,Flat,32.0,4,7.0,12.0,2022
28,2023-04-29,459000,Income Capitalization,Independent Surveyor,1669,4.36,Flat,33.0,4,7.0,12.0,2023
28,2024-04-28,491000,On-site Professional Valuation,Independent Surveyor,1915,4.68,Flat,34.0,4,7.0,12.0,2024
28,2025-04-28,520000,Income Capitalization,Internal Valuation Team,2181,5.03,Flat,35.0,4,7.0,12.0,2025
29,2020-04-29,266000,On-site Professional Valuation,RICS Registered Valuer,1067,4.81,Flat,24.0,4,4.0,8.0,2020
29,2021-04-29,283000,Automated Valuation Model,Automated System,1248,5.29,Flat,25.0,4,4.0,8.0,2021
29,2022-04-29,303000,Income Capitalization,Automated System,1057,4.19,Flat,26.0,4,4.0,8.0,2022
29,2023-04-29,322000,On-site Professional Valuation,Independent Surveyor,1238,4.61,Flat,27.0,4,4.0,8.0,2023
29,2024-04-28,340000,Automated Valuation Model,"Sheppard, Barrett and McCarthy Valuations",1434,5.06,Flat,28.0,4,4.0,8.0,2024
29,2025-04-28,356000,Cost Approach,Independent Surveyor,1604,5.41,Flat,29.0,4,4.0,8.0,2025
30,2020-04-29,162000,Income Capitalization,Independent Surveyor,573,4.24,Block of Flats,30.0,1,2.0,4.0,2020
30,2021-04-29,168000,Income Capitalization,RICS Registered Valuer,710,5.07,Block of Flats,31.0,1,2.0,4.0,2021
30,2022-04-29,175000,On-site Professional Valuation,Brown-Metcalfe Valuations,725,4.97,Block of Flats,32.0,1,2.0,4.0,2022
30,2023-04-29,185000,Income Capitalization,Independent Surveyor,919,5.96,Block of Flats,33.0,1,2.0,4.0,2023
30,2024-04-28,193000,Comparative Market Analysis,"Atkinson, Page and Evans Valuations",701,4.36,Block of Flats,34.0,1,2.0,4.0,2024
30,2025-04-28,200000,Comparative Market Analysis,Booth-Coates Valuations,682,4.09,Block of Flats,35.0,1,2.0,4.0,2025
31,2020-04-29,269000,Automated Valuation Model,Internal Valuation Team,1320,5.89,Flat,29.0,4,4.0,6.0,2020
31,2021-04-29,289000,Automated Valuation Model,Automated System,1240,5.15,Flat,30.0,4,4.0,6.0,2021
31,2022-04-29,304000,Comparative Market Analysis,Independent Surveyor,1107,4.37,Flat,31.0,4,4.0,6.0,2022
31,2023-04-29,327000,Comparative Market Analysis,Automated System,1350,4.96,Flat,32.0,4,4.0,6.0,2023
31,2024-04-28,345000,Comparative Market Analysis,RICS Registered Valuer,1482,5.15,Flat,33.0,4,4.0,6.0,2024
31,2025-04-28,358000,Cost Approach,Internal Valuation Team,1529,5.13,Flat,34.0,4,4.0,6.0,2025
32,2020-04-29,340000,Automated Valuation Model,Bell Ltd Valuations,1200,4.24,House,30.0,1,5.0,9.0,2020
32,2021-04-29,360000,On-site Professional Valuation,Automated System,1571,5.24,House,31.0,1,5.0,9.0,2021
32,2022-04-29,379000,On-site Professional Valuation,Automated System,1543,4.89,House,32.0,1,5.0,9.0,2022
32,2023-04-29,396000,On-site Professional Valuation,Internal Valuation Team,1730,5.24,House,33.0,1,5.0,9.0,2023
32,2024-04-28,427000,Income Capitalization,Independent Surveyor,1571,4.42,House,34.0,1,5.0,9.0,2024
32,2025-04-28,454000,Income Capitalization,Kent LLC Valuations,1632,4.31,House,35.0,1,5.0,9.0,2025
33,2020-04-29,264000,Automated Valuation Model,Douglas Inc Valuations,881,4.01,Block of Flats,27.0,1,9.0,15.0,2020
33,2021-04-29,278000,Cost Approach,Independent Surveyor,942,4.07,Block of Flats,28.0,1,9.0,15.0,2021
33,2022-04-29,296000,Income Capitalization,Independent Surveyor,1211,4.91,Block of Flats,29.0,1,9.0,15.0,2022
33,2023-04-29,317000,Income Capitalization,Automated System,1387,5.25,Block of Flats,30.0,1,9.0,15.0,2023
33,2024-04-28,328000,Income Capitalization,Independent Surveyor,1216,4.45,Block of Flats,31.0,1,9.0,15.0,2024
33,2025-04-28,352000,Income Capitalization,Independent Surveyor,1215,4.14,Block of Flats,32.0,1,9.0,15.0,2025
34,2020-04-29,405000,Cost Approach,Automated System,1906,5.65,Flat,29.0,4,9.0,16.0,2020
34,2021-04-29,420000,Automated Valuation Model,Independent Surveyor,1882,5.38,Flat,30.0,4,9.0,16.0,2021
34,2022-04-29,443000,Comparative Market Analysis,"Wright, Willis and Smith Valuations",1841,4.99,Flat,31.0,4,9.0,16.0,2022
34,2023-04-29,457000,Cost Approach,Howells-Adams Valuations,1852,4.86,Flat,32.0,4,9.0,16.0,2023
34,2024-04-28,476000,On-site Professional Valuation,"Scott, Howell and Sims Valuations",1659,4.18,Flat,33.0,4,9.0,16.0,2024
34,2025-04-28,513000,Cost Approach,"Heath, Harrison and Chambers Valuations",2565,6.0,Flat,34.0,4,9.0,16.0,2025
35,2020-04-29,283000,Automated Valuation Model,Robinson Ltd Valuations,1300,5.51,Block of Flats,24.0,4,4.0,8.0,2020
35,2021-04-29,301000,Income Capitalization,Banks Inc Valuations,1463,5.83,Block of Flats,25.0,4,4.0,8.0,2021
35,2022-04-29,316000,Comparative Market Analysis,Automated System,1482,5.63,Block of Flats,26.0,4,4.0,8.0,2022
35,2023-04-29,331000,Comparative Market Analysis,RICS Registered Valuer,1287,4.67,Block of Flats,27.0,4,4.0,8.0,2023
35,2024-04-28,347000,Cost Approach,Automated System,1558,5.39,Block of Flats,28.0,4,4.0,8.0,2024
35,2025-04-28,371000,Automated Valuation Model,Internal Valuation Team,1577,5.1,Block of Flats,29.0,4,4.0,8.0,2025
36,2020-04-29,277000,Automated Valuation Model,Freeman-Walker Valuations,1073,4.65,Flat,27.0,2,8.0,13.0,2020
36,2021-04-29,297000,On-site Professional Valuation,Automated System,991,4.0,Flat,28.0,2,8.0,13.0,2021
36,2022-04-29,312000,Cost Approach,"Moss, Robinson and Davis Valuations",1138,4.38,Flat,29.0,2,8.0,13.0,2022
36,2023-04-29,333000,Comparative Market Analysis,RICS Registered Valuer,1457,5.25,Flat,30.0,2,8.0,13.0,2023
36,2024-04-28,347000,Cost Approach,Automated System,1232,4.26,Flat,31.0,2,8.0,13.0,2024
36,2025-04-28,373000,Comparative Market Analysis,"Jones, McKenzie and Williams Valuations",1545,4.97,Flat,32.0,2,8.0,13.0,2025
37,2020-04-29,285000,Cost Approach,Chambers LLC Valuations,1287,5.42,Flat,29.0,3,5.0,10.0,2020
37,2021-04-29,294000,Income Capitalization,Internal Valuation Team,1180,4.82,Flat,30.0,3,5.0,10.0,2021
37,2022-04-29,309000,Income Capitalization,Automated System,1090,4.23,Flat,31.0,3,5.0,10.0,2022
37,2023-04-29,333000,Cost Approach,Automated System,1272,4.58,Flat,32.0,3,5.0,10.0,2023
37,2024-04-28,357000,Income Capitalization,Automated System,1773,5.96,Flat,33.0,3,5.0,10.0,2024
37,2025-04-28,377000,On-site Professional Valuation,Wright Ltd Valuations,1498,4.77,Flat,34.0,3,5.0,10.0,2025
38,2020-04-29,128000,Comparative Market Analysis,Independent Surveyor,456,4.27,Flat,30.0,1,10.0,17.0,2020
38,2021-04-29,137000,Cost Approach,Thomson-Ferguson Valuations,652,5.71,Flat,31.0,1,10.0,17.0,2021
38,2022-04-29,143000,Cost Approach,Wilkinson Ltd Valuations,477,4.01,Flat,32.0,1,10.0,17.0,2022
38,2023-04-29,151000,Income Capitalization,Automated System,669,5.32,Flat,33.0,1,10.0,17.0,2023
38,2024-04-28,160000,On-site Professional Valuation,"Gill, Gibbons and Saunders Valuations",625,4.69,Flat,34.0,1,10.0,17.0,2024
38,2025-04-28,168000,Income Capitalization,RICS Registered Valuer,821,5.87,Flat,35.0,1,10.0,17.0,2025
39,2020-04-29,369000,Automated Valuation Model,Internal Valuation Team,1374,4.47,House,30.0,4,2.0,4.0,2020
39,2021-04-29,386000,Automated Valuation Model,Automated System,1591,4.95,House,31.0,4,2.0,4.0,2021
39,2022-04-29,417000,Income Capitalization,Automated System,1941,5.58,House,32.0,4,2.0,4.0,2022
39,2023-04-29,449000,On-site Professional Valuation,Independent Surveyor,1591,4.25,House,33.0,4,2.0,4.0,2023
39,2024-04-28,482000,Automated Valuation Model,Internal Valuation Team,2309,5.75,House,34.0,4,2.0,4.0,2024
39,2025-04-28,509000,Income Capitalization,Automated System,2084,4.91,House,35.0,4,2.0,4.0,2025
