inspectionid,propertyid,lastinspectiondate,inspector,outcome,notes,inspection_type,buildingregistrationdate,property_age_years,patchid,patchname,days_since_last_inspection,compliance_outcome,follow_up_required,backlog_flag,compliance_severity
34,8,2021-03-21,Inspector 10,Pass,Inspection notes for property 8,Water Hygiene,2001-01-01,24,5,South Patch 1,1382,Pass,False,False,None
35,8,2021-05-14,Inspector 4,Fail,Inspection notes for property 8,Water Hygiene,2001-01-01,24,5,South Patch 1,1328,Pass,False,False,None
36,8,2021-10-05,Inspector 7,Pass,Inspection notes for property 8,General HHSRS,2001-01-01,24,5,South Patch 1,1184,Pass,False,False,None
37,8,2021-08-22,Inspector 1,Pass,Inspection notes for property 8,Gas Safety,2001-01-01,24,5,South Patch 1,1228,Advisory,True,False,High
38,9,2022-03-30,Inspector 8,Fail,Inspection notes for property 9,Fire Safety,1976-01-01,49,7,West Patch 1,1008,Pass,False,False,None
39,9,2024-08-28,Inspector 8,Fail,Inspection notes for property 9,Electrical,1976-01-01,49,7,West Patch 1,126,Pass,False,False,None
40,9,2023-03-23,Inspector 5,Pass,Inspection notes for property 9,Gas Safety,1976-01-01,49,7,West Patch 1,650,Advisory,True,False,Medium
41,10,2021-12-28,Inspector 7,Fail,Inspection notes for property 10,Fire Safety,2017-01-01,8,2,North Patch 2,1100,Advisory,True,False,High
42,10,2024-08-20,Inspector 8,Fail,Inspection notes for property 10,Gas Safety,2017-01-01,8,2,North Patch 2,134,Advisory,True,False,Low
43,10,2022-07-26,Inspector 2,Fail,Inspection notes for property 10,Fire Safety,2017-01-01,8,2,North Patch 2,890,Pass,False,False,None
44,11,2024-05-30,Inspector 8,Needs Attention,Inspection notes for property 11,Water Hygiene,2000-01-01,25,3,East Patch 1,216,Pass,False,False,None
45,11,2024-12-23,Inspector 2,Fail,Inspection notes for property 11,Fire Safety,2000-01-01,25,3,East Patch 1,9,Fail,True,True,High
46,11,2024-11-16,Inspector 9,Needs Attention,Inspection notes for property 11,Electrical,2000-01-01,25,3,East Patch 1,46,Advisory,True,False,Medium
47,11,2020-12-06,Inspector 2,Needs Attention,Inspection notes for property 11,Gas Safety,2000-01-01,25,3,East Patch 1,1487,Pass,False,False,None
48,12,2022-03-24,Inspector 9,Pass,Inspection notes for property 12,Gas Safety,2000-01-01,25,7,West Patch 1,1014,Pass,False,False,None
49,12,2021-04-24,Inspector 8,Fail,Inspection notes for property 12,Gas Safety,2000-01-01,25,7,West Patch 1,1348,Pass,False,False,None
50,12,2020-06-13,Inspector 1,Pass,Inspection notes for property 12,Fire Safety,2000-01-01,25,7,West Patch 1,1663,Fail,True,True,Medium
51,12,2023-03-21,Inspector 9,Needs Attention,Inspection notes for property 12,Water Hygiene,2000-01-01,25,7,West Patch 1,652,Pass,False,False,None
52,13,2021-01-22,Inspector 6,Needs Attention,Inspection notes for property 13,General HHSRS,2000-01-01,25,3,East Patch 1,1440,Pass,False,False,None
53,13,2024-09-06,Inspector 2,Needs Attention,Inspection notes for property 13,Water Hygiene,2000-01-01,25,3,East Patch 1,117,Pass,False,False,None
54,13,2025-01-24,Inspector 6,Fail,Inspection notes for property 13,General HHSRS,2000-01-01,25,3,East Patch 1,-23,Pass,False,False,None
55,13,2020-04-08,Inspector 5,Needs Attention,Inspection notes for property 13,Electrical,2000-01-01,25,3,East Patch 1,1729,Advisory,True,False,Medium
56,13,2022-12-25,Inspector 2,Pass,Inspection notes for property 13,Water Hygiene,2000-01-01,25,3,East Patch 1,738,Pass,False,False,None
57,14,2024-04-16,Inspector 7,Pass,Inspection notes for property 14,Fire Safety,1976-01-01,49,3,East Patch 1,260,Advisory,True,False,Low
58,14,2021-08-26,Inspector 4,Pass,Inspection notes for property 14,Fire Safety,1976-01-01,49,3,East Patch 1,1224,Fail,True,False,Medium
59,14,2020-04-19,Inspector 7,Pass,Inspection notes for property 14,Fire Safety,1976-01-01,49,3,East Patch 1,1718,Pass,False,False,None
60,14,2020-06-15,Inspector 4,Needs Attention,Inspection notes for property 14,Gas Safety,1976-01-01,49,3,East Patch 1,1661,Pass,False,False,None
61,14,2024-06-22,Inspector 7,Pass,Inspection notes for property 14,Gas Safety,1976-01-01,49,3,East Patch 1,193,Pass,False,False,None
62,15,2024-05-21,Inspector 8,Fail,Inspection notes for property 15,Fire Safety,1988-01-01,37,8,West Patch 2,225,Advisory,True,False,Low
63,15,2021-10-10,Inspector 9,Pass,Inspection notes for property 15,General HHSRS,1988-01-01,37,8,West Patch 2,1179,Pass,False,False,None
64,15,2025-01-20,Inspector 9,Needs Attention,Inspection notes for property 15,Gas Safety,1988-01-01,37,8,West Patch 2,-19,Pass,False,False,None
65,15,2021-12-22,Inspector 7,Needs Attention,Inspection notes for property 15,Fire Safety,1988-01-01,37,8,West Patch 2,1106,Advisory,True,False,High
66,15,2022-03-24,Inspector 3,Needs Attention,Inspection notes for property 15,Gas Safety,1988-01-01,37,8,West Patch 2,1014,Pass,False,False,None
67,15,2024-08-02,Inspector 3,Pass,Inspection notes for property 15,Fire Safety,1988-01-01,37,8,West Patch 2,152,Fail,True,True,Medium
68,16,2021-05-09,Inspector 6,Needs Attention,Inspection notes for property 16,General HHSRS,2010-01-01,15,5,South Patch 1,1333,Pass,False,False,None
69,16,2022-09-24,Inspector 10,Needs Attention,Inspection notes for property 16,Fire Safety,2010-01-01,15,5,South Patch 1,830,Pass,False,False,None
70,16,2023-07-18,Inspector 7,Fail,Inspection notes for property 16,Water Hygiene,2010-01-01,15,5,South Patch 1,533,Pass,False,False,None
71,16,2022-07-16,Inspector 3,Pass,Inspection notes for property 16,General HHSRS,2010-01-01,15,5,South Patch 1,900,Advisory,True,False,Medium
72,16,2021-09-13,Inspector 9,Fail,Inspection notes for property 16,Fire Safety,2010-01-01,15,5,South Patch 1,1206,Pass,False,False,None
73,16,2022-03-01,Inspector 6,Needs Attention,Inspection notes for property 16,Fire Safety,2010-01-01,15,5,South Patch 1,1037,Advisory,True,False,Medium
74,17,2021-07-13,Inspector 4,Pass,Inspection notes for property 17,General HHSRS,2001-01-01,24,4,East Patch 2,1268,Fail,True,True,High
75,17,2021-07-30,Inspector 5,Needs Attention,Inspection notes for property 17,Electrical,2001-01-01,24,4,East Patch 2,1251,Pass,False,False,None
76,17,2021-04-22,Inspector 3,Needs Attention,Inspection notes for property 17,Electrical,2001-01-01,24,4,East Patch 2,1350,Fail,True,False,Medium
77,17,2024-01-30,Inspector 9,Needs Attention,Inspection notes for property 17,General HHSRS,2001-01-01,24,4,East Patch 2,337,Pass,False,False,None
78,17,2021-04-07,Inspector 6,Needs Attention,Inspection notes for property 17,Fire Safety,2001-01-01,24,4,East Patch 2,1365,Pass,False,False,None
79,17,2020-10-23,Inspector 6,Needs Attention,Inspection notes for property 17,Gas Safety,2001-01-01,24,4,East Patch 2,1531,Pass,False,False,None
80,18,2021-11-17,Inspector 7,Needs Attention,Inspection notes for property 18,Fire Safety,2010-01-01,15,8,West Patch 2,1141,Advisory,True,False,Low
81,18,2020-11-05,Inspector 9,Fail,Inspection notes for property 18,General HHSRS,2010-01-01,15,8,West Patch 2,1518,Pass,False,False,None
82,18,2020-07-18,Inspector 1,Needs Attention,Inspection notes for property 18,Electrical,2010-01-01,15,8,West Patch 2,1628,Pass,False,False,None
83,18,2024-08-12,Inspector 7,Pass,Inspection notes for property 18,Gas Safety,2010-01-01,15,8,West Patch 2,142,Pass,False,False,None
84,18,2021-04-27,Inspector 1,Pass,Inspection notes for property 18,Fire Safety,2010-01-01,15,8,West Patch 2,1345,Pass,False,False,None
85,18,2020-11-14,Inspector 3,Fail,Inspection notes for property 18,Gas Safety,2010-01-01,15,8,West Patch 2,1509,Pass,False,False,None
86,19,2024-04-04,Inspector 1,Needs Attention,Inspection notes for property 19,Gas Safety,1927-01-01,98,8,West Patch 2,272,Advisory,True,False,High
87,19,2023-08-12,Inspector 9,Pass,Inspection notes for property 19,Electrical,1927-01-01,98,8,West Patch 2,508,Advisory,True,False,High
88,19,2020-06-07,Inspector 8,Pass,Inspection notes for property 19,Electrical,1927-01-01,98,8,West Patch 2,1669,Pass,False,False,None
89,19,2020-03-18,Inspector 9,Pass,Inspection notes for property 19,General HHSRS,1927-01-01,98,8,West Patch 2,1750,Fail,True,True,High
90,20,2022-11-24,Inspector 4,Needs Attention,Inspection notes for property 20,Gas Safety,1945-01-01,80,3,East Patch 1,769,Pass,False,False,None
91,20,2023-06-19,Inspector 1,Fail,Inspection notes for property 20,Fire Safety,1945-01-01,80,3,East Patch 1,562,Fail,True,False,High
92,20,2022-09-28,Inspector 6,Needs Attention,Inspection notes for property 20,Electrical,1945-01-01,80,3,East Patch 1,826,Pass,False,False,None
93,20,2025-02-01,Inspector 5,Pass,Inspection notes for property 20,General HHSRS,1945-01-01,80,3,East Patch 1,-31,Pass,False,False,None
94,20,2020-03-16,Inspector 8,Pass,Inspection notes for property 20,Electrical,1945-01-01,80,3,East Patch 1,1752,Pass,False,False,None
95,20,2021-02-15,Inspector 6,Needs Attention,Inspection notes for property 20,General HHSRS,1945-01-01,80,3,East Patch 1,1416,Advisory,True,False,High
96,21,2023-12-23,Inspector 4,Fail,Inspection notes for property 21,Gas Safety,1988-01-01,37,6,South Patch 2,375,Pass,False,False,None
97,21,2024-01-31,Inspector 2,Pass,Inspection notes for property 21,Gas Safety,1988-01-01,37,6,South Patch 2,336,Pass,False,False,None
98,21,2020-12-15,Inspector 9,Pass,Inspection notes for property 21,Gas Safety,1988-01-01,37,6,South Patch 2,1478,Pass,False,False,None
99,21,2024-06-11,Inspector 7,Fail,Inspection notes for property 21,Fire Safety,1988-01-01,37,6,South Patch 2,204,Pass,False,False,None
100,21,2023-06-08,Inspector 3,Pass,Inspection notes for property 21,Fire Safety,1988-01-01,37,6,South Patch 2,573,Pass,False,False,None
101,21,2020-02-05,Inspector 5,Pass,Inspection notes for property 21,Fire Safety,1988-01-01,37,6,South Patch 2,1792,Advisory,True,False,Low
102,22,2021-05-02,Inspector 3,Pass,Inspection notes for property 22,Electrical,2010-01-01,15,5,South Patch 1,1340,Advisory,True,False,High
103,22,2023-09-04,Inspector 10,Pass,Inspection notes for property 22,Gas Safety,2010-01-01,15,5,South Patch 1,485,Pass,False,False,None
104,22,2021-08-17,Inspector 5,Fail,Inspection notes for property 22,Gas Safety,2010-01-01,15,5,South Patch 1,1233,Advisory,True,False,Medium
105,22,2021-12-29,Inspector 6,Pass,Inspection notes for property 22,Water Hygiene,2010-01-01,15,5,South Patch 1,1099,Pass,False,False,None
106,22,2023-04-19,Inspector 9,Pass,Inspection notes for property 22,Fire Safety,2010-01-01,15,5,South Patch 1,623,Advisory,True,False,High
107,23,2024-11-09,Inspector 9,Pass,Inspection notes for property 23,Gas Safety,2010-01-01,15,2,North Patch 2,53,Advisory,True,False,High
108,23,2022-12-01,Inspector 9,Fail,Inspection notes for property 23,General HHSRS,2010-01-01,15,2,North Patch 2,762,Pass,False,False,None
109,23,2023-02-13,Inspector 4,Pass,Inspection notes for property 23,Fire Safety,2010-01-01,15,2,North Patch 2,688,Advisory,True,False,High
110,23,2023-03-21,Inspector 6,Fail,Inspection notes for property 23,Fire Safety,2010-01-01,15,2,North Patch 2,652,Pass,False,False,None
111,23,2023-08-11,Inspector 10,Needs Attention,Inspection notes for property 23,Fire Safety,2010-01-01,15,2,North Patch 2,509,Pass,False,False,None
112,23,2021-06-12,Inspector 1,Pass,Inspection notes for property 23,Fire Safety,2010-01-01,15,2,North Patch 2,1299,Advisory,True,False,High
113,24,2022-07-31,Inspector 4,Needs Attention,Inspection notes for property 24,Water Hygiene,2000-01-01,25,8,West Patch 2,885,Pass,False,False,None
114,24,2021-05-08,Inspector 4,Pass,Inspection notes for property 24,General HHSRS,2000-01-01,25,8,West Patch 2,1334,Pass,False,False,None
115,24,2023-12-04,Inspector 7,Pass,Inspection notes for property 24,Electrical,2000-01-01,25,8,West Patch 2,394,Pass,False,False,None
116,24,2023-08-22,Inspector 9,Needs Attention,Inspection notes for property 24,General HHSRS,2000-01-01,25,8,West Patch 2,498,Advisory,True,False,High
117,25,2022-07-03,Inspector 6,Needs Attention,Inspection notes for property 25,General HHSRS,2001-01-01,24,4,East Patch 2,913,Pass,False,False,None
118,25,2022-07-31,Inspector 8,Pass,Inspection notes for property 25,Fire Safety,2001-01-01,24,4,East Patch 2,885,Pass,False,False,None
119,26,2023-04-13,Inspector 9,Pass,Inspection notes for property 26,General HHSRS,1947-01-01,78,6,South Patch 2,629,Advisory,True,False,Low
120,26,2024-02-21,Inspector 9,Needs Attention,Inspection notes for property 26,Gas Safety,1947-01-01,78,6,South Patch 2,315,Advisory,True,False,Low
121,26,2021-07-25,Inspector 2,Pass,Inspection notes for property 26,General HHSRS,1947-01-01,78,6,South Patch 2,1256,Pass,False,False,None
122,27,2020-03-24,Inspector 7,Pass,Inspection notes for property 27,General HHSRS,1922-01-01,103,6,South Patch 2,1744,Pass,False,False,None
123,27,2022-01-23,Inspector 7,Needs Attention,Inspection notes for property 27,Gas Safety,1922-01-01,103,6,South Patch 2,1074,Pass,False,False,None
124,27,2020-11-21,Inspector 3,Pass,Inspection notes for property 27,Fire Safety,1922-01-01,103,6,South Patch 2,1502,Pass,False,False,None
125,28,2024-12-11,Inspector 2,Pass,Inspection notes for property 28,Fire Safety,1945-01-01,80,2,North Patch 2,21,Pass,False,False,None
126,28,2024-01-30,Inspector 5,Needs Attention,Inspection notes for property 28,Gas Safety,1945-01-01,80,2,North Patch 2,337,Advisory,True,False,High
127,28,2021-08-11,Inspector 4,Fail,Inspection notes for property 28,General HHSRS,1945-01-01,80,2,North Patch 2,1239,Pass,False,False,None
128,28,2022-11-26,Inspector 8,Needs Attention,Inspection notes for property 28,General HHSRS,1945-01-01,80,2,North Patch 2,767,Pass,False,False,None
129,29,2023-04-22,Inspector 1,Fail,Inspection notes for property 29,Fire Safety,2010-01-01,15,8,West Patch 2,620,Pass,False,False,None
130,29,2024-05-31,Inspector 9,Pass,Inspection notes for property 29,Gas Safety,2010-01-01,15,8,West Patch 2,215,Advisory,True,False,Low
131,29,2021-01-14,Inspector 10,Pass,Inspection notes for property 29,Gas Safety,2010-01-01,15,8,West Patch 2,1448,Pass,False,False,None
132,29,2021-10-17,Inspector 1,Needs Attention,Inspection notes for property 29,Fire Safety,2010-01-01,15,8,West Patch 2,1172,Fail,True,False,Medium
133,29,2023-01-27,Inspector 9,Pass,Inspection notes for property 29,Fire Safety,2010-01-01,15,8,West Patch 2,705,Pass,False,False,None
134,30,2021-04-09,Inspector 2,Fail,Inspection notes for property 30,Gas Safety,1974-01-01,51,4,East Patch 2,1363,Pass,False,False,None
135,30,2022-09-12,Inspector 7,Needs Attention,Inspection notes for property 30,Water Hygiene,1974-01-01,51,4,East Patch 2,842,Pass,False,False,None
136,30,2022-03-06,Inspector 3,Needs Attention,Inspection notes for property 30,Gas Safety,1974-01-01,51,4,East Patch 2,1032,Pass,False,False,None
137,30,2024-04-24,Inspector 7,Needs Attention,Inspection notes for property 30,Gas Safety,1974-01-01,51,4,East Patch 2,252,Pass,False,False,None
138,31,2023-05-29,Inspector 6,Pass,Inspection notes for property 31,Electrical,2017-01-01,8,5,South Patch 1,583,Pass,False,False,None
139,31,2020-04-03,Inspector 9,Pass,Inspection notes for property 31,Gas Safety,2017-01-01,8,5,South Patch 1,1734,Pass,False,False,None
140,31,2024-04-11,Inspector 1,Needs Attention,Inspection notes for property 31,Water Hygiene,2017-01-01,8,5,South Patch 1,265,Advisory,True,False,High
141,32,2022-01-24,Inspector 9,Pass,Inspection notes for property 32,Water Hygiene,1922-01-01,103,1,North Patch 1,1073,Pass,False,False,None
142,32,2023-11-25,Inspector 6,Pass,Inspection notes for property 32,Fire Safety,1922-01-01,103,1,North Patch 1,403,Advisory,True,False,Medium
143,32,2021-06-16,Inspector 9,Pass,Inspection notes for property 32,Gas Safety,1922-01-01,103,1,North Patch 1,1295,Pass,False,False,None
144,32,2024-01-18,Inspector 4,Needs Attention,Inspection notes for property 32,Gas Safety,1922-01-01,103,1,North Patch 1,349,Pass,False,False,None
145,32,2023-12-28,Inspector 2,Pass,Inspection notes for property 32,Fire Safety,1922-01-01,103,1,North Patch 1,370,Pass,False,False,None
146,33,2020-04-19,Inspector 1,Needs Attention,Inspection notes for property 33,Fire Safety,2002-01-01,23,4,East Patch 2,1718,Pass,False,False,None
147,33,2021-06-18,Inspector 9,Pass,Inspection notes for property 33,Electrical,2002-01-01,23,4,East Patch 2,1293,Pass,False,False,None
148,33,2021-04-24,Inspector 2,Fail,Inspection notes for property 33,Gas Safety,2002-01-01,23,4,East Patch 2,1348,Pass,False,False,None
149,33,2023-12-21,Inspector 10,Fail,Inspection notes for property 33,Fire Safety,2002-01-01,23,4,East Patch 2,377,Pass,False,False,None
150,33,2023-01-28,Inspector 3,Needs Attention,Inspection notes for property 33,Fire Safety,2002-01-01,23,4,East Patch 2,704,Pass,False,False,None
151,33,2023-06-10,Inspector 2,Fail,Inspection notes for property 33,Water Hygiene,2002-01-01,23,4,East Patch 2,571,Pass,False,False,None
152,34,2023-12-29,Inspector 6,Fail,Inspection notes for property 34,Fire Safety,1978-01-01,47,2,North Patch 2,369,Fail,True,True,Medium
153,34,2023-03-28,Inspector 10,Needs Attention,Inspection notes for property 34,Fire Safety,1978-01-01,47,2,North Patch 2,645,Advisory,True,False,High
154,35,2024-03-22,Inspector 10,Needs Attention,Inspection notes for property 35,Gas Safety,2010-01-01,15,6,South Patch 2,285,Advisory,True,False,Medium
155,35,2020-07-19,Inspector 6,Fail,Inspection notes for property 35,Water Hygiene,2010-01-01,15,6,South Patch 2,1627,Advisory,True,False,Medium
156,35,2025-01-19,Inspector 6,Pass,Inspection notes for property 35,Fire Safety,2010-01-01,15,6,South Patch 2,-18,Pass,False,False,None
157,35,2021-01-31,Inspector 7,Fail,Inspection notes for property 35,Electrical,2010-01-01,15,6,South Patch 2,1431,Pass,False,False,None
158,35,2024-04-28,Inspector 6,Fail,Inspection notes for property 35,General HHSRS,2010-01-01,15,6,South Patch 2,248,Fail,True,False,Medium
159,35,2022-07-31,Inspector 6,Fail,Inspection notes for property 35,Fire Safety,2010-01-01,15,6,South Patch 2,885,Pass,False,False,None
160,36,2024-06-20,Inspector 3,Needs Attention,Inspection notes for property 36,Electrical,1988-01-01,37,5,South Patch 1,195,Pass,False,False,None
161,36,2024-08-14,Inspector 5,Pass,Inspection notes for property 36,Gas Safety,1988-01-01,37,5,South Patch 1,140,Pass,False,False,None
162,36,2023-12-23,Inspector 5,Needs Attention,Inspection notes for property 36,Electrical,1988-01-01,37,5,South Patch 1,375,Pass,False,False,None
163,36,2024-08-25,Inspector 2,Pass,Inspection notes for property 36,Electrical,1988-01-01,37,5,South Patch 1,129,Pass,False,False,None
164,36,2021-07-15,Inspector 1,Needs Attention,Inspection notes for property 36,Gas Safety,1988-01-01,37,5,South Patch 1,1266,Advisory,True,False,High
165,36,2022-10-22,Inspector 10,Pass,Inspection notes for property 36,Fire Safety,1988-01-01,37,5,South Patch 1,802,Pass,False,False,None
166,37,2023-08-14,Inspector 9,Needs Attention,Inspection notes for property 37,General HHSRS,1945-01-01,80,4,East Patch 2,506,Pass,False,False,None
167,37,2021-05-30,Inspector 3,Fail,Inspection notes for property 37,Gas Safety,1945-01-01,80,4,East Patch 2,1312,Fail,True,True,High
168,37,2023-10-29,Inspector 10,Needs Attention,Inspection notes for property 37,Fire Safety,1945-01-01,80,4,East Patch 2,430,Pass,False,False,None
169,37,2024-04-29,Inspector 8,Needs Attention,Inspection notes for property 37,Fire Safety,1945-01-01,80,4,East Patch 2,247,Pass,False,False,None
170,37,2024-07-27,Inspector 7,Fail,Inspection notes for property 37,Electrical,1945-01-01,80,4,East Patch 2,158,Pass,False,False,None
171,37,2025-07-01,Inspector 4,Needs Attention,Inspection notes for property 37,Electrical,1945-01-01,80,4,East Patch 2,-181,Advisory,True,False,Medium
172,38,2020-10-31,Inspector 9,Pass,Inspection notes for property 38,Fire Safety,2000-01-01,25,1,North Patch 1,1523,Fail,True,True,High
173,38,2024-08-03,Inspector 3,Needs Attention,Inspection notes for property 38,Gas Safety,2000-01-01,25,1,North Patch 1,151,Pass,False,False,None
174,38,2021-05-19,Inspector 3,Needs Attention,Inspection notes for property 38,Fire Safety,2000-01-01,25,1,North Patch 1,1323,Advisory,True,False,High
175,39,2023-01-25,Inspector 1,Pass,Inspection notes for property 39,Electrical,1974-01-01,51,1,North Patch 1,707,Pass,False,False,None
176,39,2023-12-10,Inspector 2,Fail,Inspection notes for property 39,Fire Safety,1974-01-01,51,1,North Patch 1,388,Fail,True,True,Medium
177,39,2023-07-10,Inspector 1,Needs Attention,Inspection notes for property 39,Electrical,1974-01-01,51,1,North Patch 1,541,Advisory,True,False,High
178,39,2022-05-03,Inspector 6,Fail,Inspection notes for property 39,Gas Safety,1974-01-01,51,1,North Patch 1,974,Advisory,True,False,Low
179,39,2022-12-07,Inspector 1,Pass,Inspection notes for property 39,Water Hygiene,1974-01-01,51,1,North Patch 1,756,Pass,False,False,None
180,40,2024-01-07,Inspector 9,Needs Attention,Inspection notes for property 40,Fire Safety,1947-01-01,78,3,East Patch 1,360,Fail,True,True,High
181,40,2020-05-25,Inspector 5,Needs Attention,Inspection notes for property 40,Gas Safety,1947-01-01,78,3,East Patch 1,1682,Advisory,True,False,Low
182,40,2021-11-18,Inspector 3,Fail,Inspection notes for property 40,Fire Safety,1947-01-01,78,3,East Patch 1,1140,Pass,False,False,None
183,40,2022-12-15,Inspector 6,Needs Attention,Inspection notes for property 40,Water Hygiene,1947-01-01,78,3,East Patch 1,748,Advisory,True,False,Medium
184,41,2022-07-03,Inspector 5,Fail,Inspection notes for property 41,General HHSRS,1922-01-01,103,3,East Patch 1,913,Pass,False,False,None
185,41,2022-08-03,Inspector 7,Fail,Inspection notes for property 41,Fire Safety,1922-01-01,103,3,East Patch 1,882,Advisory,True,False,High
186,42,2020-08-19,Inspector 8,Needs Attention,Inspection notes for property 42,Electrical,1959-01-01,66,7,West Patch 1,1596,Pass,False,False,None
187,42,2022-07-04,Inspector 3,Fail,Inspection notes for property 42,General HHSRS,1959-01-01,66,7,West Patch 1,912,Advisory,True,False,Medium
188,42,2023-10-15,Inspector 2,Needs Attention,Inspection notes for property 42,Electrical,1959-01-01,66,7,West Patch 1,444,Pass,False,False,None
189,42,2023-03-07,Inspector 4,Pass,Inspection notes for property 42,Gas Safety,1959-01-01,66,7,West Patch 1,666,Pass,False,False,None
190,42,2024-12-03,Inspector 6,Needs Attention,Inspection notes for property 42,Fire Safety,1959-01-01,66,7,West Patch 1,29,Pass,False,False,None
191,43,2021-05-16,Inspector 4,Fail,Inspection notes for property 43,Fire Safety,1978-01-01,47,2,North Patch 2,1326,Pass,False,False,None
