request_id,propertyid,tenantid,datereported,dateresolved,cost,status,description,category,property_age_years,propertytype,blockid,estateid,simulated_repair_type,simulated_cost,request_date,completion_date,patch_id
143,411,54,2024-04-07,2024-07-18,783.42,Closed,Repair description for property 411,Structural,47,Flat,19.0,,Structural,1877.14,2021-11-02,2021-12-09,3
144,411,54,2024-07-07,2024-07-20,104.55,Closed,Repair description for property 411,Structural,47,Flat,19.0,,Structural,717.47,2022-05-10,2022-06-21,3
145,411,54,2025-09-02,2025-10-03,3303.1,Closed,Repair description for property 411,Appliance,47,Flat,19.0,,Plumbing,137.61,2020-02-12,2020-03-18,3
146,194,55,2024-08-29,,,In Progress,Repair description for property 194,Appliance,51,Flat,4.0,2.0,Structural,1431.72,2020-09-10,2020-12-06,7
147,56,56,2025-02-22,,,In Progress,Repair description for property 56,Other,57,Flat,3.0,1.0,Windows,355.85,2020-05-09,2020-05-15,4
148,56,56,2024-06-14,2024-07-13,3545.81,Closed,Repair description for property 56,Appliance,57,Flat,3.0,1.0,Structural,2308.55,2020-02-29,2020-05-07,4
149,56,56,2024-09-06,2024-06-30,799.44,Closed,Repair description for property 56,Other,57,Flat,3.0,1.0,Plumbing,154.22,2021-10-24,2021-11-11,4
150,149,57,2024-06-07,,,Open,Repair description for property 149,Structural,37,Block of Flats,13.0,8.0,General,48.92,2021-04-11,2021-06-23,1
151,149,57,2024-03-26,2024-08-04,387.64,Closed,Repair description for property 149,Appliance,37,Block of Flats,13.0,8.0,Plumbing,101.83,2020-10-13,2020-11-11,1
152,149,57,2024-08-18,,,Open,Repair description for property 149,Other,37,Block of Flats,13.0,8.0,Windows,609.96,2021-05-31,2021-08-16,1
153,19,58,2024-03-26,2024-03-31,3503.96,Closed,Repair description for property 19,Other,98,Flat,7.0,4.0,Roofing,391.36,2021-04-11,2021-06-09,8
154,19,58,2024-05-05,2024-05-25,4157.94,Closed,Repair description for property 19,Plumbing,98,Flat,7.0,4.0,Roofing,1321.45,2022-07-18,2022-09-03,8
155,19,58,2025-03-02,2025-02-27,837.94,Closed,Repair description for property 19,Plumbing,98,Flat,7.0,4.0,Electrical,124.27,2022-02-16,2022-03-05,8
156,19,58,2024-03-23,2024-04-22,3412.65,Closed,Repair description for property 19,Structural,98,Flat,7.0,4.0,Structural,1701.47,2020-12-10,2021-01-01,8
157,19,58,2024-10-31,,,Open,Repair description for property 19,Plumbing,98,Flat,7.0,4.0,Electrical,138.86,2021-10-03,2021-12-10,8
158,205,59,2024-08-14,,,In Progress,Repair description for property 205,Plumbing,98,Flat,7.0,4.0,Damp,850.98,2021-01-16,2021-03-26,4
159,205,59,2025-01-26,2025-01-30,235.22,Closed,Repair description for property 205,Plumbing,98,Flat,7.0,4.0,Damp,445.64,2022-02-17,2022-03-26,4
160,79,60,2024-08-19,2024-09-15,195.82,Closed,Repair description for property 79,Electrical,47,Flat,16.0,9.0,Windows,606.81,2021-11-20,2022-01-08,7
161,79,60,2024-09-15,2024-09-30,1919.26,Closed,Repair description for property 79,Other,47,Flat,16.0,9.0,Windows,539.44,2020-09-09,2020-09-22,7
162,79,60,2024-05-18,2024-05-27,2480.96,Closed,Repair description for property 79,Structural,47,Flat,16.0,9.0,Windows,360.22,2022-07-15,2022-08-18,7
163,79,60,2024-03-11,2024-09-11,2198.61,Closed,Repair description for property 79,Other,47,Flat,16.0,9.0,Plumbing,226.94,2020-02-25,2020-05-21,7
164,495,61,2025-01-13,2025-03-02,4801.17,Closed,Repair description for property 495,Plumbing,73,Flat,,,Roofing,1256.91,2021-04-07,2021-05-30,5
165,495,61,2024-11-14,2024-11-19,4471.79,Closed,Repair description for property 495,Structural,73,Flat,,,Damp,709.68,2021-04-01,2021-06-27,5
166,263,62,2024-12-05,2024-05-15,1736.52,Closed,Repair description for property 263,Other,47,House,19.0,,Roofing,1320.7,2022-09-09,2022-10-30,5
167,263,62,2024-06-17,2024-06-24,2873.33,Closed,Repair description for property 263,Appliance,47,House,19.0,,Roofing,1340.75,2020-03-23,2020-03-26,5
168,263,62,2024-06-15,2024-05-07,4503.79,Closed,Repair description for property 263,Electrical,47,House,19.0,,Roofing,1150.04,2022-06-23,2022-08-04,5
169,263,62,2025-01-23,2025-02-13,1911.79,Closed,Repair description for property 263,Plumbing,47,House,19.0,,Roofing,1304.42,2020-04-08,2020-05-10,5
170,324,63,2025-01-17,2025-03-02,1526.22,Closed,Repair description for property 324,Plumbing,47,Flat,19.0,,Plumbing,192.52,2020-05-28,2020-07-18,2
171,324,63,2024-06-16,2024-06-07,2725.66,Closed,Repair description for property 324,Plumbing,47,Flat,19.0,,Roofing,1116.17,2020-11-24,2021-02-17,2
172,324,63,2024-04-11,,,In Progress,Repair description for property 324,Structural,47,Flat,19.0,,Windows,571.17,2020-06-04,2020-07-20,2
173,324,63,2024-11-08,,,Open,Repair description for property 324,Electrical,47,Flat,19.0,,Structural,2381.79,2020-07-08,2020-07-29,2
174,324,63,2024-02-10,2024-10-21,1244.92,Closed,Repair description for property 324,Other,47,Flat,19.0,,Roofing,490.33,2021-05-08,2021-06-21,2
175,484,64,2024-06-15,2024-05-07,330.41,Closed,Repair description for property 484,Plumbing,73,Flat,,,Heating,364.26,2022-06-01,2022-06-12,6
176,484,64,2024-04-05,2024-03-06,4925.42,Closed,Repair description for property 484,Plumbing,73,Flat,,,Heating,361.55,2020-09-19,2020-11-26,6
177,484,64,2025-10-02,2025-02-19,1042.53,Closed,Repair description for property 484,Plumbing,73,Flat,,,Structural,573.12,2020-03-20,2020-03-21,6
178,484,64,2024-12-17,2025-01-13,3682.67,Closed,Repair description for property 484,Plumbing,73,Flat,,,Electrical,173.87,2021-02-03,2021-04-07,6
179,484,64,2024-10-29,2024-11-24,4742.59,Closed,Repair description for property 484,Other,73,Flat,,,Structural,822.17,2022-02-02,2022-02-26,6
180,80,65,2024-02-09,,,In Progress,Repair description for property 80,Other,103,Flat,9.0,5.0,Heating,200.54,2021-08-31,2021-09-13,4
181,40,66,2025-01-16,,,In Progress,Repair description for property 40,Electrical,78,Flat,5.0,3.0,Roofing,1192.21,2020-09-16,2020-09-27,3
182,40,66,2024-11-10,,,Open,Repair description for property 40,Plumbing,78,Flat,5.0,3.0,Damp,286.65,2022-02-10,2022-04-02,3
