request_id,tenantid,propertyid,patch_id,request_type,description,request_date,status,resolution_date,property_age_years,propertytype,blockid,simulated_request_type
20,7,378,1,Electrical,Repair description for property 378,2022-09-04,Closed,2024-04-23,29,Flat,20.0,Windows
21,8,125,5,Electrical,Repair description for property 125,2021-03-31,Closed,2024-08-31,78,Block of Flats,5.0,Roofing
22,8,125,5,Structural,Repair description for property 125,2022-01-12,Closed,2024-11-29,78,Block of Flats,5.0,Electrical
23,9,69,4,Other,Repair description for property 69,2022-03-10,Closed,2024-06-28,78,Flat,5.0,Damp
24,9,69,4,Appliance,Repair description for property 69,2020-06-09,Closed,2024-04-23,78,Flat,5.0,Structural
25,9,69,4,Structural,Repair description for property 69,2022-02-22,Open,,78,Flat,5.0,Structural
26,10,451,6,Appliance,Repair description for property 451,2021-04-04,Closed,2024-12-16,73,Flat,,Heating
27,10,451,6,Electrical,Repair description for property 451,2021-07-03,Closed,2025-01-30,73,Flat,,Heating
28,11,10,2,Structural,Repair description for property 10,2021-05-14,Closed,2024-07-07,8,Flat,6.0,General
29,11,10,2,Electrical,Repair description for property 10,2022-01-07,Closed,2024-06-10,8,Flat,6.0,General
30,12,195,7,Appliance,Repair description for property 195,2021-05-23,Closed,2024-09-20,66,House,1.0,Damp
31,12,195,7,Other,Repair description for property 195,2021-10-15,In Progress,,66,House,1.0,Damp
32,12,195,7,Other,Repair description for property 195,2022-03-14,Closed,2024-08-28,66,House,1.0,Heating
33,12,195,7,Structural,Repair description for property 195,2021-04-25,Closed,2024-03-09,66,House,1.0,Damp
34,12,195,7,Electrical,Repair description for property 195,2021-10-24,In Progress,,66,House,1.0,Damp
35,13,407,6,Structural,Repair description for property 407,2020-04-23,Closed,2024-11-20,29,House,20.0,Windows
36,14,85,7,Electrical,Repair description for property 85,2022-01-18,Closed,2025-02-23,103,Flat,9.0,Structural
37,15,372,8,Other,Repair description for property 372,2021-07-31,Open,,47,Flat,19.0,Plumbing
38,15,372,8,Electrical,Repair description for property 372,2020-12-26,Closed,2025-02-13,47,Flat,19.0,Structural
39,15,372,8,Plumbing,Repair description for property 372,2020-12-06,Closed,2025-01-28,47,Flat,19.0,Plumbing
40,15,372,8,Appliance,Repair description for property 372,2022-02-08,In Progress,,47,Flat,19.0,Structural
41,16,389,1,Appliance,Repair description for property 389,2022-09-13,Closed,2024-09-18,47,Flat,18.0,Plumbing
42,16,389,1,Plumbing,Repair description for property 389,2022-01-30,In Progress,,47,Flat,18.0,Plumbing
43,16,389,1,Appliance,Repair description for property 389,2022-08-26,Closed,2025-01-14,47,Flat,18.0,Plumbing
44,17,496,7,Other,Repair description for property 496,2021-03-24,Closed,2024-08-05,73,House,,Structural
45,17,496,7,Electrical,Repair description for property 496,2022-04-22,In Progress,,73,House,,Damp
46,18,31,5,Structural,Repair description for property 31,2022-04-14,Open,,8,Flat,6.0,General
47,18,31,5,Appliance,Repair description for property 31,2020-06-28,Closed,2024-04-18,8,Flat,6.0,General
48,18,31,5,Plumbing,Repair description for property 31,2021-12-02,Closed,2024-10-20,8,Flat,6.0,General
49,18,31,5,Other,Repair description for property 31,2021-02-10,In Progress,,8,Flat,6.0,General
50,19,317,3,Plumbing,Repair description for property 317,2021-10-27,Closed,2024-08-24,29,Flat,20.0,Plumbing
51,20,409,4,Plumbing,Repair description for property 409,2020-07-14,Closed,2024-04-24,47,Flat,19.0,Structural
52,20,409,4,Appliance,Repair description for property 409,2021-04-10,Closed,2024-12-28,47,Flat,19.0,Heating
53,20,409,4,Structural,Repair description for property 409,2020-11-06,Closed,2024-10-11,47,Flat,19.0,Windows
54,21,491,8,Structural,Repair description for property 491,2020-09-18,Open,,73,Flat,,Damp
55,21,491,8,Structural,Repair description for property 491,2021-02-22,Closed,2025-02-14,73,Flat,,Damp
56,21,491,8,Electrical,Repair description for property 491,2021-02-09,Closed,2024-06-04,73,Flat,,Damp
57,21,491,8,Electrical,Repair description for property 491,2022-07-27,Closed,2024-12-22,73,Flat,,Electrical
58,21,491,8,Appliance,Repair description for property 491,2020-05-22,In Progress,,73,Flat,,Heating
59,22,492,5,Appliance,Repair description for property 492,2020-12-07,Closed,2024-06-23,73,House,,Structural
60,23,281,4,Electrical,Repair description for property 281,2020-11-11,In Progress,,29,Flat,20.0,Windows
61,23,281,4,Structural,Repair description for property 281,2020-04-10,Closed,2025-01-20,29,Flat,20.0,Plumbing
62,23,281,4,Electrical,Repair description for property 281,2020-08-31,Open,,29,Flat,20.0,Windows
63,24,357,2,Electrical,Repair description for property 357,2021-05-04,Open,,47,Flat,19.0,Windows
64,25,77,4,Appliance,Repair description for property 77,2020-01-12,Closed,2024-04-16,49,Flat,11.0,Structural
65,26,462,5,Other,Repair description for property 462,2020-08-26,Closed,2024-09-24,73,Flat,,Roofing
66,27,498,4,Other,Repair description for property 498,2021-07-14,Open,,73,House,,Damp
67,27,498,4,Structural,Repair description for property 498,2020-02-11,Open,,73,House,,Electrical
68,27,498,4,Appliance,Repair description for property 498,2021-11-08,Open,,73,House,,Roofing
69,28,212,7,Other,Repair description for property 212,2021-08-16,Closed,2025-01-28,80,Flat,12.0,Roofing
70,28,212,7,Plumbing,Repair description for property 212,2021-03-04,Closed,2024-04-16,80,Flat,12.0,Roofing
71,29,102,2,Structural,Repair description for property 102,2022-03-13,Open,,25,Flat,17.0,Plumbing
72,29,102,2,Structural,Repair description for property 102,2020-06-06,Closed,2025-01-03,25,Flat,17.0,Plumbing
73,30,335,6,Appliance,Repair description for property 335,2020-08-03,Closed,2024-04-06,74,House,21.0,Damp
74,31,476,8,Structural,Repair description for property 476,2021-10-31,Closed,2024-07-23,73,Block of Flats,,Damp
75,31,476,8,Appliance,Repair description for property 476,2021-04-06,Closed,2025-01-20,73,Block of Flats,,Structural
76,31,476,8,Structural,Repair description for property 476,2020-05-13,Closed,2024-02-12,73,Block of Flats,,Electrical
77,31,476,8,Plumbing,Repair description for property 476,2020-03-07,Closed,2024-06-17,73,Block of Flats,,Electrical
78,31,476,8,Plumbing,Repair description for property 476,2022-04-27,Closed,2024-06-04,73,Block of Flats,,Roofing
79,32,337,5,Structural,Repair description for property 337,2020-01-07,Closed,2024-11-05,29,House,20.0,General
80,33,441,1,Plumbing,Repair description for property 441,2022-08-05,Closed,2024-04-28,73,Flat,,Electrical
81,33,441,1,Appliance,Repair description for property 441,2021-06-09,In Progress,,73,Flat,,Roofing
82,34,174,4,Structural,Repair description for property 174,2020-03-13,In Progress,,49,Flat,11.0,Structural
83,34,174,4,Electrical,Repair description for property 174,2021-02-02,Closed,2024-03-26,49,Flat,11.0,Structural
84,35,3,5,Electrical,Repair description for property 3,2021-02-08,Closed,2024-03-29,80,Flat,10.0,Damp
85,35,3,5,Structural,Repair description for property 3,2021-11-05,Closed,2024-04-12,80,Flat,10.0,Damp
86,35,3,5,Appliance,Repair description for property 3,2021-07-31,Closed,2024-09-07,80,Flat,10.0,Electrical
87,35,3,5,Electrical,Repair description for property 3,2022-05-08,Closed,2024-09-17,80,Flat,10.0,Structural
88,35,3,5,Other,Repair description for property 3,2020-05-09,Open,,80,Flat,10.0,Electrical
89,36,334,3,Appliance,Repair description for property 334,2022-07-19,Closed,2024-07-15,47,Flat,19.0,Structural
90,36,334,3,Structural,Repair description for property 334,2021-04-10,Closed,2025-02-01,47,Flat,19.0,Roofing
91,36,334,3,Plumbing,Repair description for property 334,2020-07-24,Closed,2024-08-11,47,Flat,19.0,Roofing
92,37,410,6,Appliance,Repair description for property 410,2022-02-26,In Progress,,71,House,22.0,Structural
93,38,71,2,Appliance,Repair description for property 71,2022-09-04,In Progress,,15,House,2.0,Electrical
94,38,71,2,Structural,Repair description for property 71,2022-02-06,Closed,2024-10-21,15,House,2.0,General
95,38,71,2,Other,Repair description for property 71,2020-09-22,Closed,2024-03-17,15,House,2.0,General
96,38,71,2,Plumbing,Repair description for property 71,2021-06-20,Closed,2024-07-16,15,House,2.0,General
97,39,210,5,Structural,Repair description for property 210,2022-08-19,Open,,80,House,10.0,Structural
98,39,210,5,Appliance,Repair description for property 210,2022-03-03,Closed,2024-06-07,80,House,10.0,Heating
99,40,64,1,Appliance,Repair description for property 64,2020-09-09,Open,,66,Flat,1.0,Heating
100,40,64,1,Other,Repair description for property 64,2022-04-01,Closed,2024-04-14,66,Flat,1.0,Structural
101,40,64,1,Structural,Repair description for property 64,2020-10-15,Open,,66,Flat,1.0,Heating
102,41,385,5,Structural,Repair description for property 385,2020-06-12,Closed,2024-09-24,47,Flat,19.0,Structural
103,41,385,5,Structural,Repair description for property 385,2020-04-04,Closed,2024-10-10,47,Flat,19.0,Heating
104,41,385,5,Structural,Repair description for property 385,2022-02-20,Closed,2024-05-15,47,Flat,19.0,Heating
105,42,94,6,Electrical,Repair description for property 94,2022-04-12,In Progress,,25,Flat,17.0,Heating
106,42,94,6,Other,Repair description for property 94,2020-04-19,Closed,2024-07-20,25,Flat,17.0,Windows
107,42,94,6,Plumbing,Repair description for property 94,2020-12-01,Closed,2024-05-27,25,Flat,17.0,General
108,43,486,6,Other,Repair description for property 486,2022-04-01,Closed,2025-02-26,73,Flat,,Structural
109,43,486,6,Structural,Repair description for property 486,2020-08-25,Closed,2025-04-01,73,Flat,,Damp
110,43,486,6,Structural,Repair description for property 486,2021-01-15,Open,,73,Flat,,Roofing
111,44,186,5,Plumbing,Repair description for property 186,2021-03-11,Open,,37,House,13.0,Heating
112,44,186,5,Other,Repair description for property 186,2022-06-17,Closed,2024-04-11,37,House,13.0,Windows
113,45,34,2,Electrical,Repair description for property 34,2021-04-27,Closed,2024-10-17,47,Flat,16.0,Structural
114,46,78,4,Structural,Repair description for property 78,2022-07-25,Closed,2024-08-23,25,Flat,17.0,General
115,46,78,4,Structural,Repair description for property 78,2022-06-20,Closed,2024-01-10,25,Flat,17.0,Windows
116,46,78,4,Electrical,Repair description for property 78,2020-01-25,Closed,2024-05-31,25,Flat,17.0,Windows
117,46,78,4,Structural,Repair description for property 78,2021-10-14,Closed,2024-07-08,25,Flat,17.0,Plumbing
118,47,1,7,Appliance,Repair description for property 1,2020-04-26,Closed,2024-04-17,66,Flat,1.0,Heating
119,47,1,7,Other,Repair description for property 1,2021-04-26,Closed,2025-01-23,66,Flat,1.0,Heating
120,47,1,7,Structural,Repair description for property 1,2021-01-26,In Progress,,66,Flat,1.0,Structural
121,47,1,7,Other,Repair description for property 1,2022-07-05,Closed,2024-06-08,66,Flat,1.0,Heating
122,47,1,7,Plumbing,Repair description for property 1,2022-09-20,In Progress,,66,Flat,1.0,Electrical
123,48,12,7,Other,Repair description for property 12,2022-08-21,Open,,25,Flat,17.0,General
124,48,12,7,Other,Repair description for property 12,2021-06-20,Closed,2024-06-29,25,Flat,17.0,Plumbing
125,49,416,1,Electrical,Repair description for property 416,2020-03-19,In Progress,,74,House,21.0,Heating
126,49,416,1,Other,Repair description for property 416,2021-08-02,Closed,2024-08-19,74,House,21.0,Structural
127,49,416,1,Plumbing,Repair description for property 416,2020-06-21,Open,,74,House,21.0,Electrical
128,50,23,2,Structural,Repair description for property 23,2022-08-13,Closed,2024-04-20,15,Flat,2.0,Plumbing
129,50,23,2,Plumbing,Repair description for property 23,2020-01-12,Closed,2024-05-24,15,Flat,2.0,General
130,50,23,2,Electrical,Repair description for property 23,2022-03-10,Closed,2024-05-27,15,Flat,2.0,General
131,51,73,1,Electrical,Repair description for property 73,2020-05-07,Closed,2024-12-31,66,Flat,1.0,Heating
132,51,73,1,Plumbing,Repair description for property 73,2021-08-30,Closed,2024-10-19,66,Flat,1.0,Structural
133,51,73,1,Plumbing,Repair description for property 73,2020-04-01,Closed,2024-06-30,66,Flat,1.0,Roofing
134,51,73,1,Electrical,Repair description for property 73,2021-10-14,Closed,2024-12-14,66,Flat,1.0,Roofing
135,51,73,1,Appliance,Repair description for property 73,2021-06-26,Closed,2024-11-15,66,Flat,1.0,Damp
136,52,183,6,Appliance,Repair description for property 183,2022-04-25,In Progress,,80,Flat,12.0,Roofing
137,52,183,6,Other,Repair description for property 183,2021-06-15,Open,,80,Flat,12.0,Roofing
138,52,183,6,Other,Repair description for property 183,2021-10-19,In Progress,,80,Flat,12.0,Roofing
139,52,183,6,Electrical,Repair description for property 183,2022-09-15,Closed,2025-01-15,80,Flat,12.0,Roofing
140,53,132,5,Appliance,Repair description for property 132,2022-04-07,Closed,2024-12-24,37,Flat,13.0,Heating
141,53,132,5,Other,Repair description for property 132,2021-03-22,Closed,2024-07-18,37,Flat,13.0,Windows
142,54,411,3,Plumbing,Repair description for property 411,2021-01-24,Closed,2024-04-09,47,Flat,19.0,Windows
143,54,411,3,Structural,Repair description for property 411,2021-11-02,Closed,2024-07-18,47,Flat,19.0,Structural
144,54,411,3,Structural,Repair description for property 411,2022-05-10,Closed,2024-07-20,47,Flat,19.0,Structural
145,54,411,3,Appliance,Repair description for property 411,2020-02-12,Closed,2025-10-03,47,Flat,19.0,Plumbing
146,55,194,7,Appliance,Repair description for property 194,2020-09-10,In Progress,,51,Flat,4.0,Structural
147,56,56,4,Other,Repair description for property 56,2020-05-09,In Progress,,57,Flat,3.0,Windows
148,56,56,4,Appliance,Repair description for property 56,2020-02-29,Closed,2024-07-13,57,Flat,3.0,Structural
149,56,56,4,Other,Repair description for property 56,2021-10-24,Closed,2024-06-30,57,Flat,3.0,Plumbing
150,57,149,1,Structural,Repair description for property 149,2021-04-11,Open,,37,Block of Flats,13.0,General
151,57,149,1,Appliance,Repair description for property 149,2020-10-13,Closed,2024-08-04,37,Block of Flats,13.0,Plumbing
152,57,149,1,Other,Repair description for property 149,2021-05-31,Open,,37,Block of Flats,13.0,Windows
153,58,19,8,Other,Repair description for property 19,2021-04-11,Closed,2024-03-31,98,Flat,7.0,Roofing
154,58,19,8,Plumbing,Repair description for property 19,2022-07-18,Closed,2024-05-25,98,Flat,7.0,Roofing
155,58,19,8,Plumbing,Repair description for property 19,2022-02-16,Closed,2025-02-27,98,Flat,7.0,Electrical
156,58,19,8,Structural,Repair description for property 19,2020-12-10,Closed,2024-04-22,98,Flat,7.0,Structural
157,58,19,8,Plumbing,Repair description for property 19,2021-10-03,Open,,98,Flat,7.0,Electrical
158,59,205,4,Plumbing,Repair description for property 205,2021-01-16,In Progress,,98,Flat,7.0,Damp
159,59,205,4,Plumbing,Repair description for property 205,2022-02-17,Closed,2025-01-30,98,Flat,7.0,Damp
160,60,79,7,Electrical,Repair description for property 79,2021-11-20,Closed,2024-09-15,47,Flat,16.0,Windows
161,60,79,7,Other,Repair description for property 79,2020-09-09,Closed,2024-09-30,47,Flat,16.0,Windows
162,60,79,7,Structural,Repair description for property 79,2022-07-15,Closed,2024-05-27,47,Flat,16.0,Windows
163,60,79,7,Other,Repair description for property 79,2020-02-25,Closed,2024-09-11,47,Flat,16.0,Plumbing
164,61,495,5,Plumbing,Repair description for property 495,2021-04-07,Closed,2025-03-02,73,Flat,,Roofing
165,61,495,5,Structural,Repair description for property 495,2021-04-01,Closed,2024-11-19,73,Flat,,Damp
166,62,263,5,Other,Repair description for property 263,2022-09-09,Closed,2024-05-15,47,House,19.0,Roofing
167,62,263,5,Appliance,Repair description for property 263,2020-03-23,Closed,2024-06-24,47,House,19.0,Roofing
168,62,263,5,Electrical,Repair description for property 263,2022-06-23,Closed,2024-05-07,47,House,19.0,Roofing
169,62,263,5,Plumbing,Repair description for property 263,2020-04-08,Closed,2025-02-13,47,House,19.0,Roofing
170,63,324,2,Plumbing,Repair description for property 324,2020-05-28,Closed,2025-03-02,47,Flat,19.0,Plumbing
171,63,324,2,Plumbing,Repair description for property 324,2020-11-24,Closed,2024-06-07,47,Flat,19.0,Roofing
172,63,324,2,Structural,Repair description for property 324,2020-06-04,In Progress,,47,Flat,19.0,Windows
173,63,324,2,Electrical,Repair description for property 324,2020-07-08,Open,,47,Flat,19.0,Structural
174,63,324,2,Other,Repair description for property 324,2021-05-08,Closed,2024-10-21,47,Flat,19.0,Roofing
175,64,484,6,Plumbing,Repair description for property 484,2022-06-01,Closed,2024-05-07,73,Flat,,Heating
176,64,484,6,Plumbing,Repair description for property 484,2020-09-19,Closed,2024-03-06,73,Flat,,Heating
177,64,484,6,Plumbing,Repair description for property 484,2020-03-20,Closed,2025-02-19,73,Flat,,Structural
178,64,484,6,Plumbing,Repair description for property 484,2021-02-03,Closed,2025-01-13,73,Flat,,Electrical
179,64,484,6,Other,Repair description for property 484,2022-02-02,Closed,2024-11-24,73,Flat,,Structural
180,65,80,4,Other,Repair description for property 80,2021-08-31,In Progress,,103,Flat,9.0,Heating
181,66,40,3,Electrical,Repair description for property 40,2020-09-16,In Progress,,78,Flat,5.0,Roofing
182,66,40,3,Plumbing,Repair description for property 40,2022-02-10,Open,,78,Flat,5.0,Damp
183,66,40,3,Appliance,Repair description for property 40,2021-09-06,Closed,2024-08-07,78,Flat,5.0,Heating
184,66,40,3,Plumbing,Repair description for property 40,2021-07-05,Open,,78,Flat,5.0,Structural
185,66,40,3,Other,Repair description for property 40,2022-02-23,Closed,2025-02-24,78,Flat,5.0,Damp
186,67,452,6,Appliance,Repair description for property 452,2020-04-10,Closed,2024-09-09,73,House,,Structural
187,67,452,6,Appliance,Repair description for property 452,2020-12-24,Closed,2025-02-13,73,House,,Structural
188,67,452,6,Plumbing,Repair description for property 452,2021-01-14,Closed,2024-09-03,73,House,,Roofing
189,67,452,6,Structural,Repair description for property 452,2022-03-30,In Progress,,73,House,,Damp
190,67,452,6,Electrical,Repair description for property 452,2020-08-08,Closed,2024-12-19,73,House,,Damp
191,68,47,8,Other,Repair description for property 47,2022-03-30,Closed,2024-05-15,15,Flat,8.0,Plumbing
192,69,239,3,Electrical,Repair description for property 239,2021-02-23,Open,,71,Flat,22.0,Roofing
193,69,239,3,Structural,Repair description for property 239,2020-05-03,Closed,2025-02-02,71,Flat,22.0,Heating
194,69,239,3,Electrical,Repair description for property 239,2021-02-25,Closed,2025-02-24,71,Flat,22.0,Structural
195,69,239,3,Plumbing,Repair description for property 239,2020-08-18,Closed,2024-10-13,71,Flat,22.0,Electrical
196,69,239,3,Electrical,Repair description for property 239,2021-11-20,Closed,2024-05-04,71,Flat,22.0,Structural
197,70,392,3,Electrical,Repair description for property 392,2020-03-03,In Progress,,47,Flat,18.0,Plumbing
198,70,392,3,Other,Repair description for property 392,2021-04-29,In Progress,,47,Flat,18.0,Plumbing
199,70,392,3,Other,Repair description for property 392,2021-09-19,Open,,47,Flat,18.0,Plumbing
200,70,392,3,Plumbing,Repair description for property 392,2021-12-03,Closed,2024-10-31,47,Flat,18.0,Plumbing
201,71,353,1,Structural,Repair description for property 353,2021-07-27,In Progress,,71,Flat,22.0,Roofing
202,71,353,1,Other,Repair description for property 353,2022-02-06,Closed,2025-01-22,71,Flat,22.0,Damp
203,71,353,1,Structural,Repair description for property 353,2021-04-27,Closed,2024-11-18,71,Flat,22.0,Electrical
204,72,342,4,Appliance,Repair description for property 342,2021-06-02,In Progress,,29,Flat,20.0,Windows
205,72,342,4,Structural,Repair description for property 342,2020-06-03,Closed,2025-01-26,29,Flat,20.0,Heating
206,73,278,6,Other,Repair description for property 278,2020-04-01,Closed,2024-08-17,29,Flat,20.0,Heating
207,73,278,6,Appliance,Repair description for property 278,2022-09-08,Closed,2024-11-09,29,Flat,20.0,General
208,73,278,6,Appliance,Repair description for property 278,2021-06-09,Closed,2025-02-17,29,Flat,20.0,Plumbing
209,73,278,6,Structural,Repair description for property 278,2021-03-30,Closed,2024-09-06,29,Flat,20.0,Plumbing
210,73,278,6,Structural,Repair description for property 278,2022-01-10,In Progress,,29,Flat,20.0,Heating
211,74,291,1,Other,Repair description for property 291,2021-08-20,In Progress,,47,Flat,18.0,Plumbing
212,74,291,1,Plumbing,Repair description for property 291,2021-10-06,Open,,47,Flat,18.0,Plumbing
213,74,291,1,Structural,Repair description for property 291,2021-05-24,Closed,2024-12-06,47,Flat,18.0,Plumbing
214,74,291,1,Other,Repair description for property 291,2020-07-01,Closed,2024-06-17,47,Flat,18.0,Plumbing
215,74,291,1,Electrical,Repair description for property 291,2021-01-20,Closed,2024-10-29,47,Flat,18.0,Plumbing
216,75,318,1,Plumbing,Repair description for property 318,2021-07-27,Closed,2025-03-13,47,Flat,19.0,Roofing
217,75,318,1,Structural,Repair description for property 318,2021-12-31,In Progress,,47,Flat,19.0,Structural
218,76,305,2,Structural,Repair description for property 305,2021-02-08,Closed,2024-08-17,47,Flat,18.0,Plumbing
219,76,305,2,Plumbing,Repair description for property 305,2020-09-02,Open,,47,Flat,18.0,Plumbing
220,76,305,2,Electrical,Repair description for property 305,2022-01-11,Closed,2024-03-10,47,Flat,18.0,Plumbing
221,76,305,2,Plumbing,Repair description for property 305,2021-08-13,Closed,2024-07-29,47,Flat,18.0,Plumbing
222,76,305,2,Appliance,Repair description for property 305,2021-10-22,Closed,2024-09-24,47,Flat,18.0,Plumbing
223,77,269,7,Other,Repair description for property 269,2021-10-11,In Progress,,47,Flat,19.0,Windows
224,78,70,6,Electrical,Repair description for property 70,2021-04-15,In Progress,,37,House,13.0,General
225,78,70,6,Structural,Repair description for property 70,2022-04-05,In Progress,,37,House,13.0,Plumbing
226,78,70,6,Other,Repair description for property 70,2022-06-06,Closed,2024-09-07,37,House,13.0,Windows
227,78,70,6,Electrical,Repair description for property 70,2021-02-26,Closed,2024-01-04,37,House,13.0,Heating
228,78,70,6,Plumbing,Repair description for property 70,2022-06-19,Closed,2024-03-28,37,House,13.0,General
229,79,456,3,Structural,Repair description for property 456,2020-03-05,Closed,2024-11-25,73,Flat,,Damp
230,79,456,3,Other,Repair description for property 456,2020-01-13,Closed,2025-03-18,73,Flat,,Damp
231,79,456,3,Other,Repair description for property 456,2020-07-31,Closed,2025-02-16,73,Flat,,Heating
232,79,456,3,Structural,Repair description for property 456,2022-09-12,Closed,2024-07-17,73,Flat,,Damp
233,79,456,3,Plumbing,Repair description for property 456,2020-08-29,Closed,2024-06-06,73,Flat,,Heating
234,80,466,7,Structural,Repair description for property 466,2021-05-07,Closed,2024-10-16,73,House,,Roofing
235,80,466,7,Appliance,Repair description for property 466,2020-07-31,In Progress,,73,House,,Heating
236,80,466,7,Structural,Repair description for property 466,2021-11-23,Closed,2024-05-10,73,House,,Heating
237,80,466,7,Plumbing,Repair description for property 466,2020-12-03,Open,,73,House,,Damp
238,81,155,5,Electrical,Repair description for property 155,2022-09-23,In Progress,,57,House,3.0,Windows
239,81,155,5,Electrical,Repair description for property 155,2020-06-21,Open,,57,House,3.0,Roofing
240,81,155,5,Plumbing,Repair description for property 155,2021-11-02,Open,,57,House,3.0,Roofing
241,81,155,5,Appliance,Repair description for property 155,2020-06-12,Closed,2024-11-23,57,House,3.0,Heating
242,81,155,5,Other,Repair description for property 155,2021-04-09,Open,,57,House,3.0,Roofing
243,82,83,5,Electrical,Repair description for property 83,2022-09-21,Closed,2024-10-04,24,House,14.0,General
244,82,83,5,Structural,Repair description for property 83,2021-05-11,Closed,2024-05-16,24,House,14.0,Windows
245,82,83,5,Electrical,Repair description for property 83,2021-11-30,Closed,2024-11-24,24,House,14.0,Heating
246,82,83,5,Structural,Repair description for property 83,2021-01-29,In Progress,,24,House,14.0,Heating
247,83,478,8,Appliance,Repair description for property 478,2021-12-03,Closed,2024-02-09,73,Block of Flats,,Roofing
248,84,173,3,Electrical,Repair description for property 173,2022-07-05,Closed,2024-11-15,51,Flat,4.0,Heating
249,84,173,3,Other,Repair description for property 173,2020-11-03,Closed,2024-06-26,51,Flat,4.0,Plumbing
250,84,173,3,Structural,Repair description for property 173,2022-02-06,Closed,2024-01-04,51,Flat,4.0,Windows
251,84,173,3,Electrical,Repair description for property 173,2020-07-01,Closed,2024-03-10,51,Flat,4.0,Heating
252,84,173,3,Electrical,Repair description for property 173,2021-09-20,Closed,2024-06-06,51,Flat,4.0,Roofing
253,85,322,5,Other,Repair description for property 322,2022-03-04,Closed,2025-05-03,47,Flat,19.0,Windows
254,85,322,5,Electrical,Repair description for property 322,2021-05-24,Open,,47,Flat,19.0,Windows
255,85,322,5,Electrical,Repair description for property 322,2021-12-08,Open,,47,Flat,19.0,Roofing
256,85,322,5,Appliance,Repair description for property 322,2021-06-29,Closed,2025-02-17,47,Flat,19.0,Heating
257,86,91,8,Structural,Repair description for property 91,2021-07-17,Closed,2024-09-21,80,Flat,10.0,Structural
258,86,91,8,Other,Repair description for property 91,2021-09-15,Closed,2025-01-24,80,Flat,10.0,Damp
259,86,91,8,Structural,Repair description for property 91,2022-02-02,Closed,2024-05-15,80,Flat,10.0,Electrical
260,86,91,8,Appliance,Repair description for property 91,2021-08-16,In Progress,,80,Flat,10.0,Electrical
261,87,181,5,Other,Repair description for property 181,2022-01-13,Open,,80,Block of Flats,10.0,Heating
262,87,181,5,Other,Repair description for property 181,2020-08-14,Closed,2024-10-07,80,Block of Flats,10.0,Structural
263,87,181,5,Appliance,Repair description for property 181,2022-01-14,Closed,2024-05-09,80,Block of Flats,10.0,Structural
264,88,415,3,Plumbing,Repair description for property 415,2022-01-02,In Progress,,29,Flat,20.0,General
265,88,415,3,Other,Repair description for property 415,2021-03-11,Closed,2024-11-11,29,Flat,20.0,General
266,89,313,4,Structural,Repair description for property 313,2022-07-13,Closed,2024-05-06,74,Flat,21.0,Heating
267,89,313,4,Plumbing,Repair description for property 313,2021-02-25,Closed,2024-08-20,74,Flat,21.0,Damp
268,89,313,4,Other,Repair description for property 313,2021-07-07,Closed,2024-11-20,74,Flat,21.0,Structural
269,89,313,4,Structural,Repair description for property 313,2020-01-21,Closed,2024-09-29,74,Flat,21.0,Damp
270,89,313,4,Structural,Repair description for property 313,2021-07-07,Closed,2024-10-17,74,Flat,21.0,Heating
