propertyid,reading_date,humidity,temperature,incident_source,is_iot_alert,unresolved_flag,response_days,repeat_incident_flag,high_priority_flag,tenantid_x,propertytype,estateid,tenantid_y,children_under_5
466,2021-05-07 00:00:00.000000,,,Repair Report,False,True,0,False,False,80.0,House,,80.0,True
97,2021-05-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,264.0,Flat,3.0,264.0,False
480,2021-05-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,143.0,House,,143.0,False
211,2021-05-29 00:00:00.000000,,,Repair Report,False,True,0,False,False,189.0,House,5.0,189.0,False
95,2021-06-13 00:00:00.000000,,,Repair Report,False,True,0,False,False,144.0,House,8.0,144.0,False
126,2021-06-15 00:00:00.000000,,,Repair Report,False,False,0,False,False,280.0,Flat,1.0,280.0,False
207,2021-06-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,349.0,Block of Flats,6.0,349.0,False
304,2021-06-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,407.0,Block of Flats,,407.0,True
196,2021-06-19 00:00:00.000000,,,Repair Report,False,False,0,False,False,182.0,Flat,1.0,182.0,False
26,2021-06-23 00:00:00.000000,,,Repair Report,False,True,0,False,False,114.0,Flat,3.0,114.0,False
60,2021-07-01 00:00:00.000000,,,Repair Report,False,False,0,False,False,230.0,Flat,9.0,230.0,False
214,2021-07-03 00:00:00.000000,,,Repair Report,False,True,0,False,False,359.0,House,10.0,359.0,False
346,2021-07-06 00:00:00.000000,,,Repair Report,False,False,0,False,False,436.0,House,,436.0,False
498,2021-07-14 00:00:00.000000,,,Repair Report,False,False,0,False,False,27.0,House,,27.0,False
46,2021-07-15 00:00:00.000000,,,Repair Report,False,False,0,False,False,153.0,Flat,6.0,153.0,False
490,2021-07-19 00:00:00.000000,,,Repair Report,False,True,0,False,False,173.0,Flat,,173.0,False
177,2021-08-12 00:00:00.000000,,,Repair Report,False,False,0,False,False,122.0,Flat,9.0,122.0,False
305,2021-08-13 00:00:00.000000,,,Repair Report,False,False,0,False,False,76.0,Flat,,76.0,False
273,2021-08-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,194.0,Block of Flats,,194.0,False
91,2021-08-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,86.0,Flat,5.0,86.0,True
393,2021-08-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,258.0,House,,258.0,False
130,2021-08-26 00:00:00.000000,,,Repair Report,False,False,0,False,False,285.0,Flat,9.0,285.0,False
304,2021-08-27 00:00:00.000000,,,Repair Report,False,True,0,False,False,407.0,Block of Flats,,407.0,True
97,2021-09-01 00:00:00.000000,,,Repair Report,False,False,0,False,False,264.0,Flat,3.0,264.0,False
166,2021-09-19 00:00:00.000000,,,Repair Report,False,False,0,False,False,204.0,Flat,5.0,204.0,False
417,2021-09-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,256.0,Flat,,256.0,False
42,2021-10-01 00:00:00.000000,,,Repair Report,False,False,0,False,False,346.0,Flat,1.0,346.0,False
317,2021-10-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,19.0,Flat,,19.0,False
270,2021-10-30 00:00:00.000000,,,Repair Report,False,False,0,False,False,409.0,House,,409.0,False
498,2021-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,27.0,House,,27.0,False
376,2021-11-28 00:00:00.000000,,,Repair Report,False,True,0,False,False,192.0,Flat,,192.0,False
83,2021-11-30 00:00:00.000000,,,Repair Report,False,True,0,False,False,82.0,House,9.0,82.0,False
417,2021-12-08 00:00:00.000000,,,Repair Report,False,True,0,False,False,256.0,Flat,,256.0,False
322,2021-12-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,85.0,Flat,,85.0,False
113,2021-12-09 00:00:00.000000,,,Repair Report,False,False,0,False,False,295.0,Flat,1.0,295.0,False
328,2021-12-13 00:00:00.000000,,,Repair Report,False,False,0,False,False,368.0,House,,368.0,False
16,2021-12-26 00:00:00.000000,,,Repair Report,False,False,0,False,False,100.0,Flat,4.0,100.0,True
338,2021-12-28 00:00:00.000000,,,Repair Report,False,False,0,False,False,398.0,Flat,,398.0,False
401,2022-02-04 00:00:00.000000,,,Repair Report,False,False,0,False,False,193.0,Flat,,193.0,False
228,2022-02-05 00:00:00.000000,,,Repair Report,False,False,0,False,False,126.0,House,,126.0,False
191,2022-02-07 00:00:00.000000,,,Repair Report,False,True,0,False,False,415.0,Flat,7.0,415.0,False
256,2022-02-09 00:00:00.000000,,,Repair Report,False,True,0,False,False,215.0,Block of Flats,,215.0,False
465,2022-02-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,115.0,Block of Flats,,115.0,False
295,2022-02-12 00:00:00.000000,,,Repair Report,False,True,0,False,False,292.0,House,,292.0,True
40,2022-02-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,66.0,Flat,3.0,66.0,False
87,2022-02-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,97.0,Flat,6.0,97.0,False
193,2022-02-28 00:00:00.000000,,,Repair Report,False,False,0,False,False,137.0,Flat,10.0,137.0,False
75,2022-03-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,208.0,House,2.0,208.0,False
139,2022-03-30 00:00:00.000000,,,Repair Report,False,False,0,False,False,378.0,House,9.0,378.0,True
487,2022-03-30 00:00:00.000000,,,Repair Report,False,True,0,False,False,406.0,Flat,,406.0,False
383,2022-04-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,221.0,Flat,,221.0,False
496,2022-04-22 00:00:00.000000,,,Repair Report,False,False,0,False,False,17.0,House,,17.0,False
293,2022-04-25 00:00:00.000000,,,Repair Report,False,False,0,False,False,362.0,Flat,,362.0,False
292,2022-06-17 00:00:00.000000,,,Repair Report,False,False,0,False,False,290.0,House,,290.0,False
437,2022-06-21 00:00:00.000000,,,Repair Report,False,False,0,False,False,233.0,House,,233.0,False
347,2022-06-24 00:00:00.000000,,,Repair Report,False,True,0,False,False,236.0,Block of Flats,,236.0,False
89,2022-06-25 00:00:00.000000,,,Repair Report,False,True,0,False,False,441.0,Flat,10.0,441.0,True
199,2022-06-26 00:00:00.000000,,,Repair Report,False,False,0,False,False,254.0,Flat,1.0,254.0,False
173,2022-07-05 00:00:00.000000,,,Repair Report,False,False,0,False,False,84.0,Flat,2.0,84.0,True
454,2022-07-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,169.0,Flat,,169.0,True
313,2022-07-13 00:00:00.000000,,,Repair Report,False,True,0,False,False,89.0,Flat,,89.0,False
425,2022-07-22 00:00:00.000000,,,Repair Report,False,False,0,False,False,372.0,Flat,,372.0,True
142,2022-07-29 00:00:00.000000,,,Repair Report,False,False,0,False,False,186.0,Block of Flats,9.0,186.0,False
250,2022-08-02 00:00:00.000000,,,Repair Report,False,True,0,False,False,101.0,House,,101.0,True
402,2022-08-08 00:00:00.000000,,,Repair Report,False,True,0,False,False,414.0,House,,414.0,False
404,2022-08-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,393.0,Flat,,393.0,False
225,2022-08-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,312.0,Flat,9.0,312.0,True
200,2022-08-28 00:00:00.000000,,,Repair Report,False,True,0,False,False,206.0,Flat,5.0,206.0,True
119,2022-08-31 00:00:00.000000,,,Repair Report,False,False,0,False,False,174.0,House,6.0,174.0,False
238,2022-09-18 00:00:00.000000,,,Repair Report,False,False,0,False,False,118.0,Flat,,118.0,False
155,2022-09-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,81.0,House,1.0,81.0,False
276,2022-09-26 00:00:00.000000,,,Repair Report,False,False,0,False,False,184.0,House,,184.0,False
216,2025-03-18 12:55:30.359483,71.1,12.4,IoT Alert,True,False,14,True,False,363.0,Flat,3.0,363.0,False
157,2025-03-18 14:55:30.359483,71.9,15.9,IoT Alert,True,False,7,False,False,389.0,Flat,8.0,389.0,False
85,2025-03-18 14:55:30.359483,75.8,10.8,IoT Alert,True,True,0,False,False,14.0,Flat,5.0,14.0,True
297,2025-03-18 15:55:30.359483,71.7,14.5,IoT Alert,True,False,7,False,False,252.0,House,,252.0,False
167,2025-03-18 15:55:30.359483,76.2,15.7,IoT Alert,True,True,60,False,False,444.0,House,1.0,444.0,True
497,2025-03-18 19:55:30.359483,72.2,15.1,IoT Alert,True,True,0,False,False,,House,,,
126,2025-03-18 19:55:30.359483,72.6,12.2,IoT Alert,True,False,7,True,False,280.0,Flat,1.0,280.0,False
467,2025-03-18 20:55:30.359483,70.2,12.1,IoT Alert,True,False,7,True,False,,Flat,,,
180,2025-03-18 21:55:30.359483,74.3,13.3,IoT Alert,True,True,14,True,False,296.0,House,4.0,296.0,False
87,2025-03-18 22:55:30.359483,71.3,15.8,IoT Alert,True,False,90,False,False,97.0,Flat,6.0,97.0,False
417,2025-03-18 23:55:30.359483,70.9,15.9,IoT Alert,True,False,7,False,False,256.0,Flat,,256.0,False
450,2025-03-19 00:55:30.359483,70.8,15.7,IoT Alert,True,False,7,False,False,243.0,Flat,,243.0,False
112,2025-03-19 00:55:30.359483,74.6,15.8,IoT Alert,True,True,30,False,False,231.0,Flat,5.0,231.0,False
67,2025-03-19 02:55:30.359483,73.7,14.9,IoT Alert,True,False,14,False,False,141.0,House,5.0,141.0,False
444,2025-03-19 02:55:30.359483,75.1,15.1,IoT Alert,True,False,7,False,False,,Flat,,,
173,2025-03-19 02:55:30.359483,77.2,13.4,IoT Alert,True,True,14,False,False,84.0,Flat,2.0,84.0,True
288,2025-03-19 03:55:30.359483,72.8,13.8,IoT Alert,True,False,0,True,False,261.0,House,,261.0,False
296,2025-03-19 04:55:30.359483,71.2,14.0,IoT Alert,True,False,0,True,False,402.0,Flat,,402.0,False
331,2025-03-19 04:55:30.359483,70.6,15.2,IoT Alert,True,True,14,True,False,,House,,,
224,2025-03-19 06:55:30.359483,74.5,14.5,IoT Alert,True,False,14,False,False,282.0,Flat,10.0,282.0,False
145,2025-03-19 07:55:30.359483,71.5,15.9,IoT Alert,True,False,90,False,False,179.0,Flat,4.0,179.0,False
148,2025-03-19 07:55:30.359483,75.6,12.1,IoT Alert,True,False,7,False,False,259.0,House,2.0,259.0,False
60,2025-03-19 08:55:30.359483,71.8,11.9,IoT Alert,True,False,14,False,False,230.0,Flat,9.0,230.0,False
331,2025-03-19 10:55:30.359483,73.7,15.1,IoT Alert,True,False,30,True,False,,House,,,
301,2025-03-19 12:55:30.359483,75.3,15.6,IoT Alert,True,True,0,False,False,387.0,Block of Flats,,387.0,False
14,2025-03-19 12:55:30.359483,74.3,14.9,IoT Alert,True,False,30,True,False,439.0,House,6.0,439.0,False
233,2025-03-19 15:55:30.359483,82.0,12.4,IoT Alert,True,False,0,False,False,308.0,House,,308.0,False
43,2025-03-19 18:55:30.359483,73.7,10.5,IoT Alert,True,True,90,False,False,120.0,Block of Flats,9.0,120.0,False
162,2025-03-19 19:55:30.359483,72.6,13.5,IoT Alert,True,True,0,False,False,411.0,Block of Flats,9.0,411.0,False
311,2025-03-19 19:55:30.359483,75.3,12.0,IoT Alert,True,False,14,True,False,213.0,Flat,,213.0,False
418,2025-03-19 19:55:30.359483,73.4,14.6,IoT Alert,True,False,0,False,False,127.0,Flat,,127.0,False
69,2025-03-19 20:55:30.359483,70.2,15.6,IoT Alert,True,True,90,False,False,9.0,Flat,3.0,9.0,False
331,2025-03-19 20:55:30.359483,73.1,13.5,IoT Alert,True,False,14,False,False,,House,,,
309,2025-03-19 22:55:30.359483,74.0,15.2,IoT Alert,True,True,14,True,False,,Flat,,,
96,2025-03-20 00:55:30.359483,71.4,10.6,IoT Alert,True,False,0,False,False,340.0,Flat,4.0,340.0,True
370,2025-03-20 02:55:30.359483,82.6,14.6,IoT Alert,True,True,30,False,False,180.0,Flat,,180.0,True
248,2025-03-20 04:55:30.359483,76.8,15.0,IoT Alert,True,False,7,True,False,117.0,House,,117.0,False
42,2025-03-20 05:55:30.359483,74.0,13.5,IoT Alert,True,False,60,False,False,346.0,Flat,1.0,346.0,False
37,2025-03-20 05:55:30.359483,72.0,15.5,IoT Alert,True,False,7,True,False,223.0,Flat,5.0,223.0,True
333,2025-03-20 09:55:30.359483,78.8,14.9,IoT Alert,True,True,0,False,False,105.0,Flat,,105.0,False
262,2025-03-20 10:55:30.359483,84.5,13.5,IoT Alert,True,False,0,False,False,149.0,Flat,,149.0,True
433,2025-03-20 11:55:30.359483,70.2,12.5,IoT Alert,True,True,14,False,False,298.0,Flat,,298.0,True
313,2025-03-20 11:55:30.359483,71.5,15.1,IoT Alert,True,False,14,False,False,89.0,Flat,,89.0,False
19,2025-03-20 11:55:30.359483,74.1,14.0,IoT Alert,True,False,0,False,False,58.0,Flat,4.0,58.0,True
215,2025-03-20 12:55:30.359483,77.6,15.7,IoT Alert,True,True,30,True,False,,Flat,5.0,,
307,2025-03-20 13:55:30.359483,71.7,14.3,IoT Alert,True,False,14,False,False,448.0,House,,448.0,False
429,2025-03-20 15:55:30.359483,73.5,9.7,IoT Alert,True,False,14,True,False,163.0,Flat,,163.0,False
429,2025-03-20 16:55:30.359483,71.8,13.3,IoT Alert,True,False,14,False,False,163.0,Flat,,163.0,False
25,2025-03-20 16:55:30.359483,70.4,13.8,IoT Alert,True,False,14,False,False,138.0,Flat,9.0,138.0,False
470,2025-03-20 17:55:30.359483,73.4,14.0,IoT Alert,True,False,14,False,False,251.0,Flat,,251.0,False
163,2025-03-20 17:55:30.359483,73.3,14.8,IoT Alert,True,True,0,False,False,376.0,Flat,2.0,376.0,False
85,2025-03-20 21:55:30.359483,70.7,13.7,IoT Alert,True,False,0,False,False,14.0,Flat,5.0,14.0,True
39,2025-03-20 22:55:30.359483,70.9,13.8,IoT Alert,True,False,60,False,False,248.0,House,2.0,248.0,False
322,2025-03-20 22:55:30.359483,73.9,14.0,IoT Alert,True,False,90,False,False,85.0,Flat,,85.0,False
309,2025-03-20 22:55:30.359483,70.9,10.8,IoT Alert,True,False,7,False,False,,Flat,,,
68,2025-03-20 23:55:30.359483,70.7,14.6,IoT Alert,True,False,7,False,False,188.0,House,1.0,188.0,False
343,2025-03-21 03:55:30.359483,79.8,12.3,IoT Alert,True,False,30,False,False,338.0,Block of Flats,,338.0,False
134,2025-03-21 03:55:30.359483,75.4,13.8,IoT Alert,True,False,14,False,False,321.0,Flat,5.0,321.0,False
147,2025-03-21 06:55:30.359483,71.5,15.1,IoT Alert,True,False,0,False,False,257.0,House,1.0,257.0,False
232,2025-03-21 06:55:30.359483,72.5,14.4,IoT Alert,True,False,0,False,False,125.0,Flat,,125.0,False
254,2025-03-21 09:55:30.359483,74.1,11.5,IoT Alert,True,False,30,True,False,145.0,Flat,,145.0,False
303,2025-03-21 11:55:30.359483,71.9,15.5,IoT Alert,True,True,30,False,False,281.0,House,,281.0,False
444,2025-03-21 11:55:30.359483,70.2,15.9,IoT Alert,True,True,0,False,False,,Flat,,,
214,2025-03-21 11:55:30.359483,79.0,15.5,IoT Alert,True,False,7,False,False,359.0,House,10.0,359.0,False
155,2025-03-21 15:55:30.359483,74.5,15.1,IoT Alert,True,False,7,False,False,81.0,House,1.0,81.0,False
76,2025-03-21 15:55:30.359483,71.4,12.7,IoT Alert,True,True,30,False,False,98.0,House,1.0,98.0,False
156,2025-03-21 16:55:30.359483,71.0,15.0,IoT Alert,True,True,0,True,False,4.0,Block of Flats,1.0,4.0,False
231,2025-03-21 17:55:30.359483,70.9,13.2,IoT Alert,True,False,0,False,False,373.0,Flat,,373.0,True
133,2025-03-21 17:55:30.359483,72.8,13.6,IoT Alert,True,True,30,False,False,110.0,Flat,1.0,110.0,True
67,2025-03-21 17:55:30.359483,70.2,12.1,IoT Alert,True,True,0,False,False,141.0,House,5.0,141.0,False
264,2025-03-21 18:55:30.359483,70.7,14.7,IoT Alert,True,False,30,True,False,429.0,Flat,,429.0,False
265,2025-03-21 19:55:30.359483,71.0,14.5,IoT Alert,True,False,7,False,False,437.0,Flat,,437.0,True
112,2025-03-21 21:55:30.359483,73.8,12.8,IoT Alert,True,False,0,False,False,231.0,Flat,5.0,231.0,False
456,2025-03-21 21:55:30.359483,70.5,14.1,IoT Alert,True,False,7,False,False,79.0,Flat,,79.0,False
241,2025-03-21 22:55:30.359483,70.1,11.6,IoT Alert,True,False,30,True,False,342.0,House,,342.0,False
30,2025-03-21 22:55:30.359483,70.6,15.6,IoT Alert,True,False,60,False,False,164.0,Block of Flats,2.0,164.0,False
22,2025-03-21 23:55:30.359483,79.6,13.5,IoT Alert,True,False,60,False,False,,Flat,4.0,,
435,2025-03-22 00:55:30.359483,71.9,14.8,IoT Alert,True,False,7,False,False,396.0,House,,396.0,False
105,2025-03-22 01:55:30.359483,70.4,15.0,IoT Alert,True,False,30,True,False,5.0,Flat,3.0,5.0,False
126,2025-03-22 02:55:30.359483,70.4,14.6,IoT Alert,True,False,7,False,False,280.0,Flat,1.0,280.0,False
88,2025-03-22 03:55:30.359483,72.0,12.7,IoT Alert,True,False,7,False,False,,Flat,1.0,,
490,2025-03-22 07:55:30.359483,71.4,15.5,IoT Alert,True,False,60,False,False,173.0,Flat,,173.0,False
412,2025-03-22 07:55:30.359483,79.0,15.0,IoT Alert,True,True,0,False,False,317.0,Flat,,317.0,False
272,2025-03-22 14:55:30.359483,74.3,14.1,IoT Alert,True,False,0,False,False,134.0,Flat,,134.0,True
212,2025-03-22 15:55:30.359483,81.2,15.7,IoT Alert,True,True,7,False,False,28.0,Flat,7.0,28.0,False
53,2025-03-22 15:55:30.359483,71.4,13.5,IoT Alert,True,True,0,False,False,435.0,Flat,5.0,435.0,True
209,2025-03-22 16:55:30.359483,70.2,13.4,IoT Alert,True,False,0,False,False,142.0,Flat,2.0,142.0,False
438,2025-03-22 16:55:30.359483,75.1,10.5,IoT Alert,True,False,14,False,False,165.0,Flat,,165.0,True
348,2025-03-22 17:55:30.359483,71.6,15.6,IoT Alert,True,False,14,True,False,96.0,Flat,,96.0,False
35,2025-03-22 18:55:30.359483,71.7,15.9,IoT Alert,True,False,60,False,False,428.0,Block of Flats,4.0,428.0,False
10,2025-03-22 19:55:30.359483,70.6,12.0,IoT Alert,True,False,60,True,False,11.0,Flat,4.0,11.0,True
232,2025-03-22 21:55:30.359483,76.5,15.7,IoT Alert,True,False,7,False,False,125.0,Flat,,125.0,False
465,2025-03-22 22:55:30.359483,74.3,13.7,IoT Alert,True,False,7,False,False,115.0,Block of Flats,,115.0,False
3,2025-03-23 01:55:30.359483,70.5,13.8,IoT Alert,True,False,7,False,False,35.0,Flat,5.0,35.0,False
69,2025-03-23 06:55:30.359483,75.0,15.4,IoT Alert,True,True,14,False,False,9.0,Flat,3.0,9.0,False
60,2025-03-23 08:55:30.359483,76.8,15.9,IoT Alert,True,False,7,False,False,230.0,Flat,9.0,230.0,False
476,2025-03-23 09:55:30.359483,73.5,14.6,IoT Alert,True,False,30,False,False,31.0,Block of Flats,,31.0,False
119,2025-03-23 10:55:30.359483,75.5,15.5,IoT Alert,True,True,14,False,False,174.0,House,6.0,174.0,False
428,2025-03-23 12:55:30.359483,76.3,13.0,IoT Alert,True,False,14,False,False,430.0,Flat,,430.0,True
61,2025-03-23 13:55:30.359483,78.8,12.0,IoT Alert,True,True,14,True,False,160.0,House,6.0,160.0,False
311,2025-03-23 14:55:30.359483,74.5,15.6,IoT Alert,True,False,7,False,False,213.0,Flat,,213.0,False
1,2025-03-23 15:55:30.359483,75.2,14.8,IoT Alert,True,False,90,True,False,47.0,Flat,1.0,47.0,False
451,2025-03-23 18:55:30.359483,71.2,15.7,IoT Alert,True,False,30,False,False,10.0,Flat,,10.0,False
453,2025-03-23 20:55:30.359483,74.4,15.3,IoT Alert,True,False,0,False,False,322.0,Flat,,322.0,False
126,2025-03-23 22:55:30.359483,79.7,12.9,IoT Alert,True,True,60,True,False,280.0,Flat,1.0,280.0,False
371,2025-03-24 01:55:30.359483,71.8,12.7,IoT Alert,True,False,14,False,False,319.0,House,,319.0,False
442,2025-03-24 02:55:30.359483,74.1,15.9,IoT Alert,True,False,60,False,False,422.0,House,,422.0,False
30,2025-03-24 03:55:30.359483,71.1,14.9,IoT Alert,True,False,30,False,False,164.0,Block of Flats,2.0,164.0,False
479,2025-03-24 03:55:30.359483,81.2,13.4,IoT Alert,True,False,14,False,False,209.0,Flat,,209.0,True
280,2025-03-24 03:55:30.359483,70.1,13.2,IoT Alert,True,False,0,True,False,395.0,House,,395.0,False
250,2025-03-24 04:55:30.359483,70.5,13.9,IoT Alert,True,True,7,False,False,101.0,House,,101.0,True
246,2025-03-24 05:55:30.359483,72.1,15.3,IoT Alert,True,False,14,True,False,203.0,Flat,,203.0,False
453,2025-03-24 05:55:30.359483,81.9,12.4,IoT Alert,True,False,30,False,False,322.0,Flat,,322.0,False
242,2025-03-24 07:55:30.359483,74.5,13.5,IoT Alert,True,False,7,False,False,438.0,Flat,,438.0,False
248,2025-03-24 08:55:30.359483,74.4,15.9,IoT Alert,True,True,0,False,False,117.0,House,,117.0,False
32,2025-03-24 09:55:30.359483,70.9,11.4,IoT Alert,True,False,60,False,False,131.0,House,5.0,131.0,False
