propertyid,reading_date,humidity,temperature,incident_source,is_iot_alert,unresolved_flag,response_days,repeat_incident_flag,high_priority_flag,tenantid_x,estateid,tenantid_y,children_under_5,propertytype,blockid
61,2020-05-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,160.0,6.0,160.0,False,House,11.0
168,2020-05-21 00:00:00.000000,,,Repair Report,False,False,0,False,False,250.0,9.0,250.0,False,Flat,14.0
298,2020-06-09 00:00:00.000000,,,Repair Report,False,True,0,False,False,255.0,,255.0,False,House,22.0
69,2020-06-09 00:00:00.000000,,,Repair Report,False,False,0,False,False,9.0,3.0,9.0,False,Flat,5.0
7,2020-06-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,234.0,1.0,234.0,False,Flat,2.0
385,2020-06-12 00:00:00.000000,,,Repair Report,False,True,0,False,False,41.0,,41.0,False,Flat,19.0
455,2020-07-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,185.0,,185.0,False,House,
381,2020-07-21 00:00:00.000000,,,Repair Report,False,True,0,False,False,245.0,,245.0,True,Flat,21.0
119,2020-07-27 00:00:00.000000,,,Repair Report,False,True,0,False,False,174.0,6.0,174.0,False,House,11.0
211,2020-08-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,189.0,5.0,189.0,False,House,10.0
480,2020-08-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,143.0,,143.0,False,House,
307,2020-08-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,448.0,,448.0,False,House,18.0
305,2020-09-02 00:00:00.000000,,,Repair Report,False,False,0,False,False,76.0,,76.0,False,Flat,18.0
101,2020-09-07 00:00:00.000000,,,Repair Report,False,True,0,False,False,356.0,6.0,356.0,False,Flat,11.0
197,2020-09-17 00:00:00.000000,,,Repair Report,False,False,0,False,False,224.0,3.0,224.0,True,Flat,5.0
260,2020-09-18 00:00:00.000000,,,Repair Report,False,False,0,False,False,417.0,,417.0,False,Flat,22.0
469,2020-10-02 00:00:00.000000,,,Repair Report,False,True,0,False,False,392.0,,392.0,False,Flat,
343,2020-10-05 00:00:00.000000,,,Repair Report,False,False,0,False,False,338.0,,338.0,False,Block of Flats,19.0
203,2020-10-20 00:00:00.000000,,,Repair Report,False,True,0,False,False,272.0,1.0,272.0,False,Flat,1.0
488,2020-10-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,299.0,,299.0,False,Flat,
245,2020-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,227.0,,227.0,False,Block of Flats,20.0
168,2020-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,250.0,9.0,250.0,False,Flat,14.0
136,2020-11-29 00:00:00.000000,,,Repair Report,False,False,0,False,False,380.0,3.0,380.0,False,Flat,5.0
494,2020-12-01 00:00:00.000000,,,Repair Report,False,False,0,False,False,191.0,,191.0,True,Flat,
492,2020-12-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,22.0,,22.0,True,House,
474,2020-12-09 00:00:00.000000,,,Repair Report,False,True,0,False,False,434.0,,434.0,True,House,
248,2020-12-17 00:00:00.000000,,,Repair Report,False,False,0,False,False,117.0,,117.0,False,House,19.0
453,2020-12-18 00:00:00.000000,,,Repair Report,False,False,0,False,False,322.0,,322.0,False,Flat,
111,2020-12-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,161.0,4.0,161.0,False,Flat,8.0
421,2021-01-15 00:00:00.000000,,,Repair Report,False,False,0,False,False,286.0,,286.0,True,Flat,19.0
199,2021-01-18 00:00:00.000000,,,Repair Report,False,False,0,False,False,254.0,1.0,254.0,False,Flat,1.0
255,2021-02-04 00:00:00.000000,,,Repair Report,False,False,0,False,False,351.0,,351.0,False,Flat,22.0
115,2021-02-21 00:00:00.000000,,,Repair Report,False,True,0,False,False,175.0,5.0,175.0,False,Flat,9.0
295,2021-03-11 00:00:00.000000,,,Repair Report,False,True,0,False,False,292.0,,292.0,True,House,22.0
465,2021-03-17 00:00:00.000000,,,Repair Report,False,True,0,False,False,115.0,,115.0,False,Block of Flats,
298,2021-03-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,255.0,,255.0,False,House,22.0
496,2021-03-24 00:00:00.000000,,,Repair Report,False,False,0,False,False,17.0,,17.0,False,House,
312,2021-03-29 00:00:00.000000,,,Repair Report,False,False,0,False,False,303.0,,303.0,False,Flat,19.0
278,2021-03-30 00:00:00.000000,,,Repair Report,False,False,0,False,False,73.0,,73.0,True,Flat,20.0
495,2021-04-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,61.0,,61.0,False,Flat,
409,2021-04-10 00:00:00.000000,,,Repair Report,False,False,0,False,False,20.0,,20.0,False,Flat,19.0
246,2021-04-25 00:00:00.000000,,,Repair Report,False,False,0,False,False,203.0,,203.0,False,Flat,19.0
195,2021-04-25 00:00:00.000000,,,Repair Report,False,True,0,False,False,12.0,1.0,12.0,False,House,1.0
233,2021-04-30 00:00:00.000000,,,Repair Report,False,False,0,False,False,308.0,,308.0,False,House,20.0
466,2021-05-07 00:00:00.000000,,,Repair Report,False,True,0,False,False,80.0,,80.0,True,House,
97,2021-05-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,264.0,3.0,264.0,False,Flat,5.0
480,2021-05-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,143.0,,143.0,False,House,
211,2021-05-29 00:00:00.000000,,,Repair Report,False,True,0,False,False,189.0,5.0,189.0,False,House,10.0
95,2021-06-13 00:00:00.000000,,,Repair Report,False,True,0,False,False,144.0,8.0,144.0,False,House,13.0
126,2021-06-15 00:00:00.000000,,,Repair Report,False,False,0,False,False,280.0,1.0,280.0,False,Flat,2.0
207,2021-06-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,349.0,6.0,349.0,False,Block of Flats,11.0
304,2021-06-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,407.0,,407.0,True,Block of Flats,22.0
196,2021-06-19 00:00:00.000000,,,Repair Report,False,False,0,False,False,182.0,1.0,182.0,False,Flat,3.0
26,2021-06-23 00:00:00.000000,,,Repair Report,False,True,0,False,False,114.0,3.0,114.0,False,Flat,5.0
60,2021-07-01 00:00:00.000000,,,Repair Report,False,False,0,False,False,230.0,9.0,230.0,False,Flat,15.0
214,2021-07-03 00:00:00.000000,,,Repair Report,False,True,0,False,False,359.0,10.0,359.0,False,House,17.0
346,2021-07-06 00:00:00.000000,,,Repair Report,False,False,0,False,False,436.0,,436.0,False,House,21.0
498,2021-07-14 00:00:00.000000,,,Repair Report,False,False,0,False,False,27.0,,27.0,False,House,
46,2021-07-15 00:00:00.000000,,,Repair Report,False,False,0,False,False,153.0,6.0,153.0,False,Flat,11.0
490,2021-07-19 00:00:00.000000,,,Repair Report,False,True,0,False,False,173.0,,173.0,False,Flat,
177,2021-08-12 00:00:00.000000,,,Repair Report,False,True,0,False,False,122.0,9.0,122.0,False,Flat,15.0
305,2021-08-13 00:00:00.000000,,,Repair Report,False,False,0,False,False,76.0,,76.0,False,Flat,18.0
273,2021-08-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,194.0,,194.0,False,Block of Flats,19.0
91,2021-08-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,86.0,5.0,86.0,True,Flat,10.0
393,2021-08-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,258.0,,258.0,False,House,19.0
130,2021-08-26 00:00:00.000000,,,Repair Report,False,False,0,False,False,285.0,9.0,285.0,False,Flat,16.0
304,2021-08-27 00:00:00.000000,,,Repair Report,False,True,0,False,False,407.0,,407.0,True,Block of Flats,22.0
97,2021-09-01 00:00:00.000000,,,Repair Report,False,False,0,False,False,264.0,3.0,264.0,False,Flat,5.0
166,2021-09-19 00:00:00.000000,,,Repair Report,False,True,0,False,False,204.0,5.0,204.0,False,Flat,9.0
417,2021-09-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,256.0,,256.0,False,Flat,19.0
42,2021-10-01 00:00:00.000000,,,Repair Report,False,False,0,False,False,346.0,1.0,346.0,False,Flat,1.0
317,2021-10-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,19.0,,19.0,False,Flat,20.0
270,2021-10-30 00:00:00.000000,,,Repair Report,False,False,0,False,False,409.0,,409.0,False,House,22.0
498,2021-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,27.0,,27.0,False,House,
376,2021-11-28 00:00:00.000000,,,Repair Report,False,True,0,False,False,192.0,,192.0,False,Flat,19.0
83,2021-11-30 00:00:00.000000,,,Repair Report,False,True,0,False,False,82.0,9.0,82.0,False,House,14.0
417,2021-12-08 00:00:00.000000,,,Repair Report,False,True,0,False,False,256.0,,256.0,False,Flat,19.0
322,2021-12-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,85.0,,85.0,False,Flat,19.0
113,2021-12-09 00:00:00.000000,,,Repair Report,False,False,0,False,False,295.0,1.0,295.0,False,Flat,3.0
328,2021-12-13 00:00:00.000000,,,Repair Report,False,False,0,False,False,368.0,,368.0,False,House,22.0
16,2021-12-26 00:00:00.000000,,,Repair Report,False,False,0,False,False,100.0,4.0,100.0,True,Flat,8.0
338,2021-12-28 00:00:00.000000,,,Repair Report,False,False,0,False,False,398.0,,398.0,False,Flat,19.0
401,2022-02-04 00:00:00.000000,,,Repair Report,False,False,0,False,False,193.0,,193.0,False,Flat,20.0
228,2022-02-05 00:00:00.000000,,,Repair Report,False,False,0,False,False,126.0,,126.0,False,House,22.0
191,2022-02-07 00:00:00.000000,,,Repair Report,False,True,0,False,False,415.0,7.0,415.0,False,Flat,12.0
256,2022-02-09 00:00:00.000000,,,Repair Report,False,True,0,False,False,215.0,,215.0,False,Block of Flats,22.0
465,2022-02-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,115.0,,115.0,False,Block of Flats,
295,2022-02-12 00:00:00.000000,,,Repair Report,False,True,0,False,False,292.0,,292.0,True,House,22.0
40,2022-02-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,66.0,3.0,66.0,False,Flat,5.0
87,2022-02-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,97.0,6.0,97.0,False,Flat,11.0
193,2022-02-28 00:00:00.000000,,,Repair Report,False,False,0,False,False,137.0,10.0,137.0,False,Flat,17.0
75,2022-03-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,208.0,2.0,208.0,False,House,4.0
139,2022-03-30 00:00:00.000000,,,Repair Report,False,False,0,False,False,378.0,9.0,378.0,True,House,14.0
487,2022-03-30 00:00:00.000000,,,Repair Report,False,True,0,False,False,406.0,,406.0,False,Flat,
383,2022-04-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,221.0,,221.0,False,Flat,18.0
496,2022-04-22 00:00:00.000000,,,Repair Report,False,False,0,False,False,17.0,,17.0,False,House,
293,2022-04-25 00:00:00.000000,,,Repair Report,False,False,0,False,False,362.0,,362.0,False,Flat,22.0
292,2022-06-17 00:00:00.000000,,,Repair Report,False,False,0,False,False,290.0,,290.0,False,House,20.0
437,2022-06-21 00:00:00.000000,,,Repair Report,False,False,0,False,False,233.0,,233.0,False,House,
347,2022-06-24 00:00:00.000000,,,Repair Report,False,True,0,False,False,236.0,,236.0,False,Block of Flats,20.0
89,2022-06-25 00:00:00.000000,,,Repair Report,False,True,0,False,False,441.0,10.0,441.0,True,Flat,17.0
199,2022-06-26 00:00:00.000000,,,Repair Report,False,False,0,False,False,254.0,1.0,254.0,False,Flat,1.0
173,2022-07-05 00:00:00.000000,,,Repair Report,False,False,0,False,False,84.0,2.0,84.0,True,Flat,4.0
454,2022-07-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,169.0,,169.0,True,Flat,
313,2022-07-13 00:00:00.000000,,,Repair Report,False,True,0,False,False,89.0,,89.0,False,Flat,21.0
425,2022-07-22 00:00:00.000000,,,Repair Report,False,False,0,False,False,372.0,,372.0,True,Flat,18.0
142,2022-07-29 00:00:00.000000,,,Repair Report,False,False,0,False,False,186.0,9.0,186.0,False,Block of Flats,14.0
250,2022-08-02 00:00:00.000000,,,Repair Report,False,True,0,False,False,101.0,,101.0,True,House,21.0
402,2022-08-08 00:00:00.000000,,,Repair Report,False,True,0,False,False,414.0,,414.0,False,House,22.0
404,2022-08-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,393.0,,393.0,False,Flat,18.0
225,2022-08-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,312.0,9.0,312.0,True,Flat,15.0
200,2022-08-28 00:00:00.000000,,,Repair Report,False,True,0,False,False,206.0,5.0,206.0,True,Flat,10.0
119,2022-08-31 00:00:00.000000,,,Repair Report,False,False,0,False,False,174.0,6.0,174.0,False,House,11.0
238,2022-09-18 00:00:00.000000,,,Repair Report,False,False,0,False,False,118.0,,118.0,False,Flat,18.0
155,2022-09-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,81.0,1.0,81.0,False,House,3.0
276,2022-09-26 00:00:00.000000,,,Repair Report,False,False,0,False,False,184.0,,184.0,False,House,19.0
216,2025-03-18 12:55:30.359483,71.1,12.4,IoT Alert,True,False,14,True,False,363.0,3.0,363.0,False,Flat,5.0
157,2025-03-18 14:55:30.359483,71.9,15.9,IoT Alert,True,False,7,False,False,389.0,8.0,389.0,False,Flat,13.0
85,2025-03-18 14:55:30.359483,75.8,10.8,IoT Alert,True,True,0,False,False,14.0,5.0,14.0,True,Flat,9.0
297,2025-03-18 15:55:30.359483,71.7,14.5,IoT Alert,True,False,7,False,False,252.0,,252.0,False,House,20.0
167,2025-03-18 15:55:30.359483,76.2,15.7,IoT Alert,True,True,60,False,False,444.0,1.0,444.0,True,House,3.0
497,2025-03-18 19:55:30.359483,72.2,15.1,IoT Alert,True,True,0,False,False,,,,,House,
126,2025-03-18 19:55:30.359483,72.6,12.2,IoT Alert,True,False,7,True,False,280.0,1.0,280.0,False,Flat,2.0
467,2025-03-18 20:55:30.359483,70.2,12.1,IoT Alert,True,False,7,True,False,,,,,Flat,
180,2025-03-18 21:55:30.359483,74.3,13.3,IoT Alert,True,True,14,True,False,296.0,4.0,296.0,False,House,6.0
87,2025-03-18 22:55:30.359483,71.3,15.8,IoT Alert,True,False,90,False,False,97.0,6.0,97.0,False,Flat,11.0
417,2025-03-18 23:55:30.359483,70.9,15.9,IoT Alert,True,False,7,False,False,256.0,,256.0,False,Flat,19.0
450,2025-03-19 00:55:30.359483,70.8,15.7,IoT Alert,True,False,7,False,False,243.0,,243.0,False,Flat,
112,2025-03-19 00:55:30.359483,74.6,15.8,IoT Alert,True,True,30,False,False,231.0,5.0,231.0,False,Flat,9.0
67,2025-03-19 02:55:30.359483,73.7,14.9,IoT Alert,True,True,14,False,False,141.0,5.0,141.0,False,House,9.0
444,2025-03-19 02:55:30.359483,75.1,15.1,IoT Alert,True,False,7,False,False,,,,,Flat,
173,2025-03-19 02:55:30.359483,77.2,13.4,IoT Alert,True,True,14,False,False,84.0,2.0,84.0,True,Flat,4.0
288,2025-03-19 03:55:30.359483,72.8,13.8,IoT Alert,True,False,0,True,False,261.0,,261.0,False,House,22.0
296,2025-03-19 04:55:30.359483,71.2,14.0,IoT Alert,True,False,0,True,False,402.0,,402.0,False,Flat,18.0
331,2025-03-19 04:55:30.359483,70.6,15.2,IoT Alert,True,True,14,True,False,,,,,House,18.0
224,2025-03-19 06:55:30.359483,74.5,14.5,IoT Alert,True,False,14,False,False,282.0,10.0,282.0,False,Flat,17.0
145,2025-03-19 07:55:30.359483,71.5,15.9,IoT Alert,True,False,90,False,False,179.0,4.0,179.0,False,Flat,7.0
148,2025-03-19 07:55:30.359483,75.6,12.1,IoT Alert,True,False,7,False,False,259.0,2.0,259.0,False,House,4.0
60,2025-03-19 08:55:30.359483,71.8,11.9,IoT Alert,True,True,14,False,False,230.0,9.0,230.0,False,Flat,15.0
331,2025-03-19 10:55:30.359483,73.7,15.1,IoT Alert,True,False,30,True,False,,,,,House,18.0
301,2025-03-19 12:55:30.359483,75.3,15.6,IoT Alert,True,True,0,False,False,387.0,,387.0,False,Block of Flats,21.0
14,2025-03-19 12:55:30.359483,74.3,14.9,IoT Alert,True,False,30,True,False,439.0,6.0,439.0,False,House,11.0
233,2025-03-19 15:55:30.359483,82.0,12.4,IoT Alert,True,False,0,False,False,308.0,,308.0,False,House,20.0
43,2025-03-19 18:55:30.359483,73.7,10.5,IoT Alert,True,True,90,False,False,120.0,9.0,120.0,False,Block of Flats,16.0
162,2025-03-19 19:55:30.359483,72.6,13.5,IoT Alert,True,True,0,False,False,411.0,9.0,411.0,False,Block of Flats,14.0
311,2025-03-19 19:55:30.359483,75.3,12.0,IoT Alert,True,False,14,True,False,213.0,,213.0,False,Flat,20.0
418,2025-03-19 19:55:30.359483,73.4,14.6,IoT Alert,True,False,0,False,False,127.0,,127.0,False,Flat,21.0
69,2025-03-19 20:55:30.359483,70.2,15.6,IoT Alert,True,True,90,False,False,9.0,3.0,9.0,False,Flat,5.0
331,2025-03-19 20:55:30.359483,73.1,13.5,IoT Alert,True,False,14,False,False,,,,,House,18.0
309,2025-03-19 22:55:30.359483,74.0,15.2,IoT Alert,True,True,14,True,False,,,,,Flat,19.0
96,2025-03-20 00:55:30.359483,71.4,10.6,IoT Alert,True,False,0,False,False,340.0,4.0,340.0,True,Flat,8.0
370,2025-03-20 02:55:30.359483,82.6,14.6,IoT Alert,True,True,30,False,False,180.0,,180.0,True,Flat,18.0
248,2025-03-20 04:55:30.359483,76.8,15.0,IoT Alert,True,False,7,True,False,117.0,,117.0,False,House,19.0
42,2025-03-20 05:55:30.359483,74.0,13.5,IoT Alert,True,False,60,False,False,346.0,1.0,346.0,False,Flat,1.0
37,2025-03-20 05:55:30.359483,72.0,15.5,IoT Alert,True,False,7,True,False,223.0,5.0,223.0,True,Flat,10.0
333,2025-03-20 09:55:30.359483,78.8,14.9,IoT Alert,True,True,0,False,False,105.0,,105.0,False,Flat,20.0
262,2025-03-20 10:55:30.359483,84.5,13.5,IoT Alert,True,False,0,False,False,149.0,,149.0,True,Flat,21.0
433,2025-03-20 11:55:30.359483,70.2,12.5,IoT Alert,True,True,14,False,False,298.0,,298.0,True,Flat,
313,2025-03-20 11:55:30.359483,71.5,15.1,IoT Alert,True,False,14,False,False,89.0,,89.0,False,Flat,21.0
19,2025-03-20 11:55:30.359483,74.1,14.0,IoT Alert,True,False,0,False,False,58.0,4.0,58.0,True,Flat,7.0
215,2025-03-20 12:55:30.359483,77.6,15.7,IoT Alert,True,False,30,True,False,,5.0,,,Flat,9.0
307,2025-03-20 13:55:30.359483,71.7,14.3,IoT Alert,True,False,14,False,False,448.0,,448.0,False,House,18.0
429,2025-03-20 15:55:30.359483,73.5,9.7,IoT Alert,True,False,14,True,False,163.0,,163.0,False,Flat,
429,2025-03-20 16:55:30.359483,71.8,13.3,IoT Alert,True,False,14,False,False,163.0,,163.0,False,Flat,
25,2025-03-20 16:55:30.359483,70.4,13.8,IoT Alert,True,False,14,False,False,138.0,9.0,138.0,False,Flat,14.0
470,2025-03-20 17:55:30.359483,73.4,14.0,IoT Alert,True,False,14,False,False,251.0,,251.0,False,Flat,
163,2025-03-20 17:55:30.359483,73.3,14.8,IoT Alert,True,True,0,False,False,376.0,2.0,376.0,False,Flat,4.0
85,2025-03-20 21:55:30.359483,70.7,13.7,IoT Alert,True,True,0,False,False,14.0,5.0,14.0,True,Flat,9.0
39,2025-03-20 22:55:30.359483,70.9,13.8,IoT Alert,True,False,60,False,False,248.0,2.0,248.0,False,House,4.0
322,2025-03-20 22:55:30.359483,73.9,14.0,IoT Alert,True,False,90,False,False,85.0,,85.0,False,Flat,19.0
309,2025-03-20 22:55:30.359483,70.9,10.8,IoT Alert,True,False,7,False,False,,,,,Flat,19.0
68,2025-03-20 23:55:30.359483,70.7,14.6,IoT Alert,True,False,7,False,False,188.0,1.0,188.0,False,House,2.0
343,2025-03-21 03:55:30.359483,79.8,12.3,IoT Alert,True,False,30,False,False,338.0,,338.0,False,Block of Flats,19.0
134,2025-03-21 03:55:30.359483,75.4,13.8,IoT Alert,True,True,14,False,False,321.0,5.0,321.0,False,Flat,9.0
147,2025-03-21 06:55:30.359483,71.5,15.1,IoT Alert,True,False,0,False,False,257.0,1.0,257.0,False,House,3.0
232,2025-03-21 06:55:30.359483,72.5,14.4,IoT Alert,True,False,0,False,False,125.0,,125.0,False,Flat,21.0
254,2025-03-21 09:55:30.359483,74.1,11.5,IoT Alert,True,False,30,True,False,145.0,,145.0,False,Flat,19.0
303,2025-03-21 11:55:30.359483,71.9,15.5,IoT Alert,True,True,30,False,False,281.0,,281.0,False,House,20.0
444,2025-03-21 11:55:30.359483,70.2,15.9,IoT Alert,True,True,0,False,False,,,,,Flat,
214,2025-03-21 11:55:30.359483,79.0,15.5,IoT Alert,True,False,7,False,False,359.0,10.0,359.0,False,House,17.0
155,2025-03-21 15:55:30.359483,74.5,15.1,IoT Alert,True,False,7,False,False,81.0,1.0,81.0,False,House,3.0
76,2025-03-21 15:55:30.359483,71.4,12.7,IoT Alert,True,True,30,False,False,98.0,1.0,98.0,False,House,2.0
156,2025-03-21 16:55:30.359483,71.0,15.0,IoT Alert,True,True,0,True,False,4.0,1.0,4.0,False,Block of Flats,2.0
231,2025-03-21 17:55:30.359483,70.9,13.2,IoT Alert,True,False,0,False,False,373.0,,373.0,True,Flat,22.0
133,2025-03-21 17:55:30.359483,72.8,13.6,IoT Alert,True,True,30,False,False,110.0,1.0,110.0,True,Flat,2.0
67,2025-03-21 17:55:30.359483,70.2,12.1,IoT Alert,True,True,0,False,False,141.0,5.0,141.0,False,House,9.0
264,2025-03-21 18:55:30.359483,70.7,14.7,IoT Alert,True,False,30,True,False,429.0,,429.0,False,Flat,22.0
265,2025-03-21 19:55:30.359483,71.0,14.5,IoT Alert,True,False,7,False,False,437.0,,437.0,True,Flat,22.0
112,2025-03-21 21:55:30.359483,73.8,12.8,IoT Alert,True,True,0,False,False,231.0,5.0,231.0,False,Flat,9.0
456,2025-03-21 21:55:30.359483,70.5,14.1,IoT Alert,True,False,7,False,False,79.0,,79.0,False,Flat,
241,2025-03-21 22:55:30.359483,70.1,11.6,IoT Alert,True,False,30,True,False,342.0,,342.0,False,House,20.0
30,2025-03-21 22:55:30.359483,70.6,15.6,IoT Alert,True,False,60,False,False,164.0,2.0,164.0,False,Block of Flats,4.0
22,2025-03-21 23:55:30.359483,79.6,13.5,IoT Alert,True,False,60,False,False,,4.0,,,Flat,8.0
435,2025-03-22 00:55:30.359483,71.9,14.8,IoT Alert,True,False,7,False,False,396.0,,396.0,False,House,
105,2025-03-22 01:55:30.359483,70.4,15.0,IoT Alert,True,False,30,True,False,5.0,3.0,5.0,False,Flat,5.0
126,2025-03-22 02:55:30.359483,70.4,14.6,IoT Alert,True,False,7,False,False,280.0,1.0,280.0,False,Flat,2.0
88,2025-03-22 03:55:30.359483,72.0,12.7,IoT Alert,True,False,7,False,False,,1.0,,,Flat,3.0
490,2025-03-22 07:55:30.359483,71.4,15.5,IoT Alert,True,False,60,False,False,173.0,,173.0,False,Flat,
412,2025-03-22 07:55:30.359483,79.0,15.0,IoT Alert,True,True,0,False,False,317.0,,317.0,False,Flat,22.0
272,2025-03-22 14:55:30.359483,74.3,14.1,IoT Alert,True,False,0,False,False,134.0,,134.0,True,Flat,19.0
212,2025-03-22 15:55:30.359483,81.2,15.7,IoT Alert,True,True,7,False,False,28.0,7.0,28.0,False,Flat,12.0
53,2025-03-22 15:55:30.359483,71.4,13.5,IoT Alert,True,False,0,False,False,435.0,5.0,435.0,True,Flat,9.0
209,2025-03-22 16:55:30.359483,70.2,13.4,IoT Alert,True,False,0,False,False,142.0,2.0,142.0,False,Flat,4.0
438,2025-03-22 16:55:30.359483,75.1,10.5,IoT Alert,True,False,14,False,False,165.0,,165.0,True,Flat,
348,2025-03-22 17:55:30.359483,71.6,15.6,IoT Alert,True,False,14,True,False,96.0,,96.0,False,Flat,22.0
35,2025-03-22 18:55:30.359483,71.7,15.9,IoT Alert,True,False,60,False,False,428.0,4.0,428.0,False,Block of Flats,8.0
10,2025-03-22 19:55:30.359483,70.6,12.0,IoT Alert,True,True,60,True,False,11.0,4.0,11.0,True,Flat,6.0
232,2025-03-22 21:55:30.359483,76.5,15.7,IoT Alert,True,False,7,False,False,125.0,,125.0,False,Flat,21.0
465,2025-03-22 22:55:30.359483,74.3,13.7,IoT Alert,True,False,7,False,False,115.0,,115.0,False,Block of Flats,
3,2025-03-23 01:55:30.359483,70.5,13.8,IoT Alert,True,False,7,False,False,35.0,5.0,35.0,False,Flat,10.0
69,2025-03-23 06:55:30.359483,75.0,15.4,IoT Alert,True,True,14,False,False,9.0,3.0,9.0,False,Flat,5.0
60,2025-03-23 08:55:30.359483,76.8,15.9,IoT Alert,True,True,7,False,False,230.0,9.0,230.0,False,Flat,15.0
476,2025-03-23 09:55:30.359483,73.5,14.6,IoT Alert,True,False,30,False,False,31.0,,31.0,False,Block of Flats,
119,2025-03-23 10:55:30.359483,75.5,15.5,IoT Alert,True,True,14,False,False,174.0,6.0,174.0,False,House,11.0
428,2025-03-23 12:55:30.359483,76.3,13.0,IoT Alert,True,False,14,False,False,430.0,,430.0,True,Flat,
61,2025-03-23 13:55:30.359483,78.8,12.0,IoT Alert,True,True,14,True,False,160.0,6.0,160.0,False,House,11.0
311,2025-03-23 14:55:30.359483,74.5,15.6,IoT Alert,True,False,7,False,False,213.0,,213.0,False,Flat,20.0
1,2025-03-23 15:55:30.359483,75.2,14.8,IoT Alert,True,False,90,True,False,47.0,1.0,47.0,False,Flat,1.0
